Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP;BEN;TOL;XIL
10/08/2015;9:00:00;55;2;106;16;22;151;1;0;0;936;23.7;0;0;0
10/08/2015;10:00:00;46;2;53;8;40;279;1;0;0;936;27.5;0;0;0
10/08/2015;11:00:00;39;2;24;3;72;264;1.3;0;0;935;30.3;0;0;0
10/08/2015;12:00:00;29;2;18;3;78;273;2;0;0;935;32.5;0;0;0
10/08/2015;13:00:00;63;2;15;2;73;315;2.2;0;0;935;34;0;0;0
10/08/2015;14:00:00;56;2;16;3;74;309;2.4;0;0;935;34.9;0;0;0
10/08/2015;15:00:00;69;2;14;3;68;286;2.6;0;0;934;36.2;0;0;0
10/08/2015;16:00:00;59;2;11;2;68;274;2.6;0;0;933;35.5;0;0;0
10/08/2015;17:00:00;57;2;13;3;71;271;2.3;0;0;933;35.2;0;0;0
10/08/2015;18:00:00;62;2;13;3;73;271;2.3;0;0;933;35.5;0;0;0
10/08/2015;19:00:00;59;2;14;3;74;270;2.4;0;0;932;35.2;0;0;0
10/08/2015;20:00:00;62;2;19;2;78;248;1.9;0;0;932;34.3;0;0;0
10/08/2015;21:00:00;72;2;15;2;83;208;2.6;0;0;932;33.3;0;0;0
10/08/2015;22:00:00;61;2;18;2;76;204;1.8;0;0;932;32.2;0;0;0
10/08/2015;23:00:00;67;2;25;3;60;215;3.4;0;0.29;933;29.4;0;0;0
10/08/2015;0:00:00;89;2;12;3;80;219;4.1;0;0;933;29.4;0;0;0
11/08/2015;1:00:00;78;2;9;2;82;217;4.6;0;0;933;28.2;0;0;0
11/08/2015;2:00:00;60;2;8;2;75;215;4.1;0;0;934;27.2;0;0;0
11/08/2015;3:00:00;88;2;11;2;66;182;1;0;0;933;25.6;0;0;0
11/08/2015;4:00:00;66;2;10;3;60;182;2;0;0;933;24.8;0;0;0
11/08/2015;5:00:00;67;2;8;2;60;182;2.2;0;0;932;24.9;0;0;0
11/08/2015;6:00:00;70;2;12;2;54;164;2.7;0;0;932;23.8;0;0;0
11/08/2015;7:00:00;66;2;12;2;53;175;2.1;0;0;932;22.9;0;0;0
11/08/2015;8:00:00;71;2;24;3;51;173;2.1;0;0;932;22.6;0;0;0
11/08/2015;9:00:00;66;2;39;5;44;163;3.1;0;0;932;23;0;0;0
11/08/2015;10:00:00;62;2;21;2;58;157;3.2;0;0;933;23.9;0;0;0
11/08/2015;11:00:00;63;2;14;2;61;181;2.8;0;0;933;26.2;0;0;0
11/08/2015;12:00:00;75;2;10;2;61;205;3.1;0;0;933;28.4;0;0;0
11/08/2015;13:00:00;60;2;11;3;58;222;3.6;0;0;933;28.7;0;0;0
11/08/2015;14:00:00;66;2;13;4;60;227;3.3;0;0;933;29.2;0;0;0
11/08/2015;15:00:00;61;2;10;4;62;227;3;0;0;932;31.7;0;0;0
11/08/2015;16:00:00;56;2;12;2;61;229;3.2;0;0;932;33.1;0;0;0
