Fecha;SO2;NO;NO2;O3;CO
01/07/2015;2;2;22;74;0.2
02/07/2015;2;2;25;78;0.2
03/07/2015;2;2;25;80;0.2
04/07/2015;4;2;24;108;0.2
05/07/2015;4;1;18;80;0.2
06/07/2015;4;3;27;80;0.2
07/07/2015;2;5;26;67;0.2
08/07/2015;2;2;16;63;0.2
09/07/2015;2;2;14;67;0.2
10/07/2015;1;2;15;66;0.2
11/07/2015;1;1;8;74;0.2
12/07/2015;1;1;9;77;0.2
13/07/2015;2;3;17;67;0.2
14/07/2015;1;2;15;61;0.2
15/07/2015;1;3;15;63;0.2
16/07/2015;1;5;17;71;0.2
17/07/2015;1;2;14;73;0.2
18/07/2015;1;1;14;70;0.2
19/07/2015;1;1;11;84;0.2
20/07/2015;1;2;10;67;0.2
21/07/2015;1;3;12;56;0.2
22/07/2015;1;1;14;96;0.2
23/07/2015;1;2;14;66;0.2
24/07/2015;1;1;8;77;0.2
25/07/2015;1;1;9;63;0.2
26/07/2015;2;1;10;67;0.2
27/07/2015;1;2;12;58;0.2
28/07/2015;1;2;14;59;0.2
29/07/2015;1;1;7;63;0.2
30/07/2015;1;1;12;59;0.2
31/07/2015;1;2;20;69;0.2
01/08/2015;1;1;12;85;0.2
02/08/2015;1;1;13;83;0.2
03/08/2015;1;6;21;61;0.2
04/08/2015;1;4;17;66;0.2
05/08/2015;1;1;12;74;0.2
06/08/2015;1;3;15;67;0.2
07/08/2015;2;2;12;71;0.2
08/08/2015;1;2;21;47;0.2
09/08/2015;1;1;8;65;0.2
10/08/2015;2;2;17;77;0.2
11/08/2015;2;2;15;73;0.2
12/08/2015;1;1;10;68;0.2
13/08/2015;1;1;14;76;0.2
14/08/2015;1;2;19;63;0.2
15/08/2015;1;1;13;56;0.2
16/08/2015;3;2;17;50;0.2
17/08/2015;1;2;17;69;0.2
18/08/2015;1;2;23;56;0.2
19/08/2015;2;2;20;57;0.2
20/08/2015;1;3;17;60;0.2
21/08/2015;1;12;21;44;0.2
22/08/2015;1;Sense dades;Sense dades;75;Sense dades
23/08/2015;1;Sense dades;Sense dades;66;Sense dades
24/08/2015;1;1;21;56;0.2
25/08/2015;1;3;15;54;0.2
26/08/2015;1;3;17;50;0.2
27/08/2015;1;1;15;67;0.2
28/08/2015;1;8;21;46;0.3
29/08/2015;1;1;11;59;0.2
30/08/2015;1;1;10;60;0.2
31/08/2015;1;5;20;63;0.2
01/09/2015;1;2;16;74;0.2
02/09/2015;1;2;19;57;0.2
03/09/2015;1;2;20;71;0.2
04/09/2015;1;9;37;27;0.2
05/09/2015;1;2;26;46;0.2
06/09/2015;2;2;17;62;0.2
07/09/2015;2;5;29;61;0.2
08/09/2015;1;2;27;54;0.2
09/09/2015;1;4;25;70;0.2
10/09/2015;1;12;40;44;0.2
11/09/2015;1;1;20;64;0.2
12/09/2015;1;2;22;69;0.2
13/09/2015;1;3;25;54;0.2
14/09/2015;1;6;32;40;0.2
15/09/2015;1;3;22;65;0.2
16/09/2015;1;4;24;53;0.2
17/09/2015;1;2;24;53;0.2
18/09/2015;2;7;26;54;0.2
19/09/2015;2;2;15;62;0.2
20/09/2015;2;2;19;60;0.2
21/09/2015;1;3;29;65;0.2
22/09/2015;2;4;26;65;0.2
23/09/2015;1;1;13;63;0.2
24/09/2015;2;4;25;53;0.2
25/09/2015;2;15;30;54;0.2
26/09/2015;1;2;16;65;0.2
27/09/2015;1;1;14;38;0.2
28/09/2015;1;1;17;86;0.2
29/09/2015;1;4;26;49;0.2
30/09/2015;1;2;25;42;0.2
01/10/2015;1;7;24;54;0.2
02/10/2015;1;4;28;60;0.2
03/10/2015;1;6;28;49;0.2
04/10/2015;1;2;21;52;0.2
05/10/2015;1;35;46;14;0.3
06/10/2015;1;18;36;24;0.2
07/10/2015;2;4;28;45;0.2
08/10/2015;3;5;28;40;0.2
09/10/2015;2;6;28;40;0.2
10/10/2015;2;2;21;54;0.2
11/10/2015;2;2;22;52;0.2
12/10/2015;1;1;17;54;0.2
13/10/2015;1;13;32;19;0.2
14/10/2015;1;4;21;49;0.2
15/10/2015;2;4;30;54;0.2
16/10/2015;3;11;37;44;0.2
17/10/2015;1;2;24;50;0.2
18/10/2015;1;5;24;50;0.2
19/10/2015;1;9;38;25;0.3
20/10/2015;1;7;30;29;0.3
21/10/2015;4;11;30;45;0.3
22/10/2015;2;5;23;57;0.2
23/10/2015;2;30;38;32;0.3
24/10/2015;1;14;28;36;0.2
25/10/2015;1;1;19;49;0.2
26/10/2015;1;4;26;47;0.2
27/10/2015;1;2;21;51;0.2
28/10/2015;2;12;27;52;0.2
29/10/2015;2;24;33;40;0.3
30/10/2015;2;11;30;31;0.2
31/10/2015;1;3;26;47;0.2
01/11/2015;1;1;15;66;0.2
02/11/2015;1;1;12;69;0.2
03/11/2015;1;20;33;31;0.2
04/11/2015;3;8;34;32;0.2
05/11/2015;2;29;35;22;0.3
06/11/2015;3;41;41;13;0.3
07/11/2015;1;25;26;16;0.2
