Fecha;Hora;PM10;PM25;SO2;NO2;NO;CO;O3;dd;vv;HR;LL;PRB;TMP
10/06/2015;7:00:00;23;15;2;11;2;0.13;45;120;0;91.4;0.35;937;18.1
10/06/2015;8:00:00;28;21;2;21;2;0.18;22;85;0;100;0;937;17.6
10/06/2015;9:00:00;27;26;2;31;5;0.18;18;51;0;94.9;0;937;18.5
10/06/2015;10:00:00;33;20;2;19;3;0.15;49;84;0;72.8;0;937;20.7
10/06/2015;11:00:00;22;13;2;20;3;0.2;56;271;0;62.5;0;937;23.1
10/06/2015;12:00:00;27;11;3;11;2;0.12;85;296;0;50.1;0.35;937;25.3
10/06/2015;13:00:00;20;10;2;9;2;0.16;100;349;0;43.3;0;936;27.4
10/06/2015;14:00:00;26;18;2;9;2;0.16;105;276;0.1;37.6;0;936;27.8
10/06/2015;15:00:00;25;17;2;12;2;0.22;91;245;1.1;52.3;3.18;935;24.8
10/06/2015;16:00:00;57;20;2;11;2;0.14;89;252;0.7;41.5;0;935;27.8
10/06/2015;17:00:00;23;15;2;8;2;0.12;103;265;0.8;31.9;0;934;28.5
10/06/2015;18:00:00;27;17;2;11;2;0.12;103;245;0.4;32.6;0;934;28.8
10/06/2015;19:00:00;31;19;2;9;2;0.13;106;256;0.3;28.6;0;934;30
10/06/2015;20:00:00;19;14;2;12;2;0.11;100;253;0.3;30.6;0;933;28.8
10/06/2015;21:00:00;27;13;2;14;2;0.09;99;292;0.6;33.5;0;934;27.5
10/06/2015;22:00:00;27;19;2;17;2;0.08;87;275;0;39.1;0;935;26
10/06/2015;23:00:00;27;17;2;41;2;0.17;52;94;0;46.4;0;935;24.3
10/06/2015;0:00:00;35;22;2;19;2;0.14;68;135;0;49.7;0;936;23
11/06/2015;1:00:00;20;18;2;11;2;0.1;71;121;0;53.2;0;936;22.4
11/06/2015;2:00:00;20;23;2;3;2;0.13;89;202;0.4;49.7;0;936;23.8
11/06/2015;3:00:00;31;17;2;4;2;0.12;80;244;0.1;54.3;0;936;22.8
11/06/2015;4:00:00;32;21;2;6;2;0.11;69;265;0.1;61.3;0;935;21
11/06/2015;5:00:00;22;14;2;12;2;0.13;51;113;0;74.9;0;935;19.5
11/06/2015;6:00:00;31;19;2;8;2;0.17;41;114;0;84.1;0;935;18.5
11/06/2015;7:00:00;31;23;2;13;2;0.14;36;104;0;82.6;0;935;18.4
11/06/2015;8:00:00;30;22;2;28;3;0.17;25;28;0;74.5;0;935;19.4
11/06/2015;9:00:00;39;25;2;21;3;0.16;44;291;0.1;69.4;0;936;19.9
11/06/2015;10:00:00;33;16;2;15;3;0.11;51;285;0.6;70.7;0;936;20.4
11/06/2015;11:00:00;36;25;2;15;2;0.14;82;292;1.8;69;4.24;937;19.2
11/06/2015;12:00:00;22;5;2;13;2;0.15;73;288;1.6;98.4;0.71;938;16.3
11/06/2015;13:00:00;17;17;2;12;2;0.16;82;267;0.1;83.1;1.06;937;17.8
11/06/2015;14:00:00;10;9;2;17;2;0.14;68;268;0;79.8;0.35;937;19.2
11/06/2015;15:00:00;10;18;2;15;3;0.14;80;317;0.6;60.3;0;936;22.2
11/06/2015;16:00:00;9;2;2;9;2;0.12;94;310;1.3;54.9;0;936;22.4
11/06/2015;17:00:00;11;4;2;8;2;0.13;93;294;1.4;53.6;0;935;22.5
11/06/2015;18:00:00;14;16;2;9;2;0.08;87;292;1.4;47.2;0;934;23.7
11/06/2015;19:00:00;19;11;2;8;2;0.11;86;294;1.7;45.8;0;934;24.4
11/06/2015;20:00:00;22;16;2;10;2;0.09;76;293;2.4;68.5;3.52;935;19.8
11/06/2015;21:00:00;61;16;2;13;2;0.15;60;276;0.2;82.5;0;936;17.5
11/06/2015;22:00:00;20;22;2;15;2;0.14;63;291;0;71.3;0;936;17.7
11/06/2015;23:00:00;26;17;2;7;2;0.17;77;269;1;65.6;0;937;18
11/06/2015;0:00:00;21;16;2;4;2;0.14;84;297;1.1;65.3;0;937;17.6
12/06/2015;1:00:00;16;13;2;4;2;0.12;73;261;0;69;0;936;17.1
12/06/2015;2:00:00;14;14;2;7;2;0.12;60;26;0;71.9;0;937;16.5
12/06/2015;3:00:00;11;11;2;15;2;0.13;39;116;0;80.1;0;937;15.8
12/06/2015;4:00:00;23;14;2;13;2;0.11;31;99;0;86.2;0;936;15.2
12/06/2015;5:00:00;17;13;2;10;2;0.13;30;70;0;89.3;0;936;15
12/06/2015;6:00:00;16;4;2;13;2;0.12;23;51;0;95;0;936;14.9
12/06/2015;7:00:00;21;8;2;24;4;0.12;12;21;0;92.7;0;936;14.7
12/06/2015;8:00:00;20;17;2;38;15;0.19;4;86;0;88.1;0;937;15.3
12/06/2015;9:00:00;19;12;2;42;23;0.21;11;300;0;75.6;0;937;16.9
12/06/2015;10:00:00;32;16;2;21;5;0.16;43;313;0.3;66.2;0;937;18.7
12/06/2015;11:00:00;30;16;2;10;2;0.11;65;294;0.2;63.1;0;937;19.4
12/06/2015;12:00:00;28;11;2;12;2;0.13;65;314;0.3;60.2;0;937;20.5
12/06/2015;13:00:00;28;15;2;10;2;0.13;65;295;0.9;53.9;0;937;21.6
12/06/2015;14:00:00;31;13;2;8;2;0.13;72;288;1.7;42.9;0;937;22.3
12/06/2015;15:00:00;19;10;2;7;2;0.14;76;270;2;38.3;0;936;23.1
12/06/2015;16:00:00;14;9;2;4;2;0.12;79;265;1.7;36.3;0;936;24.2
12/06/2015;17:00:00;14;15;2;5;2;0.09;79;276;1.8;37.6;0;935;23.8
12/06/2015;18:00:00;13;7;2;5;2;0.08;83;275;1.9;36.5;0;935;23.6
