Fecha;CO;NO;NO2;NOX;O3;PM10;SO2;dd;HR;PRB;TMP;vv
10/04/2015;0.33;6;57;38;71;22;8;160;73;1008.8;15.2;0.97
09/04/2015;0.27;5;31;28;96;19;7;172;41;1009.8;16.5;1.1
08/04/2015;0.28;4;24;22;94;20;7;155;40;1011.6;16.7;2.05
07/04/2015;0.32;9;43;43;70;26;11;75;67;1012.2;12.1;0.78
06/04/2015;0.29;6;41;29;61;20;12;48;75;1008.2;9.5;0.92
05/04/2015;0.27;4;44;23;57;13;10;44;86;1004.8;10.5;0.58
04/04/2015;0.24;2;22;15;69;12;8;283;93;1007.3;10.6;0.47
03/04/2015;0.47;7;42;35;58;31;15;60;83;1010.5;11;0.72
02/04/2015;0.35;5;37;31;66;28;12;58;67;1016.6;10.4;0.75
01/04/2015;0.27;6;44;30;73;25;8;312;80;1021.8;11;0.66
31/03/2015;0.35;8;54;34;65;23;8;272;88;1019.4;13.2;1.31
30/03/2015;0.37;10;61;50;51;33;12;22;86;1015.8;13.1;0.48
29/03/2015;0.32;7;51;38;50;22;14;179;80;1014.9;13.9;0.07
28/03/2015;0.32;10;47;44;43;26;10;73;95;1018;12.2;0.96
27/03/2015;0.38;9;77;51;51;13;7;221;100;1016.1;11.6;0.53
26/03/2015;0.35;10;71;50;49;13;7;261;100;1006.3;8.8;0.72
25/03/2015;0.31;7;42;38;65;11;8;302;88;1002.5;6.6;1.08
24/03/2015;0.45;16;73;66;61;17;7;283;98;999.3;7.3;0.53
23/03/2015;0.45;20;81;80;47;17;7;222;100;998.9;5.3;1.03
22/03/2015;0.44;5;40;29;57;24;8;357;92;1002.3;8.7;1.07
21/03/2015;0.47;5;39;34;38;33;7;235;100;1002.6;8.1;0.17
20/03/2015;0.4;10;53;47;46;45;8;16;94;1006.5;9.4;0.63
19/03/2015;0.4;6;50;40;52;26;10;47;92;1008.1;11.2;0.37
18/03/2015;0.42;15;86;66;56;28;9;255;87;1007.8;10.7;0.34
17/03/2015;0.39;13;68;63;74;27;7;191;63;1004.2;11.6;0.58
16/03/2015;0.37;11;64;52;50;37;9;344;87;1006;7.1;0.42
15/03/2015;0.35;4;45;26;59;28;6;262;100;1008.8;5.5;0.64
14/03/2015;0.34;2;28;17;67;12;6;249;100;1013.1;6.2;1.63
13/03/2015;0.33;5;45;28;76;21;7;259;92;1015;9.2;1.55
12/03/2015;0.5;15;63;66;41;55;13;73;88;1011;10.5;0.92
11/03/2015;0.49;27;68;92;38;57;14;44;99;1015;9.3;0.52
10/03/2015;0.36;22;79;89;57;40;16;71;74;1014.1;10.9;0.63
09/03/2015;0;14;75;71;52;35;12;42;68;1014.2;10.2;0.31
08/03/2015;0;8;53;46;57;29;14;58;74;1014.8;9.7;0.58
07/03/2015;0;13;50;55;63;31;10;41;70;1016.5;11.7;0.16
06/03/2015;0.38;18;65;72;42;34;11;50;76;1020.2;8.4;0.1
05/03/2015;0.4;17;81;72;62;22;12;63;75;1026.7;7.7;1.1
04/03/2015;0.32;5;38;28;72;7;5;311;89;1024.2;8.3;0.94
03/03/2015;0.41;18;78;73;32;25;10;63;98;1013;11.1;0.63
02/03/2015;0.55;14;75;71;24;17;7;58;100;1011.1;12.1;0.46
01/03/2015;0.45;7;50;37;45;16;6;252;85;1007.6;14.6;0.73
