Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
17/09/2015;22:00:00;11;4;17;2;46;264;0.1;47.9;0;943;14.1
17/09/2015;23:00:00;13;2;14;2;49;254;0;52.2;0;943;13.2
17/09/2015;0:00:00;11;2;9;2;53;252;0;56.5;0;944;12.1
18/09/2015;1:00:00;10;2;7;2;54;42;0;57.8;0;944;11.8
18/09/2015;2:00:00;9;2;5;2;55;83;0.1;57.2;0;944;11.8
18/09/2015;3:00:00;15;2;4;2;57;91;0;58.7;0;944;11.2
18/09/2015;4:00:00;9;2;6;2;28;74;0;68.3;0;944;9.5
18/09/2015;5:00:00;10;2;9;2;21;275;0;72.2;0;944;8.8
18/09/2015;6:00:00;9;2;7;2;40;106;0;72.1;0;944;8.9
18/09/2015;7:00:00;8;2;9;3;29;71;0;74.5;0;944;8.1
18/09/2015;8:00:00;10;2;12;4;23;21;0;84.1;0;945;6.7
18/09/2015;9:00:00;9;2;26;12;14;68;0;80.5;0;945;7.7
18/09/2015;10:00:00;19;3;23;7;30;92;0.4;65.9;0;946;10.8
18/09/2015;11:00:00;18;2;16;6;42;86;0.8;62.1;0;947;12.5
18/09/2015;12:00:00;29;3;13;5;55;73;1.1;53.1;0;947;15.5
18/09/2015;13:00:00;23;4;10;4;71;84;1.5;44.6;0;947;17.7
18/09/2015;14:00:00;23;4;7;3;84;81;2.2;34.3;0;946;20
18/09/2015;15:00:00;19;6;7;3;90;86;2;28;0;946;21.9
18/09/2015;16:00:00;28;7;6;3;96;75;1.3;25.6;0;945;22.7
18/09/2015;17:00:00;15;6;4;2;101;85;1.1;22.6;0;945;23.1
18/09/2015;18:00:00;10;7;5;2;101;73;0.9;22.1;0;944;23.6
18/09/2015;19:00:00;11;10;5;3;102;67;1;23.2;0;944;23.2
18/09/2015;20:00:00;11;10;9;2;97;65;0.6;23.9;0;944;22.6
18/09/2015;21:00:00;13;10;14;2;85;66;0.1;28;0;945;19.5
18/09/2015;22:00:00;19;9;20;3;71;53;0.1;32.7;0;945;17.6
18/09/2015;23:00:00;23;8;15;4;64;53;0.1;36.5;0;946;16.5
18/09/2015;0:00:00;18;6;5;2;78;52;0.7;37.4;0;946;16.3
19/09/2015;1:00:00;14;6;4;2;75;63;1.1;49.1;0;946;16.4
19/09/2015;2:00:00;13;5;5;2;64;68;1.3;63.8;0;946;15.4
19/09/2015;3:00:00;18;4;4;2;56;73;1.2;72.3;0;946;14.2
19/09/2015;4:00:00;19;3;4;2;48;82;1;78.8;0;947;13.2
19/09/2015;5:00:00;17;3;3;2;49;80;1.2;82.5;0;947;12.8
19/09/2015;6:00:00;16;4;2;2;47;89;1.1;84.8;0;947;12.2
19/09/2015;7:00:00;16;4;2;2;40;98;1.2;86;0;947;11.6
19/09/2015;8:00:00;15;3;4;2;37;92;1.4;86.1;0;947;10.9
19/09/2015;9:00:00;12;3;6;2;37;94;0.9;85.3;0;948;11
19/09/2015;10:00:00;16;3;5;3;45;83;1.5;78.9;0;949;13
19/09/2015;11:00:00;15;3;4;2;52;84;1.3;72.5;0;949;15.3
19/09/2015;12:00:00;18;3;5;4;60;73;0.9;62;0;950;18.3
19/09/2015;13:00:00;25;3;3;2;74;97;0.6;51;0;950;21.2
19/09/2015;14:00:00;29;3;4;2;87;88;0.8;42.9;0;949;23.5
19/09/2015;15:00:00;26;6;3;2;94;95;0.8;37.5;0;949;24.8
19/09/2015;16:00:00;26;7;2;2;100;131;0.3;29.2;0;948;26.1
19/09/2015;17:00:00;18;5;2;2;105;113;0.2;24.3;0;948;26.5
19/09/2015;18:00:00;11;6;2;2;106;65;0.6;24.1;0;947;26.2
19/09/2015;19:00:00;11;5;3;2;106;50;0.4;23.6;0;947;26
19/09/2015;20:00:00;17;6;6;2;102;67;0.1;23.6;0;948;25.3
19/09/2015;21:00:00;17;7;14;2;85;69;0;27.8;0;948;21.8
19/09/2015;22:00:00;19;6;10;2;84;86;0.7;30.6;0;948;20.6
19/09/2015;23:00:00;17;6;19;4;65;95;0.4;34.7;0;948;19.2
19/09/2015;0:00:00;22;5;8;3;67;88;0;37.9;0;949;17.7
20/09/2015;1:00:00;16;4;6;2;65;74;0;41.5;0;949;16.8
20/09/2015;2:00:00;14;4;7;2;58;68;0;47.9;0;949;15.7
20/09/2015;3:00:00;14;4;9;2;48;87;0.1;52.9;0;949;14.9
20/09/2015;4:00:00;16;4;6;2;53;86;0;55;0;949;14.7
20/09/2015;5:00:00;14;6;6;2;55;88;0;56.3;0;948;14.2
20/09/2015;6:00:00;16;7;5;2;57;96;0.3;57.8;0;948;13.4
20/09/2015;7:00:00;16;8;5;2;47;96;0.5;66.5;0;948;12.4
20/09/2015;8:00:00;19;8;7;2;38;67;0;73.4;0;948;11.2
