Fecha;Hora;S02;NO;NO2;O3;PM10;dd;vv;TMP;HR;PRB;LL
16/05/2015;2:00:00;1;0.3;3;96;12;104;0.2;16.0;54;1019;0.0
16/05/2015;3:00:00;1;0.2;2;98;12;106;0.1;16.5;52;1019;0.0
16/05/2015;4:00:00;0;0.2;2;89;11;89;0.1;16.3;61;1019;0.0
16/05/2015;5:00:00;0;0.5;4;83;32;75;0.1;15.6;66;1019;0.0
16/05/2015;6:00:00;0;0.4;3;88;23;63;0.3;17.3;58;1019;0.0
16/05/2015;7:00:00;0;0.4;2;90;5;59;0.4;20.7;47;1020;0.0
16/05/2015;8:00:00;0;0.3;2;91;7;49;0.4;20.8;47;1021;0.0
16/05/2015;9:00:00;0;0.6;3;92;8;55;0.3;20.8;48;1021;0.0
16/05/2015;10:00:00;0;0.3;3;92;20;53;0.2;21.3;47;1022;0.0
16/05/2015;11:00:00;0;0.3;3;96;13;57;0.2;22.0;44;1022;0.0
16/05/2015;12:00:00;0;0.4;3;102;12;52;0.3;24.5;35;1022;0.0
16/05/2015;13:00:00;0;0.4;3;106;9;48;0.4;25.0;32;1022;0.0
16/05/2015;14:00:00;0;0.4;3;108;5;56;0.4;25.6;31;1022;0.0
16/05/2015;15:00:00;0;0.4;3;110;7;59;0.3;25.9;30;1022;0.0
16/05/2015;16:00:00;0;0.3;4;112;10;47;0.3;25.5;29;1022;0.0
16/05/2015;17:00:00;0;0.1;3;113;7;65;0.2;24.2;30;1022;0.0
16/05/2015;18:00:00;0;0.4;3;112;10;79;0.1;22.8;32;1022;0.0
16/05/2015;19:00:00;0;0.2;6;112;11;80;0.2;21.5;43;1022;0.0
16/05/2015;20:00:00;0;0.4;9;106;8;66;0.1;19.9;53;1023;0.0
16/05/2015;21:00:00;0;0.3;7;112;9;93;0.1;18.9;51;1023;0.0
16/05/2015;22:00:00;0;0.3;6;113;16;96;0.1;18.8;50;1023;0.0
16/05/2015;23:00:00;0;0.1;6;111;17;98;0.1;18.5;52;1023;0.0
16/05/2015;0:00:00;0;0.2;4;112;5;106;0.2;18.1;52;1023;0.0
17/05/2015;1:00:00;0;0.2;2;111;6;105;0.1;18.0;53;1022;0.0
17/05/2015;2:00:00;0;0.2;3;106;4;100;0.1;17.7;52;1022;0.0
17/05/2015;3:00:00;0;0.2;4;104;4;96;0.1;17.4;55;1022;0.0
17/05/2015;4:00:00;0;0.3;3;102;8;110;0.1;17.4;63;1021;0.0
17/05/2015;5:00:00;0;0.3;7;94;11;111;0.2;16.9;68;1021;0.0
17/05/2015;6:00:00;0;0.5;12;82;14;84;0.1;18.3;63;1022;0.0
17/05/2015;7:00:00;0;0.4;4;101;13;54;0.2;22.5;47;1022;0.0
17/05/2015;8:00:00;1;0.7;4;106;20;49;0.3;24.5;35;1022;0.0
17/05/2015;9:00:00;1;1.4;9;104;14;47;0.5;24.4;36;1022;0.0
17/05/2015;10:00:00;1;1.4;7;112;8;51;0.5;24.5;39;1022;0.0
17/05/2015;11:00:00;0;0.4;4;115;5;63;0.5;25.4;36;1022;0.0
