Fecha;BEN;CO;EBN;NO;NO2;NOX;O3;PM10;SO2;TOL
8/04/2015;null(null);0.1;null(null);11.0;25.0;42.0;68.0;23.0;3.7;null(null)
9/04/2015;null(null);0.1;null(null);2.5;12.0;16.0;67.0;15.0;1.0;null(null)
10/04/2015;null(null);0.1;null(null);2.5;14.0;18.0;64.0;14.0;1.6;null(null)
11/04/2015;null(null);0.11;null(null);2.3;7.8;11.0;64.0;8.1;1.5;null(null)
12/04/2015;null(null);0.14;null(null);12.0;27.0;46.0;49.0;12.0;5.3;null(null)
13/04/2015;null(null);0.11;null(null);11.0;27.0;44.0;57.0;33.0;4.0;null(null)
14/04/2015;null(null);0.11;null(null);8.5;40.0;53.0;49.0;47.0;7.3;null(null)
15/04/2015;null(null);0.12;null(null);5.5;27.0;36.0;39.0;31.0;2.1;null(null)
16/04/2015;null(null);0.1;null(null);2.2;11.0;15.0;74.0;21.0;1.1;null(null)
17/04/2015;null(null);0.1;null(null);12.0;24.0;42.0;56.0;8.3;4.8;null(null)
18/04/2015;null(null);0.1;null(null);3.0;16.0;20.0;60.0;5.6;2.6;null(null)
19/04/2015;null(null);0.11;null(null);1.8;5.5;8.3;67.0;10.0;1.4;null(null)
20/04/2015;null(null);0.11;null(null);7.8;18.0;30.0;54.0;15.0;2.2;null(null)
21/04/2015;null(null);0.14;null(null);3.4;18.0;23.0;65.0;20.0;2.3;null(null)
22/04/2015;null(null);0.11;null(null);4.0;13.0;19.0;56.0;14.0;1.4;null(null)
23/04/2015;null(null);0.12;null(null);9.0;16.0;30.0;55.0;9.8;2.8;null(null)
24/04/2015;null(null);0.11;null(null);9.5;24.0;39.0;46.0;7.3;4.1;null(null)
25/04/2015;null(null);0.11;null(null);6.3;18.0;27.0;58.0;7.8;3.1;null(null)
26/04/2015;null(null);0.11;null(null);7.1;12.0;23.0;67.0;6.1;2.5;null(null)
27/04/2015;null(null);0.18;null(null);1.8;4.8;7.7;68.0;11.0;1.0;null(null)
28/04/2015;null(null);0.1;null(null);4.6;13.0;20.0;52.0;13.0;2.4;null(null)
29/04/2015;null(null);0.11;null(null);5.2;13.0;21.0;61.0;12.0;3.0;null(null)
30/04/2015;null(null);0.14;null(null);2.3;6.7;10.0;55.0;3.6;2.0;null(null)
1/06/2015;0.01;0.14;null(null);2.8;7.1;11.0;68.0;7.8;1.5;0.01
2/06/2015;0.01;0.12;null(null);2.5;5.7;9.5;49.0;9.3;2.1;0.01
3/06/2015;0.01;0.12;null(null);2.5;7.4;11.0;44.0;16.0;1.3;0.01
4/06/2015;0.01;0.19;null(null);11.0;19.0;36.0;49.0;27.0;4.3;0.01
5/06/2015;0.01;0.13;null(null);2.2;2.8;6.1;62.0;12.0;1.1;0.01
6/06/2015;0.01;0.13;null(null);1.9;3.5;6.2;63.0;14.0;1.0;0.01
7/06/2015;0.01;0.19;null(null);1.9;3.7;6.8;66.0;13.0;1.3;0.01
8/06/2015;0.01;0.23;null(null);2.2;10.0;14.0;76.0;20.0;1.2;0.01
9/06/2015;0.01;0.13;null(null);1.9;6.5;9.5;93.0;26.0;1.1;0.01
10/06/2015;0.01;0.15;null(null);1.8;5.0;7.8;91.0;24.0;1.0;0.01
11/06/2015;0.01;0.1;null(null);3.5;10.0;15.0;78.0;15.0;3.3;0.01
12/06/2015;0.01;0.1;null(null);2.8;8.0;12.0;79.0;13.0;1.4;0.01
13/06/2015;0.01;0.12;null(null);7.3;18.0;29.0;59.0;8.1;3.8;0.01
14/06/2015;0.01;0.16;null(null);2.8;8.5;12.0;61.0;7.3;1.3;0.01
15/06/2015;0.01;0.14;null(null);1.8;2.9;5.6;77.0;10.0;1.0;0.01
16/06/2015;0.01;0.2;null(null);3.0;6.6;11.0;61.0;11.0;1.6;0.01
17/06/2015;0.01;0.13;null(null);2.1;4.8;7.8;85.0;19.0;1.3;0.01
18/06/2015;0.01;0.17;null(null);2.3;6.1;9.9;80.0;31.0;1.4;0.01
19/06/2015;0.01;0.15;null(null);3.1;4.3;8.8;44.0;16.0;1.1;0.01
20/06/2015;0.01;0.1;null(null);2.0;2.9;5.8;64.0;14.0;1.8;0.01
