Fecha;Hora;SO2;NO2;NO;O3;BEN;TOL;XIL
14/08/2015;16:00:00;8;9;2;64;0;0;0
14/08/2015;17:00:00;7;9;3;69;0;0;0
14/08/2015;18:00:00;8;10;3;76;0;0;0
14/08/2015;19:00:00;7;13;3;74;0;0;0
14/08/2015;20:00:00;7;16;3;71;0;0;0
14/08/2015;21:00:00;7;13;3;76;0;0;0
14/08/2015;22:00:00;7;11;2;77;0;0;0
14/08/2015;23:00:00;8;10;2;82;0;0;0
14/08/2015;0:00:00;9;7;2;89;0;0;0
15/08/2015;1:00:00;9;7;2;88;0;0;0
15/08/2015;2:00:00;6;7;2;81;0;0;0
15/08/2015;3:00:00;5;9;2;71;0;0;0
15/08/2015;4:00:00;6;8;2;66;0;0;0
15/08/2015;5:00:00;5;6;2;64;0;0;0
15/08/2015;6:00:00;6;7;2;54;0;0;0
15/08/2015;7:00:00;5;9;2;49;0;0;0
15/08/2015;8:00:00;5;9;2;43;0;0;0
15/08/2015;9:00:00;4;12;2;39;0;0;0
15/08/2015;10:00:00;5;11;2;40;0;0;0
15/08/2015;11:00:00;5;8;2;45;0;0;0
15/08/2015;12:00:00;5;8;3;52;0;0;0
15/08/2015;13:00:00;5;9;2;55;0;0;0
15/08/2015;14:00:00;6;10;2;56;0;0;0
15/08/2015;15:00:00;5;9;2;60;0;0;0
15/08/2015;16:00:00;6;7;2;65;0;0;0
15/08/2015;17:00:00;5;7;2;68;0;0;0
15/08/2015;18:00:00;4;7;2;74;0;0;0
15/08/2015;19:00:00;5;7;2;74;0;0;0
15/08/2015;20:00:00;5;7;2;77;0;0;0
15/08/2015;21:00:00;5;9;3;74;0;0;0
15/08/2015;22:00:00;5;10;2;70;0;0;0
15/08/2015;23:00:00;5;10;2;66;0;0;0
15/08/2015;0:00:00;5;8;3;63;0;0;0
16/08/2015;1:00:00;5;7;2;61;0;0;0
16/08/2015;2:00:00;7;6;2;57;0;0;0
16/08/2015;3:00:00;7;6;2;53;0;0;0
16/08/2015;4:00:00;7;6;2;47;0;0;0
16/08/2015;5:00:00;6;6;2;41;0;0;0
16/08/2015;6:00:00;6;7;2;31;0;0;0
16/08/2015;7:00:00;7;10;3;26;0;0;0
16/08/2015;8:00:00;6;10;3;26;0;0;0
16/08/2015;9:00:00;6;10;2;24;0;0;0
16/08/2015;10:00:00;6;9;3;29;0;0;0
16/08/2015;11:00:00;7;10;3;34;0;0;0
16/08/2015;12:00:00;8;15;4;38;0;0;0
16/08/2015;13:00:00;7;11;3;47;0;0;0
16/08/2015;14:00:00;8;11;3;47;0;0;0
16/08/2015;15:00:00;7;10;3;45;0;0;0
16/08/2015;16:00:00;8;8;2;47;0;0;0
16/08/2015;17:00:00;6;8;2;52;0;0;0
16/08/2015;18:00:00;7;9;2;48;0;0;0
16/08/2015;19:00:00;7;8;2;42;0;0;0
16/08/2015;20:00:00;7;9;3;43;0;0;0
16/08/2015;21:00:00;7;10;2;42;0;0;0
16/08/2015;22:00:00;7;10;2;42;0;0;0
16/08/2015;23:00:00;7;10;2;40;0;0;0
16/08/2015;0:00:00;8;7;2;47;0;0;0
17/08/2015;1:00:00;7;7;2;48;0;0;0
17/08/2015;2:00:00;6;7;2;46;0;0;0
17/08/2015;3:00:00;5;6;2;36;0;0;0
17/08/2015;4:00:00;5;7;2;34;0;0;0
17/08/2015;5:00:00;5;7;2;36;0;0;0
17/08/2015;6:00:00;6;8;2;36;0;0;0
17/08/2015;7:00:00;7;15;5;28;0;0;0
17/08/2015;8:00:00;6;21;8;23;0;0;0
17/08/2015;9:00:00;6;20;7;25;0;0;0
17/08/2015;10:00:00;6;22;6;24;0;0;0
17/08/2015;11:00:00;7;17;5;33;0;0;0
17/08/2015;12:00:00;7;15;5;39;0;0;0
17/08/2015;13:00:00;7;15;5;42;0;0;0
17/08/2015;14:00:00;8;15;3;47;0;0;0
17/08/2015;15:00:00;8;14;3;53;0;0;0
17/08/2015;16:00:00;7;14;3;56;0;0;0
17/08/2015;17:00:00;8;11;3;57;0;0;0
17/08/2015;18:00:00;8;10;2;64;0;0;0
17/08/2015;19:00:00;7;11;3;68;0;0;0
17/08/2015;20:00:00;7;12;2;69;0;0;0
17/08/2015;21:00:00;7;12;2;69;0;0;0
17/08/2015;22:00:00;7;15;3;68;0;0;0
17/08/2015;23:00:00;7;14;3;67;0;0;0
17/08/2015;0:00:00;8;13;2;65;0;0;0
18/08/2015;1:00:00;7;11;3;62;0;0;0
18/08/2015;2:00:00;7;8;2;67;0;0;0
18/08/2015;3:00:00;7;7;2;63;0;0;0
18/08/2015;4:00:00;6;8;2;59;0;0;0
18/08/2015;5:00:00;6;9;2;52;0;0;0
18/08/2015;6:00:00;7;12;3;43;0;0;0
18/08/2015;7:00:00;6;18;3;37;0;0;0
18/08/2015;8:00:00;7;36;6;22;0;0;0
18/08/2015;9:00:00;7;42;10;19;0;0;0
18/08/2015;10:00:00;8;44;13;21;0;0;0
18/08/2015;11:00:00;8;35;10;37;0;0;0
18/08/2015;12:00:00;8;35;8;52;0;0;0
18/08/2015;13:00:00;8;21;4;71;0;0;0
18/08/2015;14:00:00;8;17;3;72;0;0;0
18/08/2015;15:00:00;8;20;3;73;0;0;0
18/08/2015;16:00:00;7;15;3;76;0;0;0
18/08/2015;17:00:00;7;12;3;82;0;0;0
18/08/2015;18:00:00;8;11;3;89;0;0;0
18/08/2015;19:00:00;7;12;2;88;0;0;0
18/08/2015;20:00:00;7;14;3;89;0;0;0
18/08/2015;21:00:00;7;13;2;91;0;0;0
18/08/2015;22:00:00;7;14;2;89;0;0;0
18/08/2015;23:00:00;7;14;2;86;0;0;0
18/08/2015;0:00:00;7;18;2;77;0;0;0
19/08/2015;1:00:00;7;11;2;86;0;0;0
19/08/2015;2:00:00;4;8;2;84;0;0;0
19/08/2015;3:00:00;3;12;2;61;0;0;0
19/08/2015;4:00:00;4;8;2;76;0;0;0
19/08/2015;5:00:00;3;13;2;63;0;0;0
19/08/2015;6:00:00;3;15;2;59;0;0;0
19/08/2015;7:00:00;3;25;3;48;0;0;0
19/08/2015;8:00:00;5;53;10;21;0;0;0
19/08/2015;9:00:00;4;45;6;29;0;0;0
19/08/2015;10:00:00;10;60;6;44;0;0;0
19/08/2015;11:00:00;7;50;8;53;0;0;0
19/08/2015;12:00:00;5;44;9;56;0;0;0
19/08/2015;13:00:00;4;30;4;70;0;0;0
19/08/2015;14:00:00;4;39;8;68;0;0;0
19/08/2015;15:00:00;5;32;4;71;0;0;0
19/08/2015;16:00:00;4;25;4;73;0;0;0
19/08/2015;17:00:00;4;20;2;81;0;0;0
19/08/2015;18:00:00;4;18;3;86;0;0;0
19/08/2015;19:00:00;3;36;6;77;0;0;0
19/08/2015;20:00:00;5;34;11;80;0;0;0
19/08/2015;21:00:00;3;24;3;91;0;0;0
19/08/2015;22:00:00;4;22;2;87;0;0;0
19/08/2015;23:00:00;4;17;3;87;0;0;0
19/08/2015;0:00:00;3;14;2;87;0;0;0
20/08/2015;1:00:00;3;23;4;77;0;0;0
20/08/2015;2:00:00;6;15;2;80;0;0;0
