Fecha;Hora;S02;NO;NO2;PM10;O3;dd;vv;TMP;PRB;LL
09/06/2015;5:00:00;;0.0;4;;51;342;0.0;17.2;1006;0.0
09/06/2015;6:00:00;;1.7;11;;44;287;0.1;16.8;1007;0.0
09/06/2015;7:00:00;;11.1;41;;46;73;0.3;19.1;1007;0.0
09/06/2015;8:00:00;;3.4;12;;96;82;0.6;24.3;1007;0.0
09/06/2015;9:00:00;;1.2;6;;120;88;0.8;26.1;1007;0.0
09/06/2015;10:00:00;;0.6;6;;122;109;0.8;27.1;1007;0.0
09/06/2015;11:00:00;;1.1;6;;122;119;1.0;27.2;1007;0.0
09/06/2015;12:00:00;;0.4;4;;128;109;1.0;27.8;1007;0.0
09/06/2015;13:00:00;;0.5;5;;129;111;1.1;28.6;1007;0.0
09/06/2015;14:00:00;;0.5;5;;128;99;1.0;27.7;1007;0.0
09/06/2015;15:00:00;;0.5;6;;127;121;1.0;28.2;1007;0.0
09/06/2015;16:00:00;;0.4;5;;120;97;1.1;27.7;1006;0.0
09/06/2015;17:00:00;;0.3;5;;114;110;0.8;27.8;1005;0.0
09/06/2015;18:00:00;;0.7;7;;118;99;0.8;27.8;1005;0.0
09/06/2015;19:00:00;;0.0;3;;120;110;0.9;26.9;1005;0.0
09/06/2015;20:00:00;;0.0;2;;108;101;0.8;24.7;1005;0.0
09/06/2015;21:00:00;;0.0;2;;101;152;0.4;23.2;1006;0.0
09/06/2015;22:00:00;;0.0;3;;92;52;0.1;22.4;1006;0.0
09/06/2015;23:00:00;;0.1;5;;64;50;0.0;21.8;1007;0.0
09/06/2015;0:00:00;;0.0;4;;39;50;0.0;20.8;1007;0.0
10/06/2015;1:00:00;;0.0;3;;55;177;0.0;20.1;1007;0.0
10/06/2015;2:00:00;;0.8;10;;51;320;0.1;19.7;1006;0.0
10/06/2015;3:00:00;;0.8;9;;41;333;0.0;19.1;1006;0.0
10/06/2015;4:00:00;;0.4;8;;41;333;0.0;18.4;1006;0.0
10/06/2015;5:00:00;;0.1;6;;33;333;0.0;17.6;1006;0.0
10/06/2015;6:00:00;;0.2;6;;26;333;0.0;17.5;1006;0.0
10/06/2015;7:00:00;;11.1;27;;23;314;0.0;18.8;1006;0.0
10/06/2015;8:00:00;;0.7;7;;92;116;0.3;22.9;1006;0.0
10/06/2015;9:00:00;;0.3;4;;94;117;0.4;25.0;1006;0.0
10/06/2015;10:00:00;;0.9;7;;98;144;0.4;26.8;1006;0.0
10/06/2015;11:00:00;;1.0;7;;101;115;0.7;27.6;1006;0.0
10/06/2015;12:00:00;;0.5;5;;100;116;1.0;27.7;1007;0.0
10/06/2015;13:00:00;;0.5;5;;104;105;1.2;28.7;1007;0.0
10/06/2015;14:00:00;;1.7;6;;98;119;1.1;29.3;1006;0.0
10/06/2015;15:00:00;;0.6;5;;96;118;1.1;29.4;1006;0.0
10/06/2015;16:00:00;;0.6;5;;96;110;1.3;28.6;1006;0.0
10/06/2015;17:00:00;;0.9;5;;98;123;0.9;28.2;1005;0.0
10/06/2015;18:00:00;;0.4;4;;96;111;0.9;27.5;1005;0.0
10/06/2015;19:00:00;;0.3;5;;93;102;0.7;26.5;1005;0.0
10/06/2015;20:00:00;;0.2;5;;94;110;0.6;24.6;1005;0.0
10/06/2015;21:00:00;;0.1;6;;95;73;0.2;23.6;1005;0.0
10/06/2015;22:00:00;;0.1;5;;85;94;0.1;23.0;1007;0.0
10/06/2015;23:00:00;;0.0;3;;81;132;0.1;22.5;1007;0.0
10/06/2015;0:00:00;;0.0;3;;79;99;0.1;22.0;1006;0.0
11/06/2015;1:00:00;;0.0;2;7;82;82;0.1;21.8;1006;0.0
11/06/2015;2:00:00;;0.0;2;11;80;110;0.1;21.6;1006;0.0
11/06/2015;3:00:00;;0.0;1;18;73;234;0.2;20.9;1005;0.0
11/06/2015;4:00:00;;0.0;2;36;75;303;0.2;21.0;1005;0.0
11/06/2015;5:00:00;;0.0;2;51;73;187;0.2;20.8;1004;0.0
11/06/2015;6:00:00;;0.0;3;78;74;31;0.2;20.4;1004;0.0
11/06/2015;7:00:00;;1.4;15;75;66;69;0.1;21.2;1003;0.0
