Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;LL;PRB;TMP;BEN;TOL;XIL
27/08/2015;6:00:00;6;2;12;3;44;n;n;n;n;n;n;n;n
27/08/2015;7:00:00;8;3;23;7;37;n;n;n;n;n;n;n;n
27/08/2015;8:00:00;9;3;37;9;17;n;n;n;n;n;n;n;n
27/08/2015;9:00:00;9;3;42;12;24;n;n;n;n;n;n;n;n
27/08/2015;10:00:00;10;3;48;19;24;n;n;n;n;n;n;n;n
27/08/2015;11:00:00;9;3;31;9;45;n;n;n;n;n;n;n;n
27/08/2015;12:00:00;7;14;18;5;61;n;n;n;n;n;n;n;n
27/08/2015;13:00:00;17;2;15;3;64;n;n;n;n;n;n;n;n
27/08/2015;14:00:00;3;2;16;4;72;n;n;n;n;n;n;n;n
27/08/2015;15:00:00;5;4;16;3;77;n;n;n;n;n;n;n;n
27/08/2015;16:00:00;4;3;13;3;79;n;n;n;n;n;n;n;n
27/08/2015;17:00:00;4;3;17;4;77;n;n;n;n;n;n;n;n
27/08/2015;18:00:00;11;5;18;4;80;n;n;n;n;n;n;n;n
27/08/2015;19:00:00;8;6;25;7;75;n;n;n;n;n;n;n;n
27/08/2015;20:00:00;4;6;27;6;75;n;n;n;n;n;n;n;n
27/08/2015;21:00:00;9;5;23;5;76;n;n;n;n;n;n;n;n
27/08/2015;22:00:00;3;4;19;5;74;n;n;n;n;n;n;n;n
27/08/2015;23:00:00;2;3;20;4;70;n;n;n;n;n;n;n;n
27/08/2015;0:00:00;9;4;16;3;66;n;n;n;n;n;n;n;n
28/08/2015;1:00:00;12;86;19;2;57;n;n;n;n;n;n;n;n
28/08/2015;2:00:00;8;2;29;7;44;n;n;n;n;n;n;n;n
28/08/2015;3:00:00;6;2;19;3;45;n;n;n;n;n;n;n;n
28/08/2015;4:00:00;11;2;11;2;41;n;n;n;n;n;n;n;n
28/08/2015;5:00:00;10;3;15;3;39;n;n;n;n;n;n;n;n
28/08/2015;6:00:00;3;2;16;4;36;n;n;n;n;n;n;n;n
28/08/2015;7:00:00;7;2;27;5;22;n;n;n;n;n;n;n;n
28/08/2015;8:00:00;25;2;40;13;11;n;n;n;n;n;n;n;n
28/08/2015;9:00:00;4;3;51;31;7;n;n;n;n;n;n;n;n
28/08/2015;10:00:00;10;3;46;14;37;n;n;n;n;n;n;n;n
28/08/2015;11:00:00;15;82;51;8;73;n;n;n;n;n;n;n;n
28/08/2015;12:00:00;13;93;36;6;55;n;n;n;n;n;n;n;n
28/08/2015;13:00:00;12;43;23;5;65;n;n;n;n;n;n;n;n
28/08/2015;14:00:00;9;44;23;3;80;n;n;n;n;n;n;n;n
28/08/2015;15:00:00;5;23;21;3;91;n;n;n;n;n;n;n;n
28/08/2015;16:00:00;2;14;18;3;89;n;n;n;n;n;n;n;n
28/08/2015;17:00:00;2;8;18;3;91;n;n;n;n;n;n;n;n
28/08/2015;18:00:00;7;8;16;3;96;n;n;n;n;n;n;n;n
28/08/2015;19:00:00;5;6;23;3;88;n;n;n;n;n;n;n;n
28/08/2015;20:00:00;6;90;28;4;89;n;n;n;n;n;n;n;n
28/08/2015;21:00:00;6;6;26;2;82;n;n;n;n;n;n;n;n
28/08/2015;22:00:00;2;7;45;5;67;n;n;n;n;n;n;n;n
28/08/2015;23:00:00;2;3;42;4;56;n;n;n;n;n;n;n;n
28/08/2015;0:00:00;7;2;38;4;49;n;n;n;n;n;n;n;n
29/08/2015;1:00:00;10;2;25;3;55;n;n;n;n;n;n;n;n
29/08/2015;2:00:00;9;3;30;3;46;n;n;n;n;n;n;n;n
29/08/2015;3:00:00;9;4;27;3;53;n;n;n;n;n;n;n;n
29/08/2015;4:00:00;19;4;16;3;62;n;n;n;n;n;n;n;n
29/08/2015;5:00:00;12;2;13;2;61;n;n;n;n;n;n;n;n
29/08/2015;6:00:00;7;2;13;3;60;n;n;n;n;n;n;n;n
29/08/2015;7:00:00;20;2;21;2;48;n;n;n;n;n;n;n;n
29/08/2015;8:00:00;10;6;31;3;36;n;n;n;n;n;n;n;n
29/08/2015;9:00:00;11;7;24;4;44;n;n;n;n;n;n;n;n
29/08/2015;10:00:00;17;3;40;9;36;n;n;n;n;n;n;n;n
29/08/2015;11:00:00;3;124;31;5;69;n;n;n;n;n;n;n;n
29/08/2015;12:00:00;2;27;25;4;72;n;n;n;n;n;n;n;n
29/08/2015;13:00:00;4;5;22;3;80;n;n;n;n;n;n;n;n
29/08/2015;14:00:00;9;5;20;3;76;n;n;n;n;n;n;n;n
29/08/2015;15:00:00;7;6;15;3;81;n;n;n;n;n;n;n;n
29/08/2015;16:00:00;9;6;14;2;79;n;n;n;n;n;n;n;n
29/08/2015;17:00:00;12;7;16;4;74;n;n;n;n;n;n;n;n
29/08/2015;18:00:00;17;6;14;2;72;n;n;n;n;n;n;n;n
29/08/2015;19:00:00;9;4;19;4;69;n;n;n;n;n;n;n;n
29/08/2015;20:00:00;16;63;29;6;61;n;n;n;n;n;n;n;n
29/08/2015;21:00:00;21;10;39;8;59;n;n;n;n;n;n;n;n
29/08/2015;22:00:00;13;8;48;6;47;n;n;n;n;n;n;n;n
29/08/2015;23:00:00;12;4;30;4;60;n;n;n;n;n;n;n;n
29/08/2015;0:00:00;17;2;21;4;60;n;n;n;n;n;n;n;n
30/08/2015;1:00:00;8;2;19;4;56;n;n;n;n;n;n;n;n
30/08/2015;2:00:00;10;3;16;2;58;n;n;n;n;n;n;n;n
30/08/2015;3:00:00;11;2;17;2;56;n;n;n;n;n;n;n;n
30/08/2015;4:00:00;10;2;18;2;55;n;n;n;n;n;n;n;n
30/08/2015;5:00:00;4;8;17;2;51;n;n;n;n;n;n;n;n
30/08/2015;6:00:00;2;8;18;3;51;n;n;n;n;n;n;n;n
30/08/2015;7:00:00;17;2;16;3;55;n;n;n;n;n;n;n;n
30/08/2015;8:00:00;11;2;19;2;50;n;n;n;n;n;n;n;n
30/08/2015;9:00:00;8;2;23;3;47;n;n;n;n;n;n;n;n
30/08/2015;10:00:00;11;20;34;5;48;n;n;n;n;n;n;n;n
30/08/2015;11:00:00;12;27;34;6;52;n;n;n;n;n;n;n;n
30/08/2015;12:00:00;19;14;20;4;67;n;n;n;n;n;n;n;n
30/08/2015;13:00:00;8;10;18;3;68;n;n;n;n;n;n;n;n
30/08/2015;14:00:00;11;29;18;3;65;n;n;n;n;n;n;n;n
30/08/2015;15:00:00;9;14;12;3;68;n;n;n;n;n;n;n;n
30/08/2015;16:00:00;17;23;14;4;62;n;n;n;n;n;n;n;n
30/08/2015;17:00:00;10;12;12;3;70;n;n;n;n;n;n;n;n
30/08/2015;18:00:00;28;15;12;3;74;n;n;n;n;n;n;n;n
30/08/2015;19:00:00;24;12;13;3;70;n;n;n;n;n;n;n;n
30/08/2015;20:00:00;2;74;15;4;66;n;n;n;n;n;n;n;n
30/08/2015;21:00:00;2;15;23;5;56;n;n;n;n;n;n;n;n
30/08/2015;22:00:00;18;14;26;5;52;n;n;n;n;n;n;n;n
30/08/2015;23:00:00;15;7;35;5;35;n;n;n;n;n;n;n;n
30/08/2015;0:00:00;16;5;23;3;38;n;n;n;n;n;n;n;n
31/08/2015;1:00:00;7;2;25;4;29;n;n;n;n;n;n;n;n
31/08/2015;2:00:00;10;2;20;4;26;n;n;n;n;n;n;n;n
31/08/2015;3:00:00;13;2;18;2;27;n;n;n;n;n;n;n;n
31/08/2015;4:00:00;13;2;17;3;27;n;n;n;n;n;n;n;n
31/08/2015;5:00:00;11;14;17;3;32;n;n;n;n;n;n;n;n
31/08/2015;6:00:00;10;3;19;4;38;n;n;n;n;n;n;n;n
31/08/2015;7:00:00;11;6;22;5;40;n;n;n;n;n;n;n;n
31/08/2015;8:00:00;16;2;26;5;35;n;n;n;n;n;n;n;n
31/08/2015;9:00:00;16;2;40;10;26;n;n;n;n;n;n;n;n
31/08/2015;10:00:00;10;2;35;14;34;n;n;n;n;n;n;n;n
31/08/2015;11:00:00;10;2;24;6;49;n;n;n;n;n;n;n;n
31/08/2015;12:00:00;18;2;24;7;53;n;n;n;n;n;n;n;n
31/08/2015;13:00:00;14;2;18;5;59;n;n;n;n;n;n;n;n
31/08/2015;14:00:00;20;5;23;8;58;n;n;n;n;n;n;n;n
31/08/2015;15:00:00;22;4;19;6;59;n;n;n;n;n;n;n;n
31/08/2015;16:00:00;13;4;18;4;62;n;n;n;n;n;n;n;n
31/08/2015;17:00:00;12;6;20;6;59;n;n;n;n;n;n;n;n
31/08/2015;18:00:00;18;6;18;3;59;n;n;n;n;n;n;n;n
31/08/2015;19:00:00;13;9;24;8;59;n;n;n;n;n;n;n;n
31/08/2015;20:00:00;16;11;35;11;62;n;n;n;n;n;n;n;n
31/08/2015;21:00:00;17;8;32;9;57;n;n;n;n;n;n;n;n
31/08/2015;22:00:00;11;6;26;4;55;n;n;n;n;n;n;n;n
31/08/2015;23:00:00;9;5;21;4;59;n;n;n;n;n;n;n;n
31/08/2015;0:00:00;16;3;21;2;58;n;n;n;n;n;n;n;n
01/05/2015;1:00:00;6;2.75;7.75;4.25;46.75;n;n;n;n;n;n;n;n
01/05/2015;2:00:00;7;2.5;6.5;4.75;42;n;n;n;n;n;n;n;n
01/05/2015;3:00:00;9;2;5;4.75;44.75;n;n;n;n;n;n;n;n
01/05/2015;4:00:00;14;2;5;4.5;39.75;n;n;n;n;n;n;n;n
01/05/2015;5:00:00;10;2.25;5.75;4.5;29.25;n;n;n;n;n;n;n;n
01/05/2015;6:00:00;9;2.25;4;4;26.75;n;n;n;n;n;n;n;n
01/05/2015;7:00:00;7;2;5.5;4.75;21.75;n;n;n;n;n;n;n;n
01/05/2015;8:00:00;7;2.25;10.5;6.25;14.75;n;n;n;n;n;n;n;n
01/05/2015;9:00:00;13;2.25;10.25;7.75;20.75;n;n;n;n;n;n;n;n
01/05/2015;10:00:00;9.25;2;10.75;7.75;33.25;n;n;n;n;n;n;n;n
01/05/2015;11:00:00;9;2;10;7.25;52.5;n;n;n;n;n;n;n;n
01/05/2015;12:00:00;30.75;2.75;9.5;6.75;70;n;n;n;n;n;n;n;n
01/05/2015;13:00:00;13.25;4.5;9.25;6.25;73.5;n;n;n;n;n;n;n;n
01/05/2015;14:00:00;8;7.75;9;6;74.5;n;n;n;n;n;n;n;n
01/05/2015;15:00:00;16;8;8.5;4.25;77;n;n;n;n;n;n;n;n
01/05/2015;17:00:00;5;6;7.5;3;75.75;n;n;n;n;n;n;n;n
01/05/2015;18:00:00;7;4.5;7.5;3.25;78.5;n;n;n;n;n;n;n;n
01/05/2015;19:00:00;5;3.75;9;3.75;80;n;n;n;n;n;n;n;n
01/05/2015;20:00:00;30;4.5;9.5;4;79;n;n;n;n;n;n;n;n
01/05/2015;21:00:00;2.25;6.75;11.75;3.75;73.5;n;n;n;n;n;n;n;n
01/05/2015;22:00:00;2;6.75;16;4.75;63.25;n;n;n;n;n;n;n;n
01/05/2015;23:00:00;16;3.75;13;4.25;52.5;n;n;n;n;n;n;n;n
01/05/2015;0:00:00;18;3.5;8.75;3.75;51.75;n;n;n;n;n;n;n;n
02/05/2015;1:00:00;8;3;12.75;5;42.5;n;n;n;n;n;n;n;n
02/05/2015;2:00:00;15;3;19.25;6.75;29;n;n;n;n;n;n;n;n
02/05/2015;3:00:00;13;2;6.75;6;32.25;n;n;n;n;n;n;n;n
02/05/2015;4:00:00;14;2;4.25;5.5;32.75;n;n;n;n;n;n;n;n
02/05/2015;5:00:00;7;2;5;5.75;30.5;n;n;n;n;n;n;n;n
02/05/2015;6:00:00;7;2;5;6;23.25;n;n;n;n;n;n;n;n
02/05/2015;7:00:00;5;2;10;8.25;18;n;n;n;n;n;n;n;n
02/05/2015;8:00:00;16;2;10.75;8.25;10.5;n;n;n;n;n;n;n;n
02/05/2015;9:00:00;7.25;2;10.5;11;12.75;n;n;n;n;n;n;n;n
02/05/2015;10:00:00;6;2.25;18;14.5;28;n;n;n;n;n;n;n;n
02/05/2015;11:00:00;23.75;24.25;15.75;7.25;61;n;n;n;n;n;n;n;n
02/05/2015;12:00:00;28.75;7;11;8;59.75;n;n;n;n;n;n;n;n
02/05/2015;13:00:00;14.25;4.25;9;6.5;71.5;n;n;n;n;n;n;n;n
02/05/2015;14:00:00;12;5.25;10;6.25;66;n;n;n;n;n;n;n;n
02/05/2015;15:00:00;6.25;5;7.5;4.75;66;n;n;n;n;n;n;n;n
02/05/2015;16:00:00;8;3.5;7.5;4.25;69.75;n;n;n;n;n;n;n;n
02/05/2015;17:00:00;20.6667;3.33333;7.33333;3.66667;71;n;n;n;n;n;n;n;n
02/05/2015;18:00:00;10;2.25;8.5;4;69.5;n;n;n;n;n;n;n;n
02/05/2015;19:00:00;9;3.75;9.75;4.25;70.5;n;n;n;n;n;n;n;n
02/05/2015;20:00:00;5;3.25;11;4.75;69.5;n;n;n;n;n;n;n;n
02/05/2015;21:00:00;19;3.5;17.75;5.25;58.5;n;n;n;n;n;n;n;n
02/05/2015;22:00:00;15;3;15.25;4.5;50.5;n;n;n;n;n;n;n;n
02/05/2015;23:00:00;21.75;3;17.5;6.25;50.75;n;n;n;n;n;n;n;n
02/05/2015;0:00:00;14;3;11.25;5;43;n;n;n;n;n;n;n;n
03/05/2015;1:00:00;14;2.75;7.5;4.25;44;n;n;n;n;n;n;n;n
03/05/2015;2:00:00;11;2.25;7.75;4.75;45.25;n;n;n;n;n;n;n;n
03/05/2015;3:00:00;12;2.5;7.5;5.75;42;n;n;n;n;n;n;n;n
03/05/2015;4:00:00;25.75;2;5.5;6;37.5;n;n;n;n;n;n;n;n
03/05/2015;5:00:00;9.25;2.25;6.25;7.25;29.25;n;n;n;n;n;n;n;n
03/05/2015;6:00:00;7;2;5.75;6.75;24.75;n;n;n;n;n;n;n;n
03/05/2015;7:00:00;6;2;7;7.25;30.5;n;n;n;n;n;n;n;n
03/05/2015;8:00:00;6;2;7.75;6.5;37.25;n;n;n;n;n;n;n;n
03/05/2015;9:00:00;8;2.5;15.5;11;26;n;n;n;n;n;n;n;n
03/05/2015;10:00:00;11;2.5;11.75;9.75;36.5;n;n;n;n;n;n;n;n
