Fecha;CO;NO;NO2;PM10;SO2
22/12/2014;1.1;80;66;42;36
23/12/2014;0.7;56;47;31;20
24/12/2014;0.8;55;39;42;19
25/12/2014;0.7;27;41;27;16
26/12/2014;0.8;49;45;35;22
27/12/2014;0.5;18;19;32;11
28/12/2014;0.5;16;32;16;11
29/12/2014;0.7;41;54;28;20
30/12/2014;1.1;98;73;42;32
31/12/2014;1;62;62;35;33
01/01/2015;1;49;58;31;34
02/01/2015;1.3;94;68;53;43
03/01/2015;1.1;70;54;42;37
04/01/2015;1;61;49;43;30
05/01/2015;1;69;47;37;31
06/01/2015;0.7;21;27;27;17
07/01/2015;0.7;55;42;36;21
08/01/2015;1;84;45;48;26
09/01/2015;1.4;120;45;66;39
10/01/2015;1.2;81;36;51;33
11/01/2015;0.9;53;36;36;29
12/01/2015;0.5;27;37;26;15
13/01/2015;0.6;27;38;25;16
14/01/2015;0.7;32;47;25;21
15/01/2015;0.3;10;24;12;20
16/01/2015;0.4;19;30;12;25
17/01/2015;0.5;13;29;17;27
18/01/2015;0.4;11;27;12;26
19/01/2015;0.5;31;48;22;29
20/01/2015;0.6;27;46;15;29
21/01/2015;0.4;24;37;12;25
22/01/2015;0.5;27;41;13;26
23/01/2015;0.6;39;57;24;34
24/01/2015;0.6;33;51;37;36
25/01/2015;0.7;22;42;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;35
26/01/2015;0.8;57;65;;42
27/01/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;34
28/01/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;30
29/01/2015;0.3;16;19;9;25
30/01/2015;0.3;20;20;5;19
31/01/2015;0.4;18;22;7;17
01/02/2015;0.3;14;17;7;16
02/02/2015;0.5;26;35;9;17
03/02/2015;0.4;28;37;8;17
04/02/2015;0.4;30;41;10;18
05/02/2015;0.5;33;44;13;19
06/02/2015;0.6;43;52;15;20
07/02/2015;0.8;42;55;26;27
08/02/2015;0.6;22;41;25;27
09/02/2015;0.7;42;61;26;28
10/02/2015;0.7;46;63;32;27
11/02/2015;0.7;46;64;39;28
12/02/2015;0.9;54;68;38;17
13/02/2015;0.8;42;56;32;6
14/02/2015;0.3;7;19;8;6
15/02/2015;0.4;8;20;10;9
16/02/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;6
17/02/2015;0.4;13;28;12;2
18/02/2015;0.6;30;45;23;7
19/02/2015;0.6;34;55;26;11
20/02/2015;0.6;32;51;23;6
21/02/2015;0.5;14;35;15;6
22/02/2015;0.3;6;14;9;8
23/02/2015;0.3;12;18;9;6
24/02/2015;0.3;12;26;11;3
25/02/2015;0.4;15;30;13;5
26/02/2015;0.4;17;30;11;6
27/02/2015;0.4;18;40;13;4
28/02/2015;0.3;8;15;10;6
01/03/2015;0.2;4;9;8;3
02/03/2015;0.3;9;17;10;3
03/03/2015;0.3;16;27;14;3
04/03/2015;0.4;18;37;16;1
05/03/2015;0.6;24;41;25;3
06/03/2015;0.6;37;52;28;6
07/03/2015;0.6;29;50;28;6
08/03/2015;0.5;12;36;18;3
09/03/2015;0.6;39;58;34;6
10/03/2015;0.5;32;53;42;6
11/03/2015;0.6;32;62;47;8
12/03/2015;0.5;22;57;47;5
13/03/2015;0.3;11;48;18;2
14/03/2015;0.5;7;44;14;1
15/03/2015;0.5;5;47;20;1
16/03/2015;0.5;13;64;34;4
17/03/2015;0.5;12;61;30;3
18/03/2015;0.4;4;46;17;2
19/03/2015;0.4;5;53;15;2
20/03/2015;0.5;12;70;22;2
21/03/2015;0.4;5;63;13;2
22/03/2015;0.3;3;44;8;1
23/03/2015;0.4;7;64;11;1
24/03/2015;0.4;7;66;12;2
25/03/2015;0.3;8;82;16;1
26/03/2015;0.3;11;46;14;3
27/03/2015;0.3;17;27;12;1
28/03/2015;0.3;18;32;15;2
29/03/2015;0.3;10;19;13;1
30/03/2015;0.4;19;31;14;4
31/03/2015;0.3;22;31;17;1
01/04/2015;0.3;14;32;16;1
02/04/2015;0.3;15;34;17;1
03/04/2015;0.3;12;24;17;1
04/04/2015;0.4;12;28;16;1
05/04/2015;0.5;10;23;14;1
06/04/2015;0.4;17;30;16;1
07/04/2015;0.3;13;29;18;1
08/04/2015;0.3;8;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;23;1
09/04/2015;0.3;6;;26;1
10/04/2015;0.5;6;;14;1
11/04/2015;0.4;7;;16;1
12/04/2015;0.4;3;;27;2
13/04/2015;0.3;10;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;48;2
14/04/2015;0.3;14;25;51;5
15/04/2015;0.4;19;33;33;4
16/04/2015;0.3;20;27;26;7
17/04/2015;0.3;14;23;21;4
18/04/2015;0.3;9;17;13;3
19/04/2015;0.4;8;16;8;5
20/04/2015;0.4;18;27;15;5
21/04/2015;0.4;13;21;19;4
22/04/2015;0.4;16;25;18;3
23/04/2015;0.4;8;18;18;5
24/04/2015;0.4;15;24;15;4
25/04/2015;0.3;5;9;8;3
26/04/2015;0.3;5;11;7;3
27/04/2015;0.3;16;23;11;2
28/04/2015;0.4;15;24;13;5
29/04/2015;0.4;13;17;16;5
30/04/2015;0.3;13;19;17;5
