Fecha;BEN;CO;EBN;NO;NO2;NOX;OXL;PM10;PM25;TOL
09/03/2015;0.95;0.51;0.97;34;87;117;1.86;28;12;4.91
08/03/2015;0.76;0.44;0.57;21;84;79;0.74;15;10;4.09
07/03/2015;1;0.64;0.94;27;78;88;1.41;21;11;5.6
06/03/2015;1.08;0.57;1.36;45;95;130;2.27;24;10;6.4
05/03/2015;0.43;0.24;0.08;13;57;51;0.24;14;5;0.57
04/03/2015;0.34;0.22;0.04;6;40;30;0.07;7;2;0.25
03/03/2015;0.49;0.46;0.28;15;72;53;0.63;9;5;1.56
02/03/2015;0.38;0.27;0.1;8;62;38;0.3;;3;0.81
01/03/2015;0.54;0.45;0.26;7;40;29;0.26;9;3;2.25
28/02/2015;0.67;0.44;0.33;19;80;68;0.77;11;6;2.45
27/02/2015;0.37;0.24;0.07;7;57;34;0.08;6;2;0.68
26/02/2015;0.27;0.22;0.3;3;45;24;0.52;4;;0.62
25/02/2015;0.33;0.22;0.44;3;37;20;0.42;4;2;0.49
24/02/2015;0.33;0.22;0.18;3;44;22;0.16;5;1;0.41
23/02/2015;0.44;0.38;0.2;6;51;35;0.55;9;4;1.16
22/02/2015;0.34;0.32;0.03;3;48;23;0.05;6;3;0.27
21/02/2015;0.34;0.23;0.02;3;17;14;0.04;6;2;0.14
20/02/2015;0.93;0.57;0.83;24;70;72;0.84;27;15;3.76
19/02/2015;1.13;0.55;0.88;39;87;110;1.03;24;13;4.71
18/02/2015;0.61;0.34;0.17;15;65;63;0.13;14;7;1.05
17/02/2015;0.39;0.24;0.04;9;46;39;0.07;10;2;0.38
16/02/2015;0.34;0.19;0.15;4;52;25;0.3;5;1;0.71
15/02/2015;0.36;0.25;0.07;4;44;27;0.1;;2;0.57
14/02/2015;0.59;0.36;0.27;9;76;45;0.41;11;6;1.6
13/02/2015;0.99;0.69;0.76;37;91;97;0.89;26;16;4.15
12/02/2015;1.35;0.72;2.03;64;106;168;2.32;39;24;7.9
11/02/2015;1.72;0.75;2.66;87;106;214;5.82;47;29;8.87
10/02/2015;1.44;0.7;1.66;65;116;170;3.64;33;20;7.11
09/02/2015;0.83;0.55;0.45;33;110;104;0.46;21;;2.76
08/02/2015;0.75;0.34;0.02;9;45;40;0.03;16;;0.34
07/02/2015;0.93;0.35;0.04;10;57;44;0.02;13;;0.49
06/02/2015;0.67;0.32;0.04;12;48;49;0.03;7;;0.48
05/02/2015;0.39;0.27;0.01;9;48;38;0.02;5;;0.12
04/02/2015;0.36;0.29;0;11;57;46;0.04;7;;0.16
03/02/2015;0.34;0.32;0;7;67;41;0.31;5;;0.48
02/02/2015;0.35;0.33;0;7;72;39;0.13;5;;0.46
01/02/2015;0.23;0.22;0;3;36;18;0.06;;;0.08
31/01/2015;0.21;0.24;0;3;27;16;0.21;;2;0.07
30/01/2015;0.3;0.31;0;7;83;39;1;5;;0.53
29/01/2015;0.3;0.27;0.19;4;42;25;0.49;10;;0.64
28/01/2015;0.33;0.25;0.46;3;55;29;0.66;9;;1.14
27/01/2015;0.38;0.26;0.23;6;47;35;0.41;8;;0.53
26/01/2015;0.47;0.31;1.16;9;64;51;1.97;16;7;1
25/01/2015;0.43;0.31;0.03;7;47;35;0.06;14;5;0.36
24/01/2015;1.02;0.63;0.79;39;68;100;1.26;19;13;4.1
23/01/2015;0.66;0.37;0.33;13;75;62;0.33;11;8;1.84
22/01/2015;0.47;0.3;0.25;6;56;36;0.3;5;4;0.76
21/01/2015;0.41;0.25;0.23;3;40;25;0.15;5;4;0.83
20/01/2015;;0.31;;5;55;37;;8;6;
19/01/2015;;0.29;;8;47;44;;12;5;
18/01/2015;0.31;0.3;0.16;4;39;28;0.04;9;;0.59
17/01/2015;0.24;0.28;0.32;4;50;24;0.01;9;5;0.79
16/01/2015;0.2;0.35;0.52;3;43;24;0.44;5;;0.87
15/01/2015;0.27;0.36;0.3;10;78;39;0.51;9;;1.15
14/01/2015;0.43;0.42;0.35;25;100;66;0.64;11;;1.78
13/01/2015;0.53;0.4;0.65;22;72;64;1.44;21;15;2.61
12/01/2015;0.65;0.39;0.98;25;64;81;2.1;19;14;3.46
11/01/2015;0.4;0.35;0.28;11;66;49;0.18;16;8;1.31
10/01/2015;1.49;1.31;1.61;82;77;174;2.26;27;20;11.38
09/01/2015;2.6;1.29;3.5;182;130;354;4.66;41;27;22.04
08/01/2015;1.52;0.81;2.22;101;90;210;2.88;27;20;12.48
07/01/2015;0.85;0.58;1.25;63;81;150;1.78;22;15;7.61
06/01/2015;0.55;0.35;0.32;19;57;67;0.28;14;;1.71
05/01/2015;0.51;0.54;0.48;21;55;68;0.32;11;;2.25
04/01/2015;0.89;0.78;0.8;41;71;113;1.21;18;14;4.38
03/01/2015;1.77;1.36;1.46;127;107;264;2.57;28;23;9.08
02/01/2015;2.2;1.32;2.17;187;137;364;3.56;36;28;13.75
01/01/2015;2.21;1.08;1.59;111;113;237;3.88;54;40;12.46
