Fecha;NO;NO2;O3
20/06/2015;1;8;78
21/06/2015;1;11;85
22/06/2015;4;24;76
23/06/2015;1;12;87
24/06/2015;2;16;73
25/06/2015;3;25;76
26/06/2015;3;23;79
27/06/2015;2;20;89
28/06/2015;2;18;70
29/06/2015;3;28;75
30/06/2015;2;25;82
01/07/2015;2;18;78
02/07/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;71
03/07/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;80
04/07/2015;3;21;84
05/07/2015;3;16;58
06/07/2015;3;19;67
07/07/2015;3;20;80
08/07/2015;2;13;66
09/07/2015;2;15;85
10/07/2015;3;20;84
11/07/2015;2;7;86
12/07/2015;2;10;79
13/07/2015;3;12;94
14/07/2015;3;15;105
15/07/2015;3;23;85
16/07/2015;3;25;78
17/07/2015;6;37;56
18/07/2015;2;14;79
19/07/2015;2;7;68
20/07/2015;4;13;72
21/07/2015;3;16;77
22/07/2015;2;11;73
23/07/2015;3;13;70
24/07/2015;3;12;60
25/07/2015;2;8;81
26/07/2015;3;11;64
27/07/2015;2;11;63
28/07/2015;2;12;63
29/07/2015;3;13;50
30/07/2015;2;12;58
31/07/2015;3;12;62
01/08/2015;2;11;89
02/08/2015;2;19;87
03/08/2015;3;20;81
04/08/2015;3;21;70
05/08/2015;4;27;65
06/08/2015;5;24;64
07/08/2015;2;12;74
08/08/2015;2;5;75
09/08/2015;2;6;84
10/08/2015;4;23;60
11/08/2015;4;23;70
12/08/2015;3;17;63
13/08/2015;2;7;67
14/08/2015;2;8;58
15/08/2015;2;7;60
16/08/2015;2;11;51
17/08/2015;3;11;61
18/08/2015;2;8;70
19/08/2015;3;14;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
20/08/2015;4;24;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
21/08/2015;4;23;76
22/08/2015;2;11;90
23/08/2015;2;4;65
24/08/2015;3;11;60
25/08/2015;5;23;51
26/08/2015;4;19;54
27/08/2015;4;12;47
28/08/2015;5;22;46
29/08/2015;6;26;62
30/08/2015;2;13;59
31/08/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;44
01/09/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;63
02/09/2015;3;15;63
03/09/2015;2;11;75
04/09/2015;2;13;71
05/09/2015;2;12;70
06/09/2015;2;9;75
07/09/2015;3;14;74
08/09/2015;4;23;63
09/09/2015;4;22;60
10/09/2015;5;23;56
11/09/2015;9;29;53
12/09/2015;3;19;57
13/09/2015;2;7;66
14/09/2015;3;13;56
15/09/2015;5;19;42
16/09/2015;3;8;62
17/09/2015;4;21;49
18/09/2015;6;23;42
19/09/2015;3;20;58
20/09/2015;5;24;53
21/09/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;56
22/09/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
23/09/2015;11;25;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
24/09/2015;6;33;37
25/09/2015;16;41;37
26/09/2015;8;27;50
27/09/2015;2;12;63
28/09/2015;3;19;57
29/09/2015;5;20;61
30/09/2015;5;24;55
01/10/2015;7;22;60
02/10/2015;7;23;62
03/10/2015;8;30;47
04/10/2015;3;13;35
05/10/2015;3;9;62
06/10/2015;4;13;58
07/10/2015;11;25;39
08/10/2015;4;19;47
09/10/2015;9;33;36
10/10/2015;9;28;43
11/10/2015;2;17;41
12/10/2015;2;14;37
13/10/2015;2;15;63
14/10/2015;3;20;57
15/10/2015;6;32;46
16/10/2015;14;43;26
17/10/2015;4;25;37
18/10/2015;4;21;30
19/10/2015;4;21;33
20/10/2015;2;10;66
21/10/2015;7;18;58
22/10/2015;7;27;39
23/10/2015;28;46;19
24/10/2015;6;27;29
25/10/2015;2;15;53
26/10/2015;9;28;27
27/10/2015;5;21;45
28/10/2015;4;17;50
29/10/2015;7;23;37
30/10/2015;13;27;20
31/10/2015;6;26;40
01/11/2015;2;10;51
02/11/2015;2;9;64
03/11/2015;6;22;41
