Fecha;Hora;SO2;NO;NO2;PM10;dd;vv;TMP;O3
05/06/2015;10:00:00;0;-0.1;0;;102;1.7;27.5;92
05/06/2015;11:00:00;0;-0.1;0;;100;2.0;28.0;96
05/06/2015;12:00:00;0;-0.1;1;;117;2.3;27.6;97
05/06/2015;13:00:00;0;0.0;0;;112;2.1;28.0;97
05/06/2015;14:00:00;0;-0.1;0;;111;2.0;28.1;91
05/06/2015;15:00:00;0;-0.1;0;;118;2.1;28.5;90
05/06/2015;16:00:00;0;-0.1;0;;104;1.9;28.5;91
05/06/2015;17:00:00;0;-0.1;0;;99;1.9;28.2;95
05/06/2015;18:00:00;0;-0.1;0;;107;2.0;27.5;93
05/06/2015;19:00:00;0;0.0;2;;105;1.8;26.2;87
05/06/2015;20:00:00;0;-0.1;4;;69;0.8;24.7;82
05/06/2015;21:00:00;0;-0.1;4;;59;0.1;22.4;79
05/06/2015;22:00:00;0;-0.1;12;;57;0.1;20.9;59
05/06/2015;23:00:00;0;-0.1;18;;50;0.2;19.0;38
05/06/2015;0:00:00;0;-0.1;22;;50;0.2;17.4;27
06/06/2015;1:00:00;0;-0.1;29;;191;0.4;17.1;30
06/06/2015;2:00:00;0;1.3;42;;213;0.3;16.2;12
06/06/2015;3:00:00;0;0.7;40;;212;0.8;15.8;15
06/06/2015;4:00:00;0;-0.1;23;;212;0.8;16.3;32
06/06/2015;5:00:00;0;-0.1;19;;227;0.1;15.0;26
06/06/2015;6:00:00;0;0.0;21;;230;0.4;14.8;21
06/06/2015;7:00:00;0;0.2;6;;255;0.6;16.6;39
06/06/2015;8:00:00;0;-0.1;2;;256;0.4;22.2;70
06/06/2015;9:00:00;0;0.2;3;;276;0.3;26.0;84
06/06/2015;10:00:00;0;0.3;3;;103;1.2;27.8;86
06/06/2015;11:00:00;0;-0.1;0;;82;1.5;29.8;88
06/06/2015;12:00:00;0;-0.1;1;;76;1.7;30.9;88
06/06/2015;13:00:00;0;-0.1;0;;83;2.3;31.1;88
06/06/2015;14:00:00;0;-0.1;0;;79;2.3;31.3;88
06/06/2015;15:00:00;0;-0.1;0;;65;2.6;31.2;89
06/06/2015;16:00:00;0;-0.1;0;;65;2.4;30.7;94
06/06/2015;17:00:00;0;-0.1;-1;;66;2.2;29.7;89
06/06/2015;18:00:00;0;-0.1;0;;65;2.3;29.1;89
06/06/2015;19:00:00;0;-0.1;0;;61;1.8;28.3;92
06/06/2015;20:00:00;0;-0.1;1;;64;0.7;26.8;89
06/06/2015;21:00:00;0;-0.1;6;;67;0.3;23.9;74
06/06/2015;22:00:00;0;-0.1;18;;25;0.3;20.5;43
06/06/2015;23:00:00;0;-0.1;25;;19;0.5;18.9;34
06/06/2015;0:00:00;0;-0.1;17;;20;0.4;17.5;38
07/06/2015;1:00:00;0;-0.1;23;;22;0.7;16.3;32
07/06/2015;2:00:00;0;-0.1;6;;21;1.0;15.5;45
07/06/2015;3:00:00;0;-0.1;10;;21;0.4;15.0;40
07/06/2015;4:00:00;0;-0.1;6;;17;0.9;14.5;47
07/06/2015;5:00:00;0;-0.1;17;;14;0.9;15.3;43
07/06/2015;6:00:00;0;-0.1;8;;14;0.9;15.3;54
07/06/2015;7:00:00;0;-0.1;2;;14;1.0;17.7;60
07/06/2015;8:00:00;0;-0.1;0;;14;0.3;23.7;74
07/06/2015;9:00:00;0;-0.1;0;;208;1.5;27.4;94
07/06/2015;10:00:00;0;-0.1;-1;;267;2.0;29.0;97
07/06/2015;11:00:00;0;-0.1;-1;;296;2.6;30.3;97
07/06/2015;12:00:00;0;-0.1;-1;;285;2.9;30.7;96
07/06/2015;13:00:00;0;-0.1;-1;;291;3.0;31.4;97
07/06/2015;14:00:00;0;-0.1;-1;;288;2.5;31.7;95
07/06/2015;15:00:00;0;-0.1;-1;;281;2.5;31.8;94
07/06/2015;16:00:00;0;-0.1;-1;;295;2.2;31.8;95
07/06/2015;17:00:00;0;-0.1;0;;303;2.4;31.4;96
07/06/2015;18:00:00;0;-0.1;0;;303;2.0;30.5;100
07/06/2015;19:00:00;0;-0.1;0;;310;2.0;29.1;100
07/06/2015;20:00:00;0;-0.1;1;;308;2.0;26.2;96
07/06/2015;21:00:00;0;-0.1;2;;291;1.0;23.9;86
07/06/2015;22:00:00;0;-0.1;5;;283;0.3;22.6;74
07/06/2015;23:00:00;0;-0.1;14;;274;0.1;21.3;53
07/06/2015;0:00:00;0;-0.1;11;;257;0.6;19.4;44
08/06/2015;1:00:00;0;-0.1;12;;259;0.2;18.7;43
08/06/2015;2:00:00;0;-0.1;13;;259;0.2;17.5;39
08/06/2015;3:00:00;0;-0.1;5;;260;0.9;17.4;52
08/06/2015;4:00:00;0;-0.1;4;;267;0.9;16.9;51
08/06/2015;5:00:00;0;-0.1;1;;262;1.1;16.7;57
08/06/2015;6:00:00;0;-0.1;0;;260;1.3;17.2;63
08/06/2015;7:00:00;0;-0.1;1;;271;1.1;19.4;64
08/06/2015;8:00:00;0;-0.1;2;;249;1.7;24.5;93
08/06/2015;9:00:00;0;0.4;2;;221;1.5;27.4;95
08/06/2015;10:00:00;0;0.4;5;;167;1.0;29.4;98
08/06/2015;11:00:00;0;0.5;3;;212;1.4;31.1;99
08/06/2015;12:00:00;0;2.1;5;;284;1.8;32.3;104
08/06/2015;13:00:00;0;0.4;2;;314;3.2;31.7;109
08/06/2015;14:00:00;0;-0.1;0;;313;3.0;31.7;109
08/06/2015;15:00:00;0;-0.1;0;;123;2.6;31.8;107
08/06/2015;16:00:00;0;-0.1;0;;69;2.8;31.5;105
08/06/2015;17:00:00;0;0.1;3;;108;2.6;28.8;102
08/06/2015;18:00:00;0;0.2;5;;117;2.3;27.0;107
08/06/2015;19:00:00;0;-0.1;2;;111;2.0;26.6;104
08/06/2015;20:00:00;0;-0.1;3;;114;0.7;25.9;96
08/06/2015;21:00:00;0;-0.1;11;;104;0.3;24.2;78
08/06/2015;22:00:00;0;-0.1;28;;104;0.1;22.3;48
08/06/2015;23:00:00;0;-0.1;20;;90;0.3;20.8;47
08/06/2015;0:00:00;0;-0.1;17;;45;0.1;19.2;34
09/06/2015;1:00:00;0;-0.1;19;;44;0.3;18.0;33
09/06/2015;2:00:00;0;-0.1;11;;35;0.5;17.3;45
09/06/2015;3:00:00;0;-0.1;6;;24;0.3;17.1;53
09/06/2015;4:00:00;0;-0.1;4;;23;0.6;17.1;64
09/06/2015;5:00:00;0;-0.1;5;;23;0.4;16.8;61
09/06/2015;6:00:00;0;-0.1;3;;17;1.1;16.8;62
09/06/2015;7:00:00;0;-0.1;4;;61;1.6;19.7;71
09/06/2015;8:00:00;0;5.0;13;;237;1.5;24.2;81
09/06/2015;9:00:00;0;0.6;4;;249;1.1;26.9;102
09/06/2015;10:00:00;0;0.2;6;;122;2.0;27.1;106
09/06/2015;11:00:00;0;2.7;23;;116;2.4;26.4;100
09/06/2015;12:00:00;0;0.1;6;;111;2.3;27.3;121
09/06/2015;13:00:00;0;-0.1;2;;104;2.4;28.0;127
09/06/2015;14:00:00;0;-0.1;1;;111;2.5;27.6;124
09/06/2015;15:00:00;0;-0.1;1;;111;2.2;28.2;119
09/06/2015;16:00:00;0;-0.1;1;;107;2.3;29.0;115
09/06/2015;17:00:00;0;-0.1;0;;95;2.4;28.3;104
09/06/2015;18:00:00;0;-0.1;1;;111;2.4;26.7;96
09/06/2015;19:00:00;0;-0.1;2;;113;1.6;26.3;89
09/06/2015;20:00:00;0;-0.1;2;;104;1.6;25.1;83
09/06/2015;21:00:00;0;-0.1;4;;102;1.0;23.5;77
09/06/2015;22:00:00;0;-0.1;7;;100;0.3;22.4;65
09/06/2015;23:00:00;0;-0.1;14;;100;0.3;21.4;46
09/06/2015;0:00:00;0;-0.1;10;;90;0.4;20.1;44
10/06/2015;1:00:00;0;-0.1;13;;66;0.3;19.7;42
10/06/2015;2:00:00;0;-0.1;15;;90;0.5;19.0;39
10/06/2015;3:00:00;0;-0.1;15;;216;0.7;19.4;49
10/06/2015;4:00:00;0;-0.1;15;;216;0.3;19.3;49
10/06/2015;5:00:00;0;-0.1;24;;216;0.3;18.1;30
10/06/2015;6:00:00;0;-0.1;9;;249;1.2;17.8;38
10/06/2015;7:00:00;0;-0.1;2;;263;1.2;19.6;47
10/06/2015;8:00:00;0;0.1;3;;281;1.3;23.8;70
10/06/2015;9:00:00;0;-0.1;1;;313;1.7;26.3;88
10/06/2015;10:00:00;0;-0.1;0;;271;1.9;27.7;94
10/06/2015;11:00:00;0;0.0;0;;62;2.2;28.7;100
10/06/2015;12:00:00;0;4.6;11;;66;2.4;30.1;100
10/06/2015;13:00:00;0;-0.1;0;;63;3.1;29.7;100
10/06/2015;14:00:00;0;-0.1;0;;67;3.0;30.2;101
10/06/2015;15:00:00;0;-0.1;0;;68;3.5;30.3;99
10/06/2015;16:00:00;0;-0.1;0;;61;3.2;29.4;95
10/06/2015;17:00:00;0;-0.1;0;;64;2.9;28.4;94
10/06/2015;18:00:00;0;-0.1;0;;67;2.9;27.4;88
10/06/2015;19:00:00;0;-0.1;0;;55;2.1;26.7;87
10/06/2015;20:00:00;0;-0.1;0;;59;2.0;25.0;89
10/06/2015;21:00:00;0;-0.1;1;;58;0.7;24.0;81
10/06/2015;22:00:00;0;-0.1;0;;58;1.7;23.6;75
10/06/2015;23:00:00;0;-0.1;0;;57;1.7;23.5;76
10/06/2015;0:00:00;0;-0.1;0;;44;1.6;23.3;75
11/06/2015;1:00:00;0;-0.1;0;;49;1.5;23.0;73
11/06/2015;2:00:00;0;-0.1;0;;62;2.8;23.1;79
11/06/2015;3:00:00;0;-0.1;0;;148;2.8;23.1;77
11/06/2015;4:00:00;0;-0.1;0;;62;2.6;22.9;77
11/06/2015;5:00:00;0;-0.1;0;;60;1.1;22.9;73
11/06/2015;6:00:00;0;-0.1;0;;50;1.3;22.9;72
11/06/2015;7:00:00;0;-0.1;0;;156;1.9;23.1;71
11/06/2015;8:00:00;0;-0.1;1;;303;2.7;24.2;78
11/06/2015;9:00:00;0;-0.1;0;;294;2.7;25.2;82
11/06/2015;10:00:00;0;-0.1;1;;302;2.3;26.7;85
11/06/2015;11:00:00;0;-0.1;1;;281;0.9;28.3;87
11/06/2015;12:00:00;0;3.8;20;;180;1.1;27.6;71
11/06/2015;13:00:00;0;-0.1;0;;229;2.1;28.5;90
11/06/2015;14:00:00;0;-0.1;0;;235;2.3;27.8;88
11/06/2015;15:00:00;0;-0.1;0;;229;2.0;28.0;87
11/06/2015;16:00:00;0;-0.1;0;;257;1.7;27.9;87
11/06/2015;17:00:00;0;0.4;4;;207;2.2;26.5;79
11/06/2015;18:00:00;0;0.7;5;;204;1.9;25.2;74
11/06/2015;19:00:00;0;0.2;3;;206;1.9;25.0;75
11/06/2015;20:00:00;0;-0.1;1;;203;2.6;24.2;76
11/06/2015;21:00:00;0;-0.1;2;;195;2.8;23.6;83
11/06/2015;22:00:00;0;-0.1;4;;182;1.2;22.7;78
11/06/2015;23:00:00;0;-0.1;3;;167;1.2;22.2;71
11/06/2015;0:00:00;0;-0.1;1;;176;1.9;23.4;84
12/06/2015;1:00:00;0;-0.1;2;;182;1.2;23.5;81
12/06/2015;2:00:00;0;-0.1;3;;203;0.9;22.7;77
12/06/2015;3:00:00;0;-0.1;6;;184;0.3;21.8;66
12/06/2015;4:00:00;0;-0.1;5;;175;0.1;20.4;46
12/06/2015;5:00:00;0;-0.1;5;;175;0.3;19.8;30
12/06/2015;6:00:00;0;-0.1;7;;149;0.3;19.7;26
12/06/2015;7:00:00;0;-0.1;9;;137;1.2;21.0;38
12/06/2015;8:00:00;0;0.0;9;;155;2.5;22.5;56
12/06/2015;9:00:00;0;0.0;4;;160;1.9;23.2;62
12/06/2015;10:00:00;0;0.0;2;;145;1.5;24.6;68
12/06/2015;11:00:00;0;5.4;12;;132;1.6;26.3;63
12/06/2015;12:00:00;0;0.7;5;;141;2.4;26.5;68
12/06/2015;13:00:00;0;-0.1;2;;71;2.3;22.7;75
12/06/2015;14:00:00;0;0.1;1;;68;1.4;26.5;81
12/06/2015;15:00:00;0;-0.1;2;;93;2.0;27.3;83
12/06/2015;16:00:00;0;1.1;6;;112;2.1;26.7;73
12/06/2015;17:00:00;0;0.7;5;;105;1.8;26.9;82
12/06/2015;18:00:00;0;0.8;9;;99;1.7;26.1;78
12/06/2015;19:00:00;0;0.5;10;;116;1.9;26.0;75
12/06/2015;20:00:00;0;-0.1;3;;146;2.2;25.1;71
12/06/2015;21:00:00;0;-0.1;2;;149;2.7;23.6;72
12/06/2015;22:00:00;0;-0.1;0;;161;1.5;23.0;81
12/06/2015;23:00:00;0;-0.1;0;;155;0.7;22.5;76
12/06/2015;0:00:00;0;-0.1;2;;160;0.2;21.4;59
13/06/2015;1:00:00;0;-0.1;4;;206;0.2;19.9;44
13/06/2015;2:00:00;0;-0.1;12;;213;0.2;19.0;28
13/06/2015;3:00:00;0;1.6;35;;210;0.3;18.1;9
13/06/2015;4:00:00;0;0.2;14;;228;0.4;17.8;9
13/06/2015;5:00:00;0;1.2;16;;234;0.4;18.2;5
13/06/2015;6:00:00;0;-0.1;7;;233;0.1;19.2;23
