Fecha;SO2;NO;NO2
23/08/2015;1;4;12
24/08/2015;3;3;15
25/08/2015;1;4;14
26/08/2015;1;4;13
27/08/2015;1;4;15
28/08/2015;1;4;15
29/08/2015;1;3;9
30/08/2015;1;2;9
31/08/2015;1;5;17
01/09/2015;2;3;13
02/09/2015;1;4;12
03/09/2015;1;3;14
04/09/2015;1;6;20
05/09/2015;3;4;14
06/09/2015;1;3;13
07/09/2015;2;4;20
08/09/2015;1;5;20
09/09/2015;2;4;21
10/09/2015;1;5;20
11/09/2015;1;2;10
12/09/2015;1;2;11
13/09/2015;1;3;16
14/09/2015;1;3;15
15/09/2015;1;5;23
16/09/2015;1;6;18
17/09/2015;2;2;10
18/09/2015;3;6;22
19/09/2015;2;3;14
20/09/2015;2;2;14
21/09/2015;3;5;21
22/09/2015;3;5;19
23/09/2015;2;3;12
24/09/2015;3;5;21
25/09/2015;2;7;23
26/09/2015;2;2;12
27/09/2015;1;3;14
28/09/2015;1;5;18
29/09/2015;1;6;20
30/09/2015;1;6;19
01/10/2015;1;4;18
02/10/2015;1;6;20
03/10/2015;1;3;16
04/10/2015;1;4;19
05/10/2015;1;15;35
06/10/2015;1;10;19
07/10/2015;1;9;19
08/10/2015;2;7;24
09/10/2015;1;8;25
10/10/2015;1;5;22
11/10/2015;1;3;19
12/10/2015;1;3;15
13/10/2015;1;10;25
14/10/2015;1;5;16
15/10/2015;1;5;23
16/10/2015;2;9;32
17/10/2015;1;3;19
18/10/2015;1;3;16
19/10/2015;1;7;26
20/10/2015;1;9;31
21/10/2015;3;8;31
22/10/2015;3;7;22
23/10/2015;2;15;35
24/10/2015;1;7;23
25/10/2015;1;3;17
26/10/2015;1;6;21
27/10/2015;1;5;23
28/10/2015;1;4;19
29/10/2015;1;14;33
30/10/2015;1;8;22
31/10/2015;1;4;17
01/11/2015;1;2;11
02/11/2015;1;2;11
03/11/2015;1;11;28
04/11/2015;1;10;29
05/11/2015;2;13;32
06/11/2015;3;18;41
07/11/2015;1;10;20
