Fecha;CO;NO;NO2;NOX;O3;PM10;PM25;SO2;dd;HR;PRB;LL;RS;TMP;vv
29/04/2015;0.29;10;41;37;74;21;11;5;339;74;978.3;0.1;122.9;11.4;0.71
28/04/2015;0.28;5;38;22;83;13;5;4;348;70;979.8;0;200;10.8;1.3
27/04/2015;0.27;5;24;20;80;8;4;4;292;85;971.5;13.4;79;11.3;2.68
26/04/2015;0.22;4;20;15;78;6;;5;223;75;965.2;17.2;63.6;14.6;1.01
25/04/2015;0.32;5;23;20;82;10;;8;213;55;970.4;0;194.6;18.3;2.02
24/04/2015;0.31;14;66;50;87;28;13;5;197;63;972.4;0.1;151.1;16.9;0.18
23/04/2015;0.2;;25;;75;;;;;;;;;;
22/04/2015;0.21;;16;;103;;;;;;;;;;
21/04/2015;0.4;17;52;49;95;31;17;6;131;56;980.1;0;226;17.3;1.08
20/04/2015;0.27;8;51;38;85;33;20;6;338;77;980;0;229.7;12.6;0.43
19/04/2015;0.2;7;40;29;79;16;;5;275;82;974.9;4.8;108.8;10.8;0.43
18/04/2015;0.24;5;34;23;72;17;10;4;332;85;972;9.1;103.1;12.6;0.35
17/04/2015;0.27;7;43;36;65;18;12;5;61;92;976.3;3.8;57.5;12;0.31
16/04/2015;0.34;7;72;34;95;27;12;5;130;69;972.9;9.6;82.6;14.9;0.35
15/04/2015;0.22;4;19;17;113;19;8;5;154;28;974.7;0;83.2;19;2.61
14/04/2015;0.55;5;63;25;109;28;9;6;140;29;981.1;0;226.4;22;1.7
13/04/2015;0.44;7;101;37;102;37;13;8;133;36;985.8;0;237.5;20.1;1.09
12/04/2015;0.36;9;80;38;99;54;27;7;141;58;985.1;0;235.5;16.6;0.64
11/04/2015;0.21;4;29;21;83;17;10;5;17;82;984.6;0;102.3;12.8;0.82
10/04/2015;0.23;4;24;19;100;17;7;5;136;58;980.1;1;126.1;14.2;1.25
09/04/2015;0.21;4;25;17;110;15;7;5;157;29;981.2;0;131.7;15.2;2.07
08/04/2015;0.27;4;18;15;105;15;8;5;152;41;982.9;0;236.8;14.3;2.4
07/04/2015;0.44;13;64;47;91;38;15;5;128;56;982.4;0;226.3;13.2;0.35
06/04/2015;0.37;9;53;37;83;32;19;7;333;68;977.7;0;229.8;9.6;0.69
05/04/2015;0.35;4;44;19;75;14;4;4;359;78;974.4;1.8;170.3;9.5;1.37
04/04/2015;0.23;4;12;13;81;7;2;4;305;84;976.7;1.9;67.1;9.3;1.48
03/04/2015;0.43;7;35;24;72;23;16;6;313;73;980;0;189;11;1.29
02/04/2015;0.32;7;40;29;80;31;16;6;337;65;986;0;219.9;10.3;0.63
01/04/2015;0.31;5;29;20;79;22;7;4;337;71;990.6;0.5;152.6;10;1.94
31/03/2015;0.26;6;29;26;63;17;9;4;297;82;988.7;2.1;107.8;12.1;1.83
30/03/2015;0.32;7;48;34;67;29;16;6;289;64;985.6;0;72.5;13.5;2.16
29/03/2015;0.2;7;53;33;80;19;10;5;289;70;984.9;0.2;175.3;13.5;1.29
28/03/2015;0.22;5;40;19;63;16;8;4;298;82;987.3;0.2;131;12.2;1.72
27/03/2015;0.23;6;38;26;78;8;2;4;306;90;985.4;6.4;70.2;10.2;2.16
26/03/2015;0.34;8;52;32;74;12;5;4;282;88;975.5;10.5;55.6;8.3;2.14
25/03/2015;0.27;6;27;23;74;9;;4;305;83;971.4;15.6;98.5;5;2.86
24/03/2015;0.4;8;37;36;68;10;;4;295;91;968.4;7.5;23.7;6.8;2.22
23/03/2015;0.4;21;72;79;48;12;;4;113;95;968.4;30.8;38.3;4.4;0.8
