Fecha;NO;NO2;O3;PM10;SO2
31/10/2014;3;17;44;27;2
01/11/2014;4;16;36;24;2
02/11/2014;4;13;29;17;2
03/11/2014;4;9;39;11;2
04/11/2014;3;3;52;12;4
05/11/2014;3;6;47;13;3
06/11/2014;4;8;40;12;3
07/11/2014;3;8;43;10;2
08/11/2014;3;7;45;10;2
09/11/2014;3;6;49;10;2
10/11/2014;7;11;39;12;3
11/11/2014;4;7;44;10;2
12/11/2014;4;11;41;12;2
13/11/2014;2;7;42;10;2
14/11/2014;1;9;47;9;1
15/11/2014;1;3;49;9;1
16/11/2014;1;3;48;13;1
17/11/2014;1;6;48;10;1
18/11/2014;4;15;33;16;2
19/11/2014;1;11;40;20;2
20/11/2014;1;12;43;21;2
21/11/2014;2;13;40;32;1
22/11/2014;1;10;36;39;1
23/11/2014;2;12;30;70;1
24/11/2014;3;15;29;58;1
25/11/2014;5;22;21;28;1
26/11/2014;1;13;39;20;1
27/11/2014;1;9;48;15;2
28/11/2014;1;15;46;11;1
29/11/2014;1;8;39;10;1
30/11/2014;1;4;39;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
01/12/2014;1;5;44;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
02/12/2014;2;7;39;13;1
03/12/2014;2;6;31;10;1
04/12/2014;2;13;28;12;1
05/12/2014;2;15;32;14;1
06/12/2014;1;6;43;16;1
07/12/2014;1;10;44;14;1
08/12/2014;1;9;38;15;1
09/12/2014;2;8;42;11;2
10/12/2014;10;24;29;18;4
11/12/2014;12;29;24;18;2
12/12/2014;8;19;32;14;2
13/12/2014;1;7;46;14;2
14/12/2014;1;8;42;12;2
15/12/2014;2;9;37;13;1
16/12/2014;2;10;32;10;1
17/12/2014;6;17;31;11;2
18/12/2014;10;20;18;14;2
19/12/2014;22;26;14;19;2
20/12/2014;12;21;20;16;2
21/12/2014;4;17;21;13;2
22/12/2014;2;18;38;14;2
23/12/2014;3;18;35;19;2
24/12/2014;2;15;29;17;1
25/12/2014;2;14;29;14;1
26/12/2014;2;10;34;15;2
27/12/2014;2;9;32;23;1
28/12/2014;1;3;45;20;2
29/12/2014;1;11;38;19;3
30/12/2014;8;26;25;21;3
31/12/2014;14;28;24;23;2
01/01/2015;5;32;28;16;3
02/01/2015;10;31;23;14;3
03/01/2015;11;32;24;15;2
04/01/2015;7;30;24;17;2
05/01/2015;14;30;24;16;3
06/01/2015;4;21;23;18;2
07/01/2015;12;27;20;21;2
08/01/2015;12;25;21;26;2
09/01/2015;15;29;22;21;2
10/01/2015;12;29;22;19;3
11/01/2015;5;23;22;17;2
12/01/2015;4;23;26;18;2
13/01/2015;7;17;30;19;2
14/01/2015;6;20;28;15;2
15/01/2015;2;8;37;12;2
16/01/2015;1;3;45;10;2
17/01/2015;2;16;35;15;3
18/01/2015;1;8;34;12;3
19/01/2015;1;6;38;8;2
20/01/2015;6;15;32;10;2
21/01/2015;2;4;40;10;1
22/01/2015;1;5;39;9;2
23/01/2015;2;15;31;11;2
24/01/2015;2;11;35;15;2
25/01/2015;1;11;35;15;2
26/01/2015;5;25;29;22;2
27/01/2015;5;23;24;14;2
28/01/2015;5;21;26;20;2
29/01/2015;1;4;38;11;1
30/01/2015;1;2;38;8;2
31/01/2015;1;1;47;10;2
01/02/2015;1;1;44;11;1
02/02/2015;1;4;39;8;1
03/02/2015;1;2;43;7;1
04/02/2015;1;3;42;9;2
05/02/2015;1;4;40;13;1
06/02/2015;1;8;39;9;1
07/02/2015;2;8;30;12;3
08/02/2015;1;8;34;15;3
09/02/2015;4;14;48;18;2
10/02/2015;3;18;62;17;3
11/02/2015;2;15;59;20;3
12/02/2015;5;21;45;28;2
13/02/2015;4;12;56;19;1
