Fecha;vv;dd;TMP;HR;PRB;RS;LL;SO2;CO;NO;NO2;PM10;NOX;O3
27/05/2015;1.3;85;21.5;67;1017;298;0;3;;3;5;;10;101
28/05/2015;1.1;63;21.7;60;1017;315;0;3;;4;6;;11;91
29/05/2015;1.2;52;20.9;61;1015;205;0;3;;4;7;7;12;90
30/05/2015;0.9;141;21.9;68;1016;278;0.2;3;;3;8;7;12;85
31/05/2015;1;78;22.6;72;1016;293;0;3;;5;6;;12;80
01/06/2015;1;75;22.2;72;1017;301;0;3;;4;6;;12;75
02/06/2015;0.9;64;23;62;1017;313;0;3;;3;10;7;13;75
03/06/2015;2.1;36;24.5;40;1018;326;0;3;;3;7;7;11;90
04/06/2015;1.9;33;24.6;41;1018;325;0;3;;3;6;4;9;87
05/06/2015;1.8;35;24.1;45;1017;324;0;3;;3;13;;17;84
06/06/2015;1.6;34;24.7;37;1018;326;0;3;;2;16;;19;83
07/06/2015;1.5;36;25;35;1018;329;0;3;;5;9;;15;87
08/06/2015;1.1;58;25.8;36;1016;305;0;3;;4;8;;13;93
09/06/2015;1;53;25.5;46;1015;302;0;3;;3;13;18;18;90
10/06/2015;1.7;44;25.5;56;1014;312;0;3;0.1;5;9;21;14;97
11/06/2015;0.9;265;22.2;78;1013;66;3.4;3;0.1;8;8;23;21;66
12/06/2015;1.4;300;25.2;58;1013;301;0;3;0.1;4;12;25;18;73
13/06/2015;1.4;48;24.5;60;1013;307;2.9;3;0.1;4;11;22;16;74
14/06/2015;1.4;242;23.9;39;1014;271;0;3;0.1;5;8;17;15;89
15/06/2015;2.2;297;23.7;44;1015;261;0;3;0.1;4;6;13;12;85
16/06/2015;1.5;331;22.5;54;1017;250;0;3;0.1;3;7;12;11;90
17/06/2015;1.3;126;22.8;66;1017;220;0;3;0.1;;;19;;92
18/06/2015;1;103;23.7;60;1018;320;0;3;0.1;4;6;16;11;93
19/06/2015;1;146;24.4;57;1016;324;0;3;0.1;6;7;17;14;96
20/06/2015;1;102;24.6;60;1017;320;0;3;0.1;5;4;17;9;90
21/06/2015;1;85;25.5;50;1017;313;0;3;0.1;3;6;16;9;85
22/06/2015;1;67;26.7;48;1016;309;0;4;0.1;3;8;20;11;85
23/06/2015;1.2;232;26.6;50;1014;261;0;3;0.1;6;8;31;16;88
24/06/2015;1.6;59;25.5;60;1016;315;0;3;0.1;4;7;21;12;97
25/06/2015;0.9;120;25.3;56;1018;294;0;3;0.2;6;5;37;13;90
26/06/2015;1.1;113;26.1;58;1018;313;0;3;0.2;3;5;29;8;88
27/06/2015;0.8;115;27.9;47;1017;315;0;3;0.1;3;5;18;8;91
28/06/2015;0.8;151;29.1;39;1017;315;0;3;0.1;4;6;18;10;99
29/06/2015;1;56;29;44;1017;308;0;3;0.1;2;5;21;6;92
30/06/2015;1.2;41;29.3;35;1016;309;0;3;0.1;2;6;18;7;91
01/07/2015;2.3;46;29.4;41;1015;299;0;3;0.1;2;8;26;8;98
02/07/2015;1.9;70;29;53;1016;253;0.1;3;0.1;2;11;35;13;92
03/07/2015;2.9;57;28.6;59;1017;297;0;4;0.1;2;4;39;6;94
04/07/2015;2.3;41;29.3;48;1018;305;0;3;0.1;2;4;26;6;99
05/07/2015;1.7;41;29.5;49;1017;304;0;3;0.1;3;5;28;8;95
06/07/2015;1.3;43;30.3;40;1017;304;0;3;0.1;4;6;31;10;91
07/07/2015;0.8;241;31.2;33;1016;303;0;3;0.1;;;37;;84
08/07/2015;1.2;122;29.4;55;1015;315;0;3;0.1;2;7;43;9;85
09/07/2015;1.5;83;27.5;74;1016;304;0;3;0.1;2;4;30;6;77
10/07/2015;1.1;118;27.4;71;1016;319;0;3;0.1;2;4;31;6;72
11/07/2015;1.6;59;27.5;74;1017;300;0;3;0.1;2;4;27;6;68
12/07/2015;1;100;27.5;71;1017;333;0;3;0.1;2;4;22;6;72
