Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
03/08/2015;20:00:00;57;5;13;2;72;293;2.2;28.5;0;0;35
03/08/2015;21:00:00;71;5;7;2;84;289;2.4;28.5;0;0;34.1
03/08/2015;22:00:00;59;4;7;2;79;277;2.1;30;0;0;32.8
03/08/2015;23:00:00;62;4;7;2;74;304;0.4;30.5;0;0;31.7
03/08/2015;0:00:00;56;3;9;2;73;305;0.4;31.5;0;0;30.4
04/08/2015;1:00:00;44;4;6;2;75;297;0.6;31.3;0;0;29.6
04/08/2015;2:00:00;42;4;3;2;69;253;1.9;35.3;0;0;28.6
04/08/2015;3:00:00;52;4;2;2;61;288;1.8;41;0;0;27.8
04/08/2015;4:00:00;46;4;2;2;58;292;0.9;39.8;0;0;26.8
04/08/2015;5:00:00;39;3;2;2;61;246;0.2;36;0;0;26
04/08/2015;6:00:00;21;4;8;2;52;306;0.4;39.3;0;0;25.2
04/08/2015;7:00:00;22;4;23;2;38;274;0.6;42.5;0;0;24.3
04/08/2015;8:00:00;25;4;36;4;27;293;0.4;45.8;0;0;23.5
04/08/2015;9:00:00;36;5;34;6;25;268;0.6;46;0;0;24.3
04/08/2015;10:00:00;44;8;17;2;38;284;0.6;43.5;0;0;26.3
04/08/2015;11:00:00;35;5;11;2;53;250;0.6;38.5;0;0;28.5
04/08/2015;12:00:00;38;5;7;2;64;261;0.7;36.5;0;0;29.8
04/08/2015;13:00:00;44;5;3;2;69;245;0.9;32.8;0;0;31.2
04/08/2015;14:00:00;44;4;5;2;78;240;0.7;30.8;0;0;32.1
04/08/2015;15:00:00;42;4;4;2;81;222;0.7;26.8;0;0;33.8
04/08/2015;16:00:00;38;4;3;2;84;244;1;23;0;0;34.5
04/08/2015;17:00:00;30;4;3;2;87;234;0.9;22.5;0;0;35.3
04/08/2015;18:00:00;38;4;4;2;87;250;1.2;22.5;0;0;35.3
04/08/2015;19:00:00;42;4;6;2;87;230;1.1;21.5;0;0;35.4
04/08/2015;20:00:00;40;4;7;2;86;269;1.3;21;0;0;35
04/08/2015;21:00:00;38;4;9;2;91;274;1.7;21.3;0;0;34.1
04/08/2015;22:00:00;39;4;18;2;80;299;0.4;22.8;0;0;32.4
04/08/2015;23:00:00;43;3;14;2;75;301;0.4;24.8;0;0;30.6
04/08/2015;0:00:00;34;3;12;2;70;297;0.3;25.3;0;0;29.2
05/08/2015;1:00:00;32;4;12;2;69;305;0.2;25.5;0;0;28.1
05/08/2015;2:00:00;37;4;17;2;55;69;0.2;27.8;0;0;26.4
05/08/2015;3:00:00;27;4;16;2;45;14;0.2;30.5;0;0;25.1
05/08/2015;4:00:00;28;5;16;2;38;203;0.2;32.8;0;0;23.8
05/08/2015;5:00:00;22;5;15;2;40;208;0.2;33.3;0;0;23.4
05/08/2015;6:00:00;28;5;27;2;28;219;0.2;36;0;0;22.4
05/08/2015;7:00:00;24;6;40;19;15;204;0.2;39.8;0;0;21.4
05/08/2015;8:00:00;21;8;62;31;6;162;0.2;39.8;0;0;21.3
05/08/2015;9:00:00;34;12;71;43;5;224;0.2;36.3;0;0;23.4
05/08/2015;10:00:00;51;9;55;17;15;207;0.2;35.5;0;0;25.9
05/08/2015;11:00:00;48;7;15;3;50;210;0.3;35.3;0;0;27.8
05/08/2015;12:00:00;50;6;11;2;68;233;0.7;27.5;0;0;29.8
05/08/2015;13:00:00;39;5;4;2;78;229;0.7;21.3;0;0;32.2
05/08/2015;14:00:00;39;4;5;2;83;231;1.1;19;0;0;33.8
05/08/2015;15:00:00;32;4;12;2;86;247;1.9;17;0;0;34.7
05/08/2015;16:00:00;25;5;7;2;90;243;1.6;16;0;0;35.1
05/08/2015;17:00:00;34;4;5;2;87;243;1.9;14.8;0;0;36.5
05/08/2015;18:00:00;31;3;8;2;83;248;2.1;12;0;0;36.6
05/08/2015;19:00:00;22;3;10;2;84;249;1.9;12;0;0;36.9
05/08/2015;20:00:00;22;4;12;2;85;271;1.1;12.5;0;0;36.2
05/08/2015;21:00:00;21;4;12;2;86;293;1;15.3;0;0;35
05/08/2015;22:00:00;28;4;13;2;80;295;0.8;17.5;0;0;32.8
05/08/2015;23:00:00;31;3;14;2;73;313;0.3;18.5;0;0;30.8
05/08/2015;0:00:00;34;3;11;2;72;302;0.4;18;0;0;29.4
06/08/2015;1:00:00;33;4;25;2;60;314;0.2;16.3;0;0;28.5
06/08/2015;2:00:00;27;4;19;2;48;68;0.2;21.8;0;0;25.3
06/08/2015;3:00:00;46;4;29;4;29;99;0.2;23.5;0;0;23.8
06/08/2015;4:00:00;21;5;26;2;33;229;0.2;25.5;0;0;23.2
06/08/2015;5:00:00;28;5;20;2;31;101;0.2;26.3;0;0;22.2
06/08/2015;6:00:00;21;6;40;13;12;183;0.2;29.3;0;0;21
06/08/2015;7:00:00;34;8;68;56;2;179;0.2;28.8;0;0;20.1
06/08/2015;8:00:00;32;13;101;155;2;184;0.2;28.3;0;0;20.1
06/08/2015;9:00:00;55;12;77;60;4;61;0.2;25;0;0;21.8
06/08/2015;10:00:00;89;7;33;8;32;122;0.2;22;0;0;25.7
06/08/2015;11:00:00;56;6;20;2;48;124;0.2;18;0;0;28.7
06/08/2015;12:00:00;75;6;18;2;59;312;0.2;13.8;0;0;31.5
06/08/2015;13:00:00;53;7;15;2;74;162;0.3;12;0;0;33.8
06/08/2015;14:00:00;45;7;4;2;92;227;0.6;11.3;0;0;35.6
06/08/2015;15:00:00;48;5;6;2;97;270;0.7;11.3;0;0;37.2
06/08/2015;16:00:00;37;4;7;2;90;263;1.3;11.8;0;0;37
06/08/2015;17:00:00;39;4;8;2;88;275;2;11;0;0;36.7
06/08/2015;18:00:00;44;4;11;2;81;272;2;11;0;0;37.2
06/08/2015;19:00:00;36;4;9;2;87;264;2.2;11;0;0;36.9
06/08/2015;20:00:00;26;4;12;2;88;266;2;11;0;0;36.1
06/08/2015;21:00:00;30;4;11;2;90;272;1.9;12;0;0;35
06/08/2015;22:00:00;38;4;15;2;79;279;0.8;13;0;0;32.7
06/08/2015;23:00:00;44;3;14;2;74;298;0.5;13;0;0;31
06/08/2015;0:00:00;36;3;15;2;69;309;0.2;12;0;0;29.6
07/08/2015;1:00:00;29;3;20;2;55;263;0.5;13.5;0;0;27.6
07/08/2015;2:00:00;28;3;22;2;46;213;0.2;15.3;0;0;26
07/08/2015;3:00:00;26;4;18;2;49;262;0.3;16.3;0;0;25.5
07/08/2015;4:00:00;16;6;7;2;51;227;0.2;19;0;0;23.7
07/08/2015;5:00:00;19;7;19;2;41;243;0.2;20.3;0;0;23.5
07/08/2015;6:00:00;34;10;32;3;27;180;0.2;22.8;0;0;22.1
07/08/2015;7:00:00;29;17;7;2;40;199;0.2;26.5;0;0;21.1
07/08/2015;8:00:00;24;10;22;3;27;209;0.2;30.3;0;0;20.4
