Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP;BEN;TOL;XIL
01/06/2015;19:00:00;19;2;6;2;93;313;2.2;0;0;934;28.3;0.63;0.95;0.63
01/06/2015;20:00:00;34;2;7;2;92;302;2.2;0;0;933;27.5;0.93;1.33;0.3
01/06/2015;21:00:00;37;2;9;3;93;193;3.4;0;0;934;26.5;1.33;1.8;0.6
01/06/2015;22:00:00;58;2;7;3;93;186;2.8;0;0;935;24.2;0.93;1.1;0.45
01/06/2015;23:00:00;38;3;7;3;95;164;1.8;0;0;935;22.9;0.58;1.43;0.33
01/06/2015;0:00:00;26;14;7;2;102;228;1.8;0;0;936;21.6;1.53;0.85;0.48
02/06/2015;1:00:00;32;3;7;3;101;292;1;0;0;936;20.7;0.6;2.05;1.05
02/06/2015;2:00:00;37;4;6;3;99;114;0.5;0;0;936;19.6;1.45;1.9;0.8
02/06/2015;3:00:00;34;3;10;4;87;323;0.5;0;0;935;18.5;0.63;1.3;2.6
02/06/2015;4:00:00;35;3;9;6;87;333;0.4;0;0;935;18.2;0.88;0.88;1.65
02/06/2015;5:00:00;26;3;8;8;70;357;0.3;0;0;935;16.9;1.63;0.93;1.2
02/06/2015;6:00:00;27;4;9;10;72;134;0.2;0;0;935;14.7;1.18;1.28;0.93
02/06/2015;7:00:00;27;4;23;9;51;16;0.1;0;0;935;15.3;1.43;1.65;0.3
02/06/2015;8:00:00;30;4;40;21;37;254;0.3;0;0;936;14.9;2.75;1.05;0.63
02/06/2015;9:00:00;34;5;30;28;59;216;0.3;0;0;936;18.6;2.4;1.48;0.33
02/06/2015;10:00:00;40;5;26;22;82;223;0.6;0;0;937;21.5;1.13;1.05;0.38
02/06/2015;11:00:00;42;4;18;10;85;248;1.1;0;0;937;23.8;2.2;1.38;1.18
02/06/2015;12:00:00;38;3;12;5;88;332;1.8;0;0;937;25.7;0.65;1.13;1.08
02/06/2015;13:00:00;31;3;7;2;98;317;1.7;0;0;937;27.2;1.13;0.55;0.73
02/06/2015;14:00:00;24;12;10;2;113;251;2.2;0;0;937;28.4;1.7;0.88;0.95
02/06/2015;15:00:00;22;69;14;2;145;39;1.6;0;0;936;27.4;0.78;1;0.35
02/06/2015;16:00:00;37;47;9;2;123;271;1.5;0;0;936;28.6;3;1.38;1.08
02/06/2015;17:00:00;28;10;9;3;107;245;1.4;0;0;936;27.9;0.7;1.05;0.9
02/06/2015;18:00:00;22;4;5;2;107;243;2;0;0;936;27.7;1.4;0.6;0.38
02/06/2015;19:00:00;20;4;7;3;108;227;2.4;0;0;935;29.3;1.28;0.65;0.5
02/06/2015;20:00:00;20;12;9;2;114;111;2.8;0;0;935;28.7;0.6;0.85;0.53
02/06/2015;21:00:00;21;24;14;2;95;113;2.5;0;0;936;25.3;1.85;1.78;0.65
02/06/2015;22:00:00;30;19;13;2;89;68;0.8;0;0;936;24.9;1.8;0.95;0.58
02/06/2015;23:00:00;24;18;14;3;84;155;0.2;0;0;936;23.7;2.33;5.78;0.53
02/06/2015;0:00:00;21;26;17;3;70;53;0.4;0;0;937;22.7;3.03;1.7;0.9
03/06/2015;1:00:00;23;9;15;3;77;126;2.2;0;0;937;22.5;1.05;1.53;0.93
03/06/2015;2:00:00;18;61;14;2;90;122;2.2;0;0;937;23.2;2.28;1.4;0.98
03/06/2015;3:00:00;15;58;10;3;94;136;2.6;0;0;937;22.3;3.3;1.03;0.48
03/06/2015;4:00:00;20;15;11;3;90;155;2.3;0;0;937;20.8;2.83;1.53;0.23
03/06/2015;5:00:00;24;6;5;2;92;179;0.2;0;0;937;20.2;1.73;0.9;0.38
03/06/2015;6:00:00;25;5;9;3;80;19;0.4;0;0;937;19.1;0.7;2.6;1.03
03/06/2015;7:00:00;22;5;35;7;57;30;0.3;0;0;937;18.1;0.5;1.13;0.5
