Fecha;CO;NO;NO2;NOX;O3;PM10;SO2
24/04/2015;0.15;2.0;15.0;18.0;54.0;17.0;2.6
25/04/2015;0.12;1.7;9.5;12.0;71.0;16.0;1.4
26/04/2015;0.1;1.1;5.0;6.1;81.0;15.0;2.5
27/04/2015;0.11;1.1;5.3;6.6;70.0;17.0;4.1
28/04/2015;0.13;4.1;12.0;17.0;50.0;18.0;3.8
29/04/2015;0.12;3.4;12.0;16.0;58.0;19.0;4.0
30/04/2015;0.12;3.0;10.0;14.0;50.0;14.0;3.4
1/06/2015;0.1;1.9;5.5;8.0;55.0;16.0;4.3
2/06/2015;0.11;2.0;8.0;11.0;60.0;19.0;4.6
3/06/2015;0.12;5.0;15.0;23.0;39.0;24.0;4.8
4/06/2015;0.11;2.2;11.0;14.0;50.0;25.0;1.2
5/06/2015;0.1;1.7;11.0;13.0;50.0;24.0;4.7
6/06/2015;0.11;1.3;9.4;11.0;61.0;18.0;5.3
7/06/2015;0.13;1.1;11.0;12.0;78.0;22.0;4.0
8/06/2015;0.16;3.8;24.0;30.0;72.0;30.0;7.6
9/06/2015;0.13;2.0;16.0;19.0;79.0;22.0;4.6
10/06/2015;0.1;1.3;8.7;10.0;79.0;21.0;5.0
11/06/2015;0.1;1.4;7.0;8.6;84.0;18.0;3.5
12/06/2015;0.1;1.4;8.3;10.0;85.0;15.0;4.0
13/06/2015;0.1;1.9;9.4;12.0;63.0;11.0;3.3
14/06/2015;0.1;1.0;8.0;9.0;62.0;6.9;3.8
15/06/2015;0.11;3.1;13.0;17.0;56.0;13.0;5.7
16/06/2015;0.1;2.2;12.0;15.0;63.0;14.0;3.8
17/06/2015;0.11;2.5;16.0;20.0;65.0;15.0;4.7
18/06/2015;0.19;2.2;15.0;18.0;75.0;15.0;null(null)
19/06/2015;0.3;3.3;18.0;23.0;62.0;16.0;null(null)
20/06/2015;0.39;2.0;18.0;21.0;61.0;null(null);null(null)
21/06/2015;0.39;1.3;14.0;15.0;85.0;null(null);null(null)
22/06/2015;0.1;1.6;12.0;14.0;71.0;26.0;2.5
23/06/2015;0.11;2.6;13.0;16.0;57.0;15.0;3.5
24/06/2015;0.12;1.6;12.0;13.0;58.0;17.0;4.7
25/06/2015;0.11;2.6;12.0;15.0;58.0;19.0;3.9
26/06/2015;0.1;1.6;7.2;9.0;60.0;13.0;2.9
27/06/2015;0.1;3.8;10.0;15.0;42.0;14.0;3.7
28/06/2015;0.12;5.3;12.0;18.0;49.0;19.0;5.0
29/06/2015;0.19;5.8;22.0;31.0;55.0;26.0;null(null)
30/06/2015;0.11;3.5;11.0;16.0;60.0;20.0;3.7
1/05/2015;0.11;1.5;6.8;8.4;46.0;11.0;3.1
2/05/2015;0.11;1.9;6.6;8.9;48.0;13.0;3.0
3/05/2015;0.1;1.2;4.4;5.5;55.0;12.0;2.9
4/05/2015;0.11;2.2;7.0;9.8;62.0;15.0;5.0
5/05/2015;0.11;2.1;9.2;12.0;80.0;18.0;3.4
6/05/2015;0.12;2.7;13.0;16.0;69.0;19.0;4.2
7/05/2015;0.14;2.9;14.0;17.0;61.0;18.0;4.8
8/05/2015;0.11;2.2;9.4;12.0;68.0;18.0;1.6
9/05/2015;0.11;1.3;8.2;9.5;61.0;15.0;3.1
10/05/2015;0.1;1.0;4.8;5.7;77.0;17.0;2.6
11/05/2015;0.14;3.3;17.0;21.0;48.0;22.0;6.1
12/05/2015;0.16;8.0;19.0;31.0;64.0;27.0;5.1
13/05/2015;0.11;1.5;9.1;11.0;66.0;22.0;2.2
14/05/2015;0.1;1.1;3.2;4.3;81.0;18.0;2.4
15/05/2015;0.1;1.6;8.1;10.0;79.0;21.0;5.2
16/05/2015;0.1;1.2;5.6;6.7;63.0;14.0;3.2
17/05/2015;0.11;1.2;6.2;7.4;60.0;17.0;3.0
20/05/2015;0.1;1.5;6.8;8.8;74.0;18.0;6.1
21/05/2015;0.1;1.2;4.5;5.8;82.0;17.0;3.7
22/05/2015;0.1;1.7;9.0;11.0;77.0;18.0;4.0
23/05/2015;0.1;1.2;5.3;6.6;75.0;16.0;3.8
24/05/2015;0.1;1.0;2.8;3.8;60.0;15.0;4.1
25/05/2015;0.1;2.9;10.0;14.0;53.0;20.0;4.5
26/05/2015;0.1;1.6;8.7;11.0;73.0;20.0;2.3
27/05/2015;0.11;2.5;12.0;16.0;67.0;19.0;5.4
28/05/2015;0.13;2.9;13.0;17.0;72.0;25.0;5.4
29/05/2015;0.1;2.0;12.0;15.0;72.0;20.0;4.4
30/05/2015;0.1;2.2;8.5;11.0;43.0;18.0;4.8
31/05/2015;0.1;1.5;4.7;6.2;32.0;16.0;3.5
1/01/2015;0.51;18.0;28.0;56.0;19.0;38.0;2.5
2/01/2015;0.57;34.0;33.0;85.0;11.0;36.0;5.2
3/01/2015;0.48;19.0;27.0;57.0;15.0;34.0;1.4
4/01/2015;0.5;20.0;23.0;54.0;16.0;33.0;2.7
5/01/2015;0.38;11.0;26.0;42.0;20.0;28.0;1.2
6/01/2015;0.27;5.7;20.0;28.0;41.0;23.0;2.1
