Fecha;NO;NO2;NOX;PM10;PM25;O3;dd;HR;PRB;LL;RS;TMP;vv
26/04/2015;2;24;14;12;4;;263;78;1005;2.3;70.6;16.3;1.07
25/04/2015;5;31;21;22;8;;203;58;1009.1;0;260.9;19.7;2.01
24/04/2015;14;55;53;32;14;;254;83;1012.3;0;115.9;15.4;0.09
23/04/2015;6;50;34;19;8;;6;80;1018;0;208.2;15.3;0.17
22/04/2015;3;49;25;17;9;;158;59;1016.8;12;130.7;18.9;1.06
21/04/2015;15;67;55;26;12;;106;62;1019;0;243.4;18.1;1.81
20/04/2015;12;60;50;28;13;;287;78;1020.3;0;291.8;14.2;0.64
19/04/2015;3;42;20;14;6;;324;81;1015.7;0;238.1;13.1;1.56
18/04/2015;4;51;23;20;8;;316;88;1012.4;4.2;130.9;13.9;0.95
17/04/2015;13;49;49;25;12;;111;88;1016.4;5.6;89.3;14.1;1.15
16/04/2015;10;83;47;31;14;;248;84;1012.9;1.5;113.4;15.5;0.53
15/04/2015;2;34;20;22;9;;140;30;1012.9;0;90.6;21.8;3.53
14/04/2015;8;96;40;34;15;;140;37;1018.9;0;230.9;23.6;2.95
13/04/2015;3;56;30;32;13;;108;40;1024;0;264.6;21.8;2.48
12/04/2015;4;57;30;23;11;;129;63;1024;0;264;17.6;1.68
11/04/2015;4;45;27;16;8;;95;77;1024.7;0.4;148.3;14.6;1.3
10/04/2015;3;52;26;15;7;;151;72;1019.7;3.3;126;15.2;0.65
09/04/2015;3;34;19;15;6;;133;36;1020.2;0;153.3;17.8;3.12
08/04/2015;3;23;14;15;6;;130;38;1022;0;266;17.6;3.94
07/04/2015;17;70;61;20;;;116;64;1023;0.1;234.1;12.6;0.63
06/04/2015;8;64;37;16;;;95;70;1019.5;0;269.9;10.1;1.21
05/04/2015;3;44;20;13;;;75;81;1016.2;0.2;160.7;11.2;0.96
04/04/2015;2;35;14;9;;;310;88;1018.6;1.7;123.4;11.3;1.45
03/04/2015;5;41;27;19;8;;314;83;1021.6;0.1;195.8;11.3;1.41
02/04/2015;5;56;35;21;8;;242;71;1027.3;0;245.9;10.9;0.25
01/04/2015;4;66;27;23;7;;337;75;1032.3;0;160.2;11.9;1.35
31/03/2015;4;34;22;19;6;;309;87;1030;0.8;59.6;13.5;3.25
30/03/2015;11;74;40;24;8;;317;81;1026.4;0;80.7;14.2;2.7
29/03/2015;8;64;41;19;8;;288;81;1025.5;0;175;14.2;0.62
28/03/2015;7;62;32;18;8;;307;90;1028.5;0;102.1;13;1.36
27/03/2015;7;79;43;14;5;;304;94;1026.8;6.7;53.1;12;1.79
26/03/2015;10;70;48;13;5;;297;93;1017.2;7.8;37.4;10.2;1.37
25/03/2015;4;53;22;12;3;;321;75;1013.9;1.9;119.6;8.5;2.91
24/03/2015;11;59;50;19;7;;318;92;1010.7;6.3;43;8.8;1.38
23/03/2015;14;80;71;17;9;;103;95;1010.3;16;24.8;7.2;0.34
22/03/2015;2;40;15;23;9;;1;83;1013.9;3.3;55.8;9.7;1.79
21/03/2015;4;42;32;30;14;;326;95;1014.2;5.8;21.9;9.2;0.42
20/03/2015;3;62;26;52;28;;331;84;1017.9;0;33.4;10.3;1.36
19/03/2015;8;55;41;27;15;;331;89;1019.3;1.9;123;12;0.52
18/03/2015;29;101;102;30;15;;303;68;1018.8;0;124.9;12.9;0.46
17/03/2015;8;97;51;24;12;;135;49;1015;0;228.9;13.8;2.48
16/03/2015;21;80;75;37;19;;108;79;1017.2;0;146.3;8.5;1.61
15/03/2015;9;70;42;31;14;;251;86;1019.8;3.1;40.7;7.3;0.22
14/03/2015;3;33;22;22;11;;288;88;1023.6;8.5;27.7;8.3;2.48
13/03/2015;4;61;28;25;8;;306;80;1025.7;2.9;90.7;10.5;3.78
12/03/2015;18;69;67;41;25;;328;86;1022;0;165;11.3;0.6
11/03/2015;15;74;67;49;26;;317;91;1025.7;0;33.4;11.3;0.14
10/03/2015;27;79;91;37;18;;292;78;1024.9;0;228.5;11.4;0.45
09/03/2015;20;79;83;35;17;;251;75;1024.9;0;226.9;11;0.03
08/03/2015;13;74;55;28;16;;277;80;1025.5;0;220;10.3;0.54
07/03/2015;22;80;73;27;16;;230;70;1026.7;0;233.4;11.5;0.19
06/03/2015;39;88;112;30;16;;119;72;1030.5;0;231.9;9.1;0.4
05/03/2015;18;80;61;17;8;;81;71;1037.1;0.2;212.8;8;1.12
04/03/2015;4;50;21;9;;;328;82;1034.6;5.5;134.1;9.4;2.11
