Fecha;Hora;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
26/06/2015;13:00:00;13;20;4;114;129;0.9;19.4;0;945;31.6
26/06/2015;14:00:00;5;2;2;146;311;1.4;16.2;0;944;32.7
26/06/2015;15:00:00;3;2;2;148;231;2.3;13.7;0;944;33.3
26/06/2015;16:00:00;3;2;2;171;256;1.7;13.7;0;943;34.3
26/06/2015;17:00:00;3;2;2;194;190;1.7;13.3;0;943;34.4
26/06/2015;18:00:00;3;3;2;200;272;1.6;12;0;942;34.8
26/06/2015;19:00:00;2;4;2;196;205;1.7;11.3;0;942;34.5
26/06/2015;20:00:00;2;2;2;184;232;1.9;11.4;0;942;34.1
26/06/2015;21:00:00;2;10;2;158;240;1.1;11.5;0;942;33.7
26/06/2015;22:00:00;2;23;2;120;250;0.7;13.7;0;942;31.6
26/06/2015;23:00:00;2;38;2;73;126;0.4;18;0;943;28.2
26/06/2015;0:00:00;3;66;3;29;110;0.4;21.4;0;943;26.4
27/06/2015;1:00:00;2;39;2;40;68;0.4;26.2;0;943;24.2
27/06/2015;2:00:00;3;19;2;58;48;0.4;33.3;0;943;22.6
27/06/2015;3:00:00;2;2;2;73;49;0.3;36.6;0;943;21.3
27/06/2015;4:00:00;2;3;2;72;49;0.4;40.2;0;942;20.1
27/06/2015;5:00:00;2;2;2;72;39;0.3;42.7;0;943;19.4
27/06/2015;6:00:00;2;2;2;76;46;0.3;43.1;0;943;18.7
27/06/2015;7:00:00;2;4;2;66;41;0.5;46.3;0;943;17.7
27/06/2015;8:00:00;2;3;2;63;41;0.6;48.9;0;943;17.5
27/06/2015;9:00:00;2;2;2;75;74;0.7;42;0;943;20
27/06/2015;10:00:00;2;2;2;92;32;0.4;32.9;0;944;23.9
27/06/2015;11:00:00;2;2;2;118;137;0.3;23.5;0;944;28.3
27/06/2015;12:00:00;7;14;3;119;179;0.6;18.6;0;943;31.2
27/06/2015;13:00:00;9;7;3;150;267;0.6;15.5;0;943;33.2
27/06/2015;14:00:00;3;2;2;157;255;1.4;12.7;0;943;34.6
27/06/2015;15:00:00;3;2;2;161;220;1.8;11.6;0;943;35.3
27/06/2015;16:00:00;3;2;2;182;248;1.7;10.7;0;942;36.1
27/06/2015;17:00:00;2;2;2;211;218;1.8;10.8;0;942;36.2
27/06/2015;18:00:00;3;2;2;213;249;1.3;10.2;0;941;36.9
27/06/2015;19:00:00;2;2;2;190;269;0.9;9.6;0;941;37
27/06/2015;20:00:00;2;2;2;172;223;1.5;10.1;0;940;36.4
27/06/2015;21:00:00;2;4;2;156;232;1.3;11.2;0;940;35.6
27/06/2015;22:00:00;3;20;2;118;248;0.8;13.9;0;941;33.5
27/06/2015;23:00:00;2;49;2;59;332;0;18.9;0;941;30.2
