Fecha;Hora;SO2;NO;NO2;PM10;O3;dd;vv;TMP;PRB
13/03/2015;15:00:00;0;0.2;0;16;110;113;4.0;17.0;1020
13/03/2015;16:00:00;0;0.9;0;16;113;114;3.6;16.5;1019
13/03/2015;17:00:00;0;1.1;0;16;110;114;2.7;15.7;1019
13/03/2015;18:00:00;0;1.1;0;16;109;111;2.2;14.5;1019
13/03/2015;19:00:00;0;1.1;1;18;107;69;0.5;14.0;1019
13/03/2015;20:00:00;2;1.3;3;18;103;153;1.6;13.6;1019
13/03/2015;21:00:00;1;1.8;0;19;104;205;2.1;13.1;1020
13/03/2015;22:00:00;1;2.2;2;17;100;211;3.3;12.9;1020
13/03/2015;23:00:00;2;2.1;2;16;91;234;1.9;12.6;1020
13/03/2015;0:00:00;4;2.3;4;20;72;273;0.4;11.8;1020
14/03/2015;1:00:00;4;2.2;6;26;79;265;0.4;11.7;1020
14/03/2015;2:00:00;2;1.8;2;22;87;225;1.0;12.0;1020
14/03/2015;3:00:00;2;1.6;2;21;74;224;1.0;11.6;1019
14/03/2015;4:00:00;2;2.3;1;22;64;182;0.3;11.0;1019
14/03/2015;5:00:00;3;2.4;6;23;58;246;0.6;10.3;1019
14/03/2015;6:00:00;1;2.9;4;17;80;321;2.4;11.6;1018
14/03/2015;7:00:00;2;5.0;21;16;68;321;1.3;11.2;1019
14/03/2015;8:00:00;1;2.4;3;15;82;309;2.3;11.1;1019
14/03/2015;9:00:00;1;2.4;3;14;81;275;2.1;11.6;1018
14/03/2015;10:00:00;1;2.0;0;16;86;298;3.3;12.2;1019
14/03/2015;11:00:00;2;1.9;2;15;83;319;3.2;12.1;1019
14/03/2015;12:00:00;2;2.3;2;14;82;311;2.5;12.6;1019
14/03/2015;13:00:00;2;1.4;1;14;84;182;1.7;12.5;1018
14/03/2015;14:00:00;1;1.1;0;14;87;113;1.9;12.2;1018
14/03/2015;15:00:00;0;1.1;0;13;92;82;1.6;12.6;1017
14/03/2015;16:00:00;0;1.2;0;12;92;97;2.8;12.7;1017
14/03/2015;17:00:00;0;1.5;0;12;92;98;3.5;12.1;1016
14/03/2015;18:00:00;0;2.1;0;12;92;91;3.8;11.4;1016
14/03/2015;19:00:00;0;1.9;0;12;90;81;3.0;10.3;1016
14/03/2015;20:00:00;0;2.4;0;12;94;98;2.5;8.7;1018
14/03/2015;21:00:00;0;2.4;0;11;95;153;1.4;7.9;1018
14/03/2015;22:00:00;1;2.7;6;11;86;127;1.0;8.3;1018
14/03/2015;23:00:00;1;2.4;2;9;86;97;0.9;8.1;1018
14/03/2015;0:00:00;1;2.4;0;8;86;62;0.9;8.1;1018
15/03/2015;1:00:00;0;2.4;0;8;82;56;0.5;8.3;1017
15/03/2015;2:00:00;1;2.4;0;8;83;49;1.2;8.8;1017
15/03/2015;3:00:00;0;2.4;0;7;85;71;0.7;9.4;1017
15/03/2015;4:00:00;0;2.4;0;7;82;79;0.6;9.3;1016
15/03/2015;5:00:00;1;4.8;11;7;70;159;1.0;8.5;1016
