Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
10/12/2014;;25;22;12;26;;;;3
11/12/2014;;16;14;12;20;;;;3
12/12/2014;;6;11;33;11;;;;2
13/12/2014;;3;12;46;8;;;;3
14/12/2014;;2;6;34;9;;;;1
15/12/2014;;6;11;34;9;;;;3
16/12/2014;;4;9;44;10;;;;1
17/12/2014;;7;11;21;9;;;;1
18/12/2014;;3;9;29;15;;;;2
19/12/2014;;3;8;32;9;;;;1
20/12/2014;;3;8;24;16;;;;1
21/12/2014;;2;8;26;9;;;;1
22/12/2014;;3;6;34;8;;;;2
23/12/2014;;4;7;23;10;;;;2
24/12/2014;;2;7;29;9;;;;2
25/12/2014;;3;7;19;15;;;;3
26/12/2014;;4;8;16;12;;;;2
27/12/2014;;2;4;33;16;;;;1
28/12/2014;;1;4;62;18;;;;2
29/12/2014;;2;6;43;8;;;;2
30/12/2014;;4;9;30;13;;;;3
31/12/2014;;22;14;11;33;;;;4
