Fecha;Hora;NO;NO2;O3;PM10;TMP;HR;PRB;LL
04/06/2015;4:00:00;2.3;3;49;17;17.6;76;1021;0.0
04/06/2015;5:00:00;3.7;17;53;16;18.4;68;1021;0.0
04/06/2015;6:00:00;12.0;28;35;29;19.8;67;1021;0.0
04/06/2015;7:00:00;11.4;20;70;35;23.3;52;1021;0.0
04/06/2015;8:00:00;7.5;14;92;24;25.2;44;1021;0.0
04/06/2015;9:00:00;3.4;9;98;15;26.1;44;1021;0.0
04/06/2015;10:00:00;2.8;9;102;15;26.8;46;1021;0.0
04/06/2015;11:00:00;3.4;4;99;21;26.0;59;1022;0.0
04/06/2015;12:00:00;2.7;3;100;14;26.4;57;1021;0.0
04/06/2015;13:00:00;2.4;3;105;25;26.4;56;1021;0.0
04/06/2015;14:00:00;3.1;4;107;16;26.5;57;1021;0.0
04/06/2015;15:00:00;4.3;6;102;25;26.8;54;1021;0.0
04/06/2015;16:00:00;2.3;5;111;17;26.0;55;1020;0.0
04/06/2015;17:00:00;2.0;4;112;23;24.9;60;1020;0.0
04/06/2015;18:00:00;2.0;5;109;25;25.4;58;1020;0.0
04/06/2015;19:00:00;1.8;3;110;20;24.4;62;1020;0.0
04/06/2015;20:00:00;1.4;4;104;20;23.1;66;1020;0.0
04/06/2015;21:00:00;2.1;8;75;36;22.4;68;1021;0.0
04/06/2015;22:00:00;1.7;8;54;42;20.9;68;1021;0.0
04/06/2015;23:00:00;1.7;7;51;28;20.3;65;1021;0.0
04/06/2015;0:00:00;1.6;5;46;22;19.8;67;1021;0.0
05/06/2015;1:00:00;1.5;5;42;27;19.2;67;1021;0.0
05/06/2015;2:00:00;1.5;9;44;25;18.6;67;1020;0.0
05/06/2015;3:00:00;1.8;15;35;20;18.3;68;1020;0.0
05/06/2015;4:00:00;1.6;9;59;18;18.1;68;1020;0.0
05/06/2015;5:00:00;5.1;17;46;22;18.2;70;1020;0.0
05/06/2015;6:00:00;11.0;23;38;31;19.9;70;1020;0.0
05/06/2015;7:00:00;9.1;18;78;40;23.6;60;1020;0.0
05/06/2015;8:00:00;4.2;13;93;27;24.9;52;1020;0.0
05/06/2015;9:00:00;4.2;14;93;16;25.4;51;1020;0.0
05/06/2015;10:00:00;4.2;16;96;24;26.2;45;1020;0.0
05/06/2015;11:00:00;2.8;4;108;27;27.0;46;1021;0.0
05/06/2015;12:00:00;3.2;4;111;25;27.3;44;1020;0.0
05/06/2015;13:00:00;3.5;7;109;23;27.4;43;1020;0.0
05/06/2015;14:00:00;2.6;6;107;21;27.4;39;1020;0.0
05/06/2015;15:00:00;2.1;5;109;22;26.5;46;1020;0.0
05/06/2015;16:00:00;2.4;5;102;17;25.9;55;1019;0.0
05/06/2015;17:00:00;2.4;7;97;24;26.1;53;1019;0.0
05/06/2015;18:00:00;2.0;6;96;24;25.0;58;1019;0.0
05/06/2015;19:00:00;1.4;5;97;25;24.5;58;1019;0.0
05/06/2015;20:00:00;1.5;5;99;14;23.4;64;1019;0.0
05/06/2015;21:00:00;1.9;5;95;21;22.6;69;1020;0.0
05/06/2015;22:00:00;1.6;4;87;28;22.1;72;1020;0.0
05/06/2015;23:00:00;1.9;6;67;20;21.6;74;1021;0.0
05/06/2015;0:00:00;1.6;6;48;25;20.5;76;1020;0.0
06/06/2015;1:00:00;1.3;4;45;26;19.6;80;1020;0.0
06/06/2015;2:00:00;1.7;2;44;17;19.1;83;1020;0.0
06/06/2015;3:00:00;1.7;1;41;15;18.6;83;1020;0.0
06/06/2015;4:00:00;2.9;3;44;15;17.8;80;1020;0.0
06/06/2015;5:00:00;7.0;8;44;13;17.8;72;1020;0.0
06/06/2015;6:00:00;4.5;9;42;19;20.0;67;1020;0.0
06/06/2015;7:00:00;6.8;13;66;30;24.4;49;1020;0.0
06/06/2015;8:00:00;2.4;6;92;19;26.2;41;1020;0.0
06/06/2015;9:00:00;3.1;5;96;11;26.5;41;1021;0.0
06/06/2015;10:00:00;2.2;2;103;18;26.3;40;1021;0.0
06/06/2015;11:00:00;2.2;2;101;24;26.0;45;1021;0.0
06/06/2015;12:00:00;2.2;2;105;20;26.5;41;1021;0.0
06/06/2015;13:00:00;2.0;1;111;27;26.8;41;1021;0.0
06/06/2015;14:00:00;1.5;1;113;19;27.0;38;1021;0.0
06/06/2015;15:00:00;2.5;2;113;13;27.1;38;1020;0.0
06/06/2015;16:00:00;1.7;1;113;18;27.1;40;1020;0.0
06/06/2015;17:00:00;1.8;1;116;20;26.8;42;1020;0.0
06/06/2015;18:00:00;2.0;2;117;23;26.3;42;1019;0.0
06/06/2015;19:00:00;2.4;3;116;27;25.2;54;1020;0.0
06/06/2015;20:00:00;1.6;3;101;20;23.6;70;1020;0.0
06/06/2015;21:00:00;1.5;4;89;44;22.8;73;1021;0.0
06/06/2015;22:00:00;1.6;5;78;31;22.2;76;1021;0.0
06/06/2015;23:00:00;1.9;6;65;20;21.8;83;1021;0.0
06/06/2015;0:00:00;1.4;3;71;23;21.4;85;1021;0.0
07/06/2015;1:00:00;1.5;2;72;28;21.3;86;1021;0.0
07/06/2015;2:00:00;1.3;1;82;32;21.5;87;1021;0.0
07/06/2015;3:00:00;3.5;6;62;31;21.2;88;1021;0.0
07/06/2015;4:00:00;1.6;4;55;28;20.9;88;1021;0.0
