Fecha;Hora;SO2;NO;NO2;dd;vv;TMP;O3
05/09/2015;15:00:00;0;1.1;6;103;1.9;25.2;105
05/09/2015;16:00:00;0;1.1;6;103;2.2;24.5;103
05/09/2015;17:00:00;0;1.1;6;100;2.7;23.8;99
05/09/2015;18:00:00;0;1.1;6;99;2.7;23.1;93
05/09/2015;19:00:00;0;1.1;7;101;2.0;22.4;91
05/09/2015;20:00:00;0;1.1;8;113;0.9;21.8;85
05/09/2015;21:00:00;0;1.1;8;113;0.5;21.5;83
05/09/2015;22:00:00;0;1.1;5;112;0.2;21.5;87
05/09/2015;23:00:00;0;1.1;5;112;0.1;21.3;75
05/09/2015;0:00:00;0;1.1;7;112;0.2;21.0;69
06/09/2015;1:00:00;0;1.1;5;112;0.1;20.8;68
06/09/2015;2:00:00;0;1.1;5;98;0.4;20.5;63
06/09/2015;3:00:00;0;1.1;3;92;0.0;20.2;67
06/09/2015;4:00:00;0;1.1;4;92;0.2;20.3;63
06/09/2015;5:00:00;0;1.1;3;92;0.2;20.0;62
06/09/2015;6:00:00;0;1.1;3;92;0.4;19.7;61
06/09/2015;7:00:00;0;1.1;5;92;0.4;19.5;58
06/09/2015;8:00:00;0;13.1;21;92;0.3;19.6;39
06/09/2015;9:00:00;0;1.1;6;92;0.2;20.7;64
06/09/2015;10:00:00;0;1.2;6;96;2.3;22.0;80
06/09/2015;11:00:00;0;1.2;7;93;3.0;22.3;81
06/09/2015;12:00:00;0;1.1;6;96;2.6;22.9;86
06/09/2015;13:00:00;0;1.2;7;108;2.1;23.2;87
06/09/2015;14:00:00;0;1.1;6;107;2.4;23.2;91
06/09/2015;15:00:00;0;1.1;6;106;2.5;23.5;94
06/09/2015;16:00:00;0;1.1;5;104;2.3;24.2;95
06/09/2015;17:00:00;0;1.1;5;107;1.7;24.9;95
06/09/2015;18:00:00;0;1.1;5;109;1.5;24.6;97
06/09/2015;19:00:00;0;1.1;6;97;1.4;23.0;92
06/09/2015;20:00:00;0;1.1;8;96;0.6;21.7;83
06/09/2015;21:00:00;0;1.1;12;97;0.0;21.0;69
06/09/2015;22:00:00;0;1.6;24;97;0.2;20.1;40
06/09/2015;23:00:00;0;1.1;12;97;0.2;19.0;42
06/09/2015;0:00:00;0;1.1;7;97;0.4;19.2;50
07/09/2015;1:00:00;0;1.1;6;97;0.2;19.3;50
07/09/2015;2:00:00;0;1.1;6;97;0.5;19.0;45
07/09/2015;3:00:00;0;1.1;6;97;0.5;18.4;48
07/09/2015;4:00:00;0;1.1;4;97;0.4;17.9;49
07/09/2015;5:00:00;0;1.1;3;96;0.8;17.9;56
07/09/2015;6:00:00;0;1.1;3;96;0.5;17.5;56
07/09/2015;7:00:00;0;1.8;12;96;0.2;17.3;44
07/09/2015;8:00:00;0;7.2;25;96;0.0;18.0;33
07/09/2015;9:00:00;0;4.6;19;96;0.1;21.0;61
07/09/2015;10:00:00;43;5.6;17;110;0.5;23.3;66
07/09/2015;11:00:00;1;4.9;12;125;1.1;24.7;88
07/09/2015;12:00:00;0;1.4;8;145;0.8;25.8;97
07/09/2015;13:00:00;0;1.2;5;124;0.9;26.8;104
07/09/2015;14:00:00;0;1.6;9;167;1.0;27.6;102
07/09/2015;15:00:00;0;2.3;16;218;1.6;26.1;92
07/09/2015;16:00:00;0;1.2;4;218;1.2;24.8;101
07/09/2015;17:00:00;0;1.3;8;196;0.7;24.3;95
07/09/2015;18:00:00;0;1.9;11;237;1.0;24.2;91
07/09/2015;19:00:00;0;2.2;6;306;2.1;23.6;97
07/09/2015;20:00:00;0;1.0;5;313;0.7;23.1;92
07/09/2015;21:00:00;0;1.0;8;99;1.4;22.4;77
07/09/2015;22:00:00;0;1.0;7;89;1.3;21.6;74
07/09/2015;23:00:00;0;1.0;9;84;0.1;21.5;68
07/09/2015;0:00:00;0;1.7;18;84;0.2;21.1;48
08/09/2015;1:00:00;0;5.9;22;84;0.3;20.3;32
08/09/2015;2:00:00;0;11.8;24;110;0.6;19.7;25
08/09/2015;3:00:00;0;3.5;15;284;0.5;19.2;33
08/09/2015;4:00:00;0;1.0;8;298;0.8;18.7;35
08/09/2015;5:00:00;0;2.9;18;306;0.4;18.5;23
08/09/2015;6:00:00;0;3.8;14;306;0.5;18.2;28
08/09/2015;7:00:00;0;19.3;24;306;0.5;18.0;20
08/09/2015;8:00:00;0;13.0;29;306;0.1;18.5;14
08/09/2015;9:00:00;0;5.9;20;294;;;54
08/09/2015;10:00:00;0;1.7;8;270;1.0;23.2;85
08/09/2015;11:00:00;0;2.8;11;277;2.1;23.1;75
08/09/2015;12:00:00;0;6.9;25;287;2.3;23.0;68
08/09/2015;13:00:00;0;1.2;6;214;0.6;24.1;93
08/09/2015;14:00:00;0;1.4;8;115;0.6;25.0;95
