Fecha;CO;NO;NO2;O3;PM10;PM25;SO2
30/06/2015;;3;16;112;;;4
01/07/2015;;3;13;114;;;3
02/07/2015;;3;16;105;;;3
03/07/2015;;3;11;110;;;2
04/07/2015;;5;11;112;;;3
05/07/2015;;4;12;103;;;3
06/07/2015;;9;17;97;;;4
07/07/2015;;10;19;95;;;3
08/07/2015;;4;11;71;;;2
09/07/2015;;7;14;71;;;2
10/07/2015;;5;18;100;;;5
11/07/2015;;5;12;82;;;2
12/07/2015;;5;10;75;;;2
13/07/2015;;7;16;72;;;2
14/07/2015;;;;89;;;2
15/07/2015;;;;92;;;3
16/07/2015;;;;93;;;3
17/07/2015;;4;15;95;;;3
18/07/2015;;3;6;94;;;2
19/07/2015;;3;6;82;;;2
20/07/2015;;3;8;86;;;2
21/07/2015;;;;;;;
22/07/2015;;;;77;;;1
23/07/2015;;4;17;68;;;2
24/07/2015;;4;16;90;;;2
25/07/2015;;3;9;75;;;2
26/07/2015;;3;15;70;;;2
27/07/2015;;3;12;68;;;2
28/07/2015;;4;14;62;;;2
29/07/2015;;3;13;66;;;2
30/07/2015;;4;14;48;;;2
31/07/2015;;4;16;52;;;2
01/08/2015;;3;13;64;;;2
02/08/2015;;3;14;87;;;3
03/08/2015;;4;17;82;;;2
04/08/2015;;4;16;76;;;2
05/08/2015;;4;18;91;;;2
06/08/2015;;4;19;85;;;2
07/08/2015;;4;17;75;;;2
08/08/2015;;3;12;41;;;2
09/08/2015;;3;10;67;;;2
10/08/2015;;3;16;68;;;2
11/08/2015;;4;16;87;;;3
12/08/2015;;3;15;83;;;3
13/08/2015;;4;14;67;;;3
14/08/2015;;3;11;74;;;3
15/08/2015;;3;11;59;;;3
16/08/2015;;4;16;51;;;3
17/08/2015;;3;13;64;;;3
18/08/2015;;4;14;69;;;4
19/08/2015;;5;18;63;;;4
20/08/2015;;4;18;72;;;4
21/08/2015;;3;16;81;;;4
22/08/2015;;3;12;86;;;4
23/08/2015;;3;16;68;;;3
24/08/2015;;3;13;70;;;3
25/08/2015;;5;20;72;;;4
26/08/2015;;3;14;87;;;4
27/08/2015;;4;17;81;;;3
28/08/2015;;4;18;83;;;4
29/08/2015;;3;14;85;;;4
30/08/2015;;4;10;88;;;4
31/08/2015;;4;17;71;;;4
01/09/2015;;4;15;62;;;3
02/09/2015;;4;15;69;;;4
03/09/2015;;6;17;65;;;4
04/09/2015;;4;17;51;;;4
05/09/2015;;5;12;62;;;4
06/09/2015;;4;18;55;;;4
07/09/2015;;11;20;49;;;4
08/09/2015;;7;26;51;;;4
09/09/2015;;;;;;;
10/09/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
11/09/2015;;;;;;;
12/09/2015;;3;11;93;;;5
13/09/2015;;3;14;83;;;5
14/09/2015;;4;17;60;;;5
15/09/2015;;4;17;71;;;5
16/09/2015;;4;16;62;;;6
17/09/2015;;7;9;65;;;6
18/09/2015;;6;19;51;;;5
19/09/2015;;6;18;59;;;6
20/09/2015;;5;17;59;;;6
21/09/2015;;6;23;73;;;5
22/09/2015;;4;13;75;;;6
23/09/2015;;4;11;77;;;5
24/09/2015;;20;23;44;;;6
25/09/2015;;7;29;54;;;4
26/09/2015;;3;16;78;;;3
27/09/2015;;3;13;75;;;3
28/09/2015;;5;25;63;;;2
29/09/2015;;11;19;78;;;3
30/09/2015;;7;26;63;;;3
01/10/2015;;7;22;66;;;3
02/10/2015;;6;20;77;;;3
03/10/2015;;4;19;81;;;3
04/10/2015;;8;20;54;;;3
05/10/2015;;8;31;38;;;3
06/10/2015;;7;19;55;;;3
07/10/2015;;5;15;61;;;2
08/10/2015;;11;27;36;;;3
09/10/2015;;14;33;36;;;3
10/10/2015;;6;24;64;;;3
11/10/2015;;5;23;56;;;3
12/10/2015;;4;18;53;;;3
13/10/2015;;6;18;45;;;2
14/10/2015;;6;16;62;;;3
15/10/2015;;8;27;54;;;3
16/10/2015;;14;39;44;;;3
17/10/2015;;5;24;64;;;3
18/10/2015;;7;24;55;;;3
19/10/2015;;6;28;42;;;3
20/10/2015;;9;24;33;;;2
21/10/2015;;9;23;47;;;3
22/10/2015;;10;29;43;;;3
23/10/2015;;14;29;31;;;3
24/10/2015;;9;32;43;;;3
25/10/2015;;7;25;56;;;3
26/10/2015;;10;15;66;;;3
