Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
19/05/2015;10:00:00;67;4;19;10;64;342;0.6;39.2;0;929;20.3
19/05/2015;11:00:00;58;3;9;4;90;178;1.5;34.2;0;929;21.8
19/05/2015;12:00:00;58;3;8;3;95;347;1.7;33.8;0;929;23.3
19/05/2015;13:00:00;49;3;8;4;99;86;1.9;32.4;0;929;23.9
19/05/2015;14:00:00;45;4;10;4;103;267;2.6;35.1;0;929;23.5
19/05/2015;15:00:00;47;4;9;5;92;334;2.3;41.7;0;929;23.2
19/05/2015;16:00:00;60;3;7;4;96;333;2.2;43.4;0;928;22.8
19/05/2015;17:00:00;52;2;3;2;81;196;3;71.6;3.5;929;17.2
19/05/2015;18:00:00;46;2;2;2;71;217;4.6;81.8;1.46;930;13.8
19/05/2015;19:00:00;25;2;2;2;70;226;3.9;79.3;0.29;931;13.6
19/05/2015;20:00:00;12;2;3;2;66;207;2.5;78.2;0.58;932;13.3
19/05/2015;21:00:00;19;2;2;2;73;226;2;74.9;0;932;13.6
19/05/2015;22:00:00;12;2;3;2;67;185;2;78.2;0;933;12.7
19/05/2015;23:00:00;22;2;2;2;68;198;1.7;80;0;934;11.8
19/05/2015;0:00:00;8;2;2;2;53;166;0.9;86.5;0;935;10.6
20/05/2015;1:00:00;11;2;2;2;70;194;2.9;80;0;935;9.9
20/05/2015;2:00:00;20;2;2;2;82;202;2.9;75.3;0;936;9.5
20/05/2015;3:00:00;8;2;2;2;74;180;1.9;78.6;0;935;8.4
20/05/2015;4:00:00;19;2;2;2;67;161;1.2;82;0;936;7.3
20/05/2015;5:00:00;15;2;2;2;68;165;1.6;81.7;0;936;6.6
20/05/2015;6:00:00;15;2;2;2;61;88;1.8;84.1;0;935;5.7
20/05/2015;7:00:00;14;2;2;2;61;182;1.9;83.1;0;936;5.3
20/05/2015;8:00:00;18;2;2;3;62;153;2;82;0;936;4.9
20/05/2015;9:00:00;19;2;6;5;61;154;2.5;73;0;936;6.3
20/05/2015;10:00:00;22;2;2;3;72;183;2.7;66.2;0;937;8.1
20/05/2015;11:00:00;9;2;2;2;81;187;2.4;58.5;0;937;10.6
20/05/2015;12:00:00;12;2;2;3;83;193;1.8;49.3;0;937;13.5
20/05/2015;13:00:00;18;2;2;2;90;133;1.6;38.2;0;937;16
20/05/2015;14:00:00;10;2;2;2;96;193;1.5;31.5;0;937;17.7
20/05/2015;15:00:00;18;2;3;3;99;144;3;27.3;0;937;18.5
20/05/2015;16:00:00;18;2;2;2;105;200;3.4;26.5;0;937;18.7
20/05/2015;17:00:00;22;2;2;2;102;204;3.1;27.1;0;936;19.3
20/05/2015;18:00:00;18;2;2;2;102;183;2.8;26.2;0;936;19.4
20/05/2015;19:00:00;21;2;3;2;99;180;2.8;25.9;0;937;19.4
20/05/2015;20:00:00;23;2;3;2;98;180;2.3;27;0;937;19
20/05/2015;21:00:00;17;2;3;2;96;181;3;30.5;0;937;17.8
20/05/2015;22:00:00;18;2;2;2;100;216;3;36;0;938;15.3
20/05/2015;23:00:00;24;2;2;2;98;219;3.2;42.3;0;939;13.7
20/05/2015;0:00:00;13;2;2;2;96;202;0.8;49.6;0;940;12.3
21/05/2015;1:00:00;25;2;2;2;92;164;0.6;55.7;0;940;11.3
21/05/2015;2:00:00;19;2;2;2;90;180;1.4;59.1;0;940;10.3
21/05/2015;3:00:00;10;2;2;2;93;179;2;61.5;0;941;9.3
21/05/2015;4:00:00;18;2;2;2;88;166;2.1;64.2;0;941;8.6
21/05/2015;5:00:00;14;2;2;2;87;160;1.6;66.3;0;940;7.7
21/05/2015;6:00:00;13;2;2;2;86;154;1.9;70;0;940;6.8
21/05/2015;7:00:00;16;2;3;2;75;139;1.5;74.1;0;940;6.1
21/05/2015;8:00:00;18;2;5;3;69;97;1.3;73.3;0;941;6.1
