Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
10/09/2014;;2;20;59;14;;9;;3
11/09/2014;;3;16;52;14;;7;;2
12/09/2014;;4;17;42;12;;6;;4
13/09/2014;;1;11;59;14;;9;;4
14/09/2014;;2;11;46;9;;6;;2
15/09/2014;;3;14;41;7;;5;;2
16/09/2014;;1;9;54;12;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;3
17/09/2014;;1;6;50;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;3
18/09/2014;;1;8;48;;;;;2
19/09/2014;;1;7;49;;;;;1
20/09/2014;;1;8;49;;;;;2
21/09/2014;;1;5;62;;;;;2
22/09/2014;;1;7;62;;;;;3
23/09/2014;;5;14;44;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;6
24/09/2014;;3;10;61;;;13;;4
25/09/2014;;2;10;53;;;15;;5
26/09/2014;;5;18;46;;;9;;4
27/09/2014;;2;9;66;;;5;;3
28/09/2014;;1;10;57;;;5;;2
29/09/2014;;4;16;46;;;3;;3
30/09/2014;;4;18;45;;;6;;5
01/10/2014;;3;14;52;;;6;;7
02/10/2014;;3;17;51;;;6;;4
03/10/2014;;7;24;47;;;7;;10
04/10/2014;;3;14;48;;;5;;4
05/10/2014;;1;11;50;;;2;;2
06/10/2014;;3;10;37;;;2;;3
07/10/2014;;2;12;51;;;1;;3
08/10/2014;;3;10;31;;;1;;2
09/10/2014;;2;17;43;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;2;;3
10/10/2014;;10;19;28;10;;4;;4
11/10/2014;;3;15;38;9;;4;;4
12/10/2014;;1;8;49;4;;3;;2
13/10/2014;;1;9;47;4;;3;;2
14/10/2014;;1;10;51;9;;6;;3
15/10/2014;;1;10;36;11;;8;;3
16/10/2014;;2;11;39;4;;2;;4
17/10/2014;;2;10;42;7;;2;;4
18/10/2014;;1;11;45;11;;4;;5
19/10/2014;;2;13;32;19;;9;;6
20/10/2014;;10;27;26;34;;11;;5
21/10/2014;;12;25;22;47;;12;;7
22/10/2014;;8;23;23;19;;9;;6
23/10/2014;;16;32;18;22;;8;;9
24/10/2014;;24;31;8;29;;11;;7
25/10/2014;;10;25;17;21;;9;;6
26/10/2014;;3;18;31;22;;8;;6
27/10/2014;;9;25;29;27;;11;;5
28/10/2014;;9;27;34;25;;9;;5
29/10/2014;;8;29;33;29;;12;;6
30/10/2014;;8;28;31;33;;12;;6
31/10/2014;;9;27;31;30;;13;;5
01/11/2014;;4;19;30;21;;12;;3
02/11/2014;;5;18;28;10;;6;;3
03/11/2014;;2;15;41;5;;4;;3
04/11/2014;;2;13;54;6;;;;4
05/11/2014;;3;20;46;6;;;;3
06/11/2014;;3;17;34;7;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;3
07/11/2014;;2;11;60;7;;3;;3
08/11/2014;;2;14;36;10;;4;;3
09/11/2014;;3;17;41;6;;4;;4
10/11/2014;;7;14;29;10;;6;;3
11/11/2014;;3;16;46;3;;2;;3
12/11/2014;;2;14;46;5;;4;;3
13/11/2014;;1;8;51;2;;1;;3
14/11/2014;;2;17;49;3;;2;;2
15/11/2014;;1;7;58;4;;2;;1
16/11/2014;;1;5;65;2;;2;;2
17/11/2014;;3;16;50;5;;3;;3
18/11/2014;;13;20;27;9;;6;;2
19/11/2014;;2;16;39;8;;5;;1
20/11/2014;;14;24;24;13;;6;;3
21/11/2014;;40;34;8;28;;16;;4
22/11/2014;;24;22;15;34;;18;;4
23/11/2014;;14;17;16;33;;17;;4
24/11/2014;;25;30;9;16;;7;;7
25/11/2014;;9;27;18;16;;9;;4
26/11/2014;;6;22;18;20;;11;;3
27/11/2014;;2;12;37;9;;5;;3
28/11/2014;;10;18;54;6;;5;;5
29/11/2014;;2;20;41;4;;2;;5
30/11/2014;;2;19;41;5;;3;;4
01/12/2014;;2;17;54;11;;6;;3
02/12/2014;;16;34;29;11;;8;;5
03/12/2014;;12;25;19;11;;7;;7
04/12/2014;;7;27;29;8;;6;;9
05/12/2014;;9;30;28;9;;6;;6
06/12/2014;;2;16;50;5;;5;;3
07/12/2014;;5;24;42;7;;6;;3
08/12/2014;;4;20;38;6;;6;;3
09/12/2014;;6;27;45;11;;7;;4
10/12/2014;;38;36;16;18;;13;;5
11/12/2014;;41;25;18;20;;17;;2
12/12/2014;;4;17;26;12;;7;;2
13/12/2014;;1;7;54;6;;5;;4
14/12/2014;;3;22;37;5;;3;;9
15/12/2014;;18;34;14;10;;8;;6
16/12/2014;;7;25;39;7;;4;;4
17/12/2014;;21;31;17;9;;6;;5
18/12/2014;;21;31;11;20;;16;;8
19/12/2014;;34;32;3;26;;22;;6
20/12/2014;;19;20;4;21;;18;;7
21/12/2014;;29;26;11;16;;15;;8
22/12/2014;;34;36;14;18;;13;;5
23/12/2014;;19;27;12;13;;9;;5
24/12/2014;;19;26;3;22;;20;;4
25/12/2014;;10;27;22;17;;12;;7
26/12/2014;;14;24;17;10;;8;;3
27/12/2014;;3;13;34;24;;12;;2
28/12/2014;;2;17;57;8;;5;;3
29/12/2014;;9;31;30;12;;10;;6
30/12/2014;;31;47;19;19;;16;;12
31/12/2014;;12;37;20;15;;11;;9
