Fecha;NO;NO2;O3;PM10;PM25;BEN
23/09/2015;4;20;56;Sense dades;Sense dades;Sense dades
24/09/2015;5;30;50;Sense dades;Sense dades;Sense dades
25/09/2015;15;32;55;Sense dades;Sense dades;Sense dades
26/09/2015;5;27;54;Sense dades;Sense dades;Sense dades
27/09/2015;1;16;57;Sense dades;Sense dades;Sense dades
28/09/2015;6;27;49;Sense dades;Sense dades;Sense dades
29/09/2015;4;25;55;Sense dades;Sense dades;Sense dades
30/09/2015;4;21;59;Sense dades;Sense dades;Sense dades
01/10/2015;33;48;33;Sense dades;Sense dades;Sense dades
02/10/2015;25;34;45;Sense dades;Sense dades;Sense dades
03/10/2015;5;31;52;Sense dades;Sense dades;Sense dades
04/10/2015;4;32;42;Sense dades;Sense dades;Sense dades
05/10/2015;50;55;19;Sense dades;Sense dades;Sense dades
06/10/2015;30;39;34;Sense dades;Sense dades;Sense dades
07/10/2015;20;33;33;Sense dades;Sense dades;Sense dades
08/10/2015;8;31;32;Sense dades;Sense dades;Sense dades
09/10/2015;11;37;35;Sense dades;Sense dades;Sense dades
10/10/2015;24;43;31;Sense dades;Sense dades;Sense dades
11/10/2015;9;37;37;Sense dades;Sense dades;Sense dades
12/10/2015;1;16;60;Sense dades;Sense dades;Sense dades
13/10/2015;12;32;28;Sense dades;Sense dades;Sense dades
14/10/2015;8;24;35;Sense dades;Sense dades;Sense dades
15/10/2015;9;34;38;Sense dades;Sense dades;Sense dades
16/10/2015;30;40;30;Sense dades;Sense dades;Sense dades
17/10/2015;22;38;36;Sense dades;Sense dades;Sense dades
18/10/2015;4;39;33;Sense dades;Sense dades;Sense dades
19/10/2015;2;22;44;Sense dades;Sense dades;Sense dades
20/10/2015;3;30;37;Sense dades;Sense dades;Sense dades
21/10/2015;28;47;18;Sense dades;Sense dades;Sense dades
22/10/2015;27;49;27;Sense dades;Sense dades;Sense dades
23/10/2015;62;61;20;Sense dades;Sense dades;Sense dades
24/10/2015;36;55;14;Sense dades;Sense dades;Sense dades
25/10/2015;9;34;23;Sense dades;Sense dades;Sense dades
26/10/2015;3;30;33;Sense dades;Sense dades;Sense dades
27/10/2015;19;42;26;Sense dades;Sense dades;Sense dades
28/10/2015;26;39;35;Sense dades;Sense dades;Sense dades
29/10/2015;39;44;19;Sense dades;Sense dades;Sense dades
30/10/2015;26;44;25;Sense dades;Sense dades;Sense dades
31/10/2015;19;29;44;Sense dades;Sense dades;Sense dades
01/11/2015;1;10;82;Sense dades;Sense dades;Sense dades
02/11/2015;1;11;73;Sense dades;Sense dades;Sense dades
03/11/2015;21;44;32;Sense dades;Sense dades;Sense dades
04/11/2015;38;49;18;Sense dades;Sense dades;Sense dades
05/11/2015;44;47;16;Sense dades;Sense dades;Sense dades
06/11/2015;69;53;11;Sense dades;Sense dades;Sense dades
07/11/2015;105;50;3;Sense dades;Sense dades;Sense dades
