Fecha;BEN;NO;NO2;NOX;O3;PM10;SH2;SO2;TOL;dd;HR;PRB;RS;TMP;vv
21/04/2015;2.18;6;63;32;87;25;12;11;8.24;269;67;1016.9;212.2;17.2;0.9
20/04/2015;0.4;3;32;15;97;20;2;7;2.75;325;80;1018.4;271.7;13.3;1.3
19/04/2015;0.19;2;9;8;98;11;2;6;0.69;350;71;1013.5;239.1;13.9;2
18/04/2015;2.1;3;22;15;94;20;5;8;5.27;333;82;1010.1;169.8;14.5;1.1
17/04/2015;1.78;5;60;31;80;28;5;7;4.69;43;88;1014.2;68.4;14.6;0.5
16/04/2015;0.81;4;49;24;88;34;3;8;1.9;296;74;1010.6;127.5;15.2;0.8
15/04/2015;4.08;3;29;20;100;36;4;8;11.28;166;28;1010.1;75.7;22.5;3.6
14/04/2015;4.3;3;33;24;102;41;4;11;3.95;150;28;1016.3;227.7;24.7;1.8
13/04/2015;3.33;3;42;22;112;48;3;6;11.23;166;36;1021.7;256.8;22.1;1.5
12/04/2015;4.07;5;38;24;90;34;3;9;13.61;283;66;1021.7;246.2;17.2;0.4
11/04/2015;1.45;3;43;20;89;23;2;5;3.12;292;84;1022.7;167.4;14.3;0.6
10/04/2015;1.06;2;47;18;95;22;2;5;2.06;259;72;1017.6;171.8;15;0.1
09/04/2015;2.07;3;22;16;106;26;2;6;5.68;156;46;1017.8;172.7;17.2;2.8
08/04/2015;5.41;3;24;17;103;23;4;14;16.79;145;32;1019.1;263.4;18.6;4.8
07/04/2015;0.92;4;71;27;97;25;2;18;3.13;261;65;1020.9;256.2;12.2;1.7
06/04/2015;0.94;3;32;16;88;23;2;7;1.97;253;71;1017.3;258.4;10.5;0.7
05/04/2015;0.58;2;17;11;78;15;2;7;1.24;334;82;1014;156.8;11.5;0.4
04/04/2015;0.17;2;18;9;89;14;1;5;0.15;324;83;1016.5;175.2;11.8;1.1
03/04/2015;0.31;3;28;13;85;19;1;7;0.61;286;80;1019.5;175.5;11.6;1.1
02/04/2015;0.98;3;26;15;95;25;1;6;2.22;275;76;1025.2;248.1;10.4;1.3
01/04/2015;0.27;2;21;12;88;37;0;2;0.29;327;76;1030.5;189.1;12;1.2
31/03/2015;0.22;2;14;10;76;24;1;2;0.25;317;82;1028.1;46.9;13.9;1.8
30/03/2015;0.19;2;16;12;86;30;1;3;0.22;319;63;1024.3;83.8;16.1;2.6
29/03/2015;0.38;2;13;10;85;22;1;3;0.55;316;69;1023.4;175.1;15.9;0.9
28/03/2015;0.41;2;16;11;70;21;1;2;0.77;324;88;1026.5;121.8;13.4;1.2
27/03/2015;0.67;3;61;23;85;14;1;4;1.33;324;94;1024.8;57.8;12.5;1.2
26/03/2015;0.48;2;20;13;84;11;1;5;0.84;301;86;1014.9;35.9;11.1;1.3
25/03/2015;0.29;2;9;9;90;15;2;6;0.09;324;70;1011.7;157.9;9.1;3.6
24/03/2015;0.68;2;25;15;84;21;2;7;0.71;322;89;1008.4;43.6;9.3;1.6
23/03/2015;1.14;5;60;33;64;15;3;8;3.02;225;94;1007.8;22.8;7.6;0.2
22/03/2015;0.64;2;15;15;78;34;2;5;0.74;349;82;1011.8;51;10;1.1
21/03/2015;0.87;2;36;21;72;32;2;7;1.11;314;94;1011.8;18.8;9.5;0.5
20/03/2015;0.77;2;33;23;76;62;1;5;0.68;341;80;1015.8;32;10.7;0.6
19/03/2015;1;3;32;21;78;27;1;6;1.59;301;89;1017.2;108.9;12;0.3
18/03/2015;0.71;4;50;29;79;25;2;6;1.19;291;69;1016.6;121.3;12.7;0.6
17/03/2015;;;52;;68;30;;;;161;50;1012.4;202.8;13.9;2.9
16/03/2015;2.56;4;58;27;67;37;2;9;7.84;171;74;1014.7;141.8;9.1;1
15/03/2015;0.54;2;21;13;82;36;2;8;0.61;275;78;1017.4;35.8;8.1;1
14/03/2015;0.5;1;16;10;92;28;2;7;0.28;280;79;1021.6;20.3;8.8;1.8
13/03/2015;0.32;2;12;9;91;29;2;8;0.18;318;75;1023.7;87.4;10.8;3.1
12/03/2015;0.95;4;51;25;87;51;3;10;2.4;305;84;1019.9;138.3;11.4;0.6
11/03/2015;0.6;3;30;22;79;39;2;9;0.97;259;93;1023.6;31.2;10.9;0.6
