Fecha;NO;NO2;O3;PM10;SO2
27/09/2015;1;4;75;16;1
28/09/2015;2;8;69;17;6
29/09/2015;1;7;68;17;19
30/09/2015;2;12;59;20;25
01/10/2015;3;14;66;17;7
02/10/2015;2;8;73;22;3
03/10/2015;2;13;56;17;7
04/10/2015;2;7;38;13;3
05/10/2015;1;3;58;11;1
06/10/2015;2;5;58;9;1
07/10/2015;2;8;54;14;3
08/10/2015;2;10;39;17;2
09/10/2015;3;11;41;12;3
10/10/2015;1;8;54;17;4
11/10/2015;2;6;45;12;13
12/10/2015;2;4;51;7;16
13/10/2015;1;3;73;12;2
14/10/2015;4;13;52;20;13
15/10/2015;3;12;40;19;16
16/10/2015;7;20;33;21;25
17/10/2015;2;9;49;17;23
18/10/2015;2;7;42;14;11
19/10/2015;1;6;48;8;1
20/10/2015;1;3;76;12;2
21/10/2015;2;8;66;14;18
22/10/2015;3;13;36;25;9
23/10/2015;11;16;22;22;23
24/10/2015;9;12;29;21;4
25/10/2015;8;7;48;20;3
26/10/2015;9;10;41;20;4
27/10/2015;8;7;64;8;3
28/10/2015;8;9;57;7;4
29/10/2015;8;8;47;13;3
30/10/2015;8;9;46;19;9
31/10/2015;9;11;33;24;20
01/11/2015;8;7;50;23;17
02/11/2015;7;4;71;13;9
03/11/2015;8;11;51;14;11
04/11/2015;8;6;49;13;3
05/11/2015;;;;;
