Fecha;NO;NO2;O3;PM10;SO2
03/10/2014;1;5;40;19;1
04/10/2014;1;3;47;12;1
05/10/2014;1;3;54;7;1
06/10/2014;1;5;30;8;4
07/10/2014;1;4;64;13;2
08/10/2014;1;2;37;6;1
09/10/2014;1;4;46;10;1
10/10/2014;1;4;35;13;1
11/10/2014;1;4;36;12;1
12/10/2014;1;3;52;9;1
13/10/2014;1;2;48;8;1
14/10/2014;1;2;55;9;1
15/10/2014;1;2;45;8;1
16/10/2014;1;2;42;8;2
17/10/2014;1;1;50;9;3
20/10/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
21/10/2014;1;4;35;43;1
22/10/2014;1;3;46;12;3
23/10/2014;1;3;31;19;2
24/10/2014;1;5;15;21;5
25/10/2014;1;4;15;18;3
26/10/2014;1;4;21;21;3
27/10/2014;1;4;26;19;2
28/10/2014;1;4;33;19;1
29/10/2014;1;4;37;24;2
30/10/2014;2;5;33;23;2
31/10/2014;1;6;43;28;3
01/11/2014;1;5;36;22;2
02/11/2014;1;5;39;10;2
03/11/2014;1;3;64;8;2
04/11/2014;1;3;57;7;4
05/11/2014;1;2;63;11;2
06/11/2014;1;3;39;9;2
07/11/2014;1;3;49;7;3
08/11/2014;1;3;43;4;3
09/11/2014;1;3;52;7;2
10/11/2014;1;2;51;5;2
11/11/2014;1;2;58;3;1
12/11/2014;1;2;58;4;1
13/11/2014;1;1;57;3;1
14/11/2014;1;2;66;5;1
15/11/2014;1;2;55;4;1
16/11/2014;1;2;54;5;1
17/11/2014;1;2;55;4;1
18/11/2014;1;2;46;7;2
19/11/2014;1;5;42;7;1
20/11/2014;1;5;37;12;2
21/11/2014;2;9;33;19;1
22/11/2014;1;7;28;31;1
23/11/2014;1;4;25;38;1
24/11/2014;1;3;41;6;1
25/11/2014;1;3;33;10;1
26/11/2014;1;3;39;11;2
27/11/2014;1;3;53;9;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
28/11/2014;1;3;64;7;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
29/11/2014;1;2;51;5;2
30/11/2014;1;2;57;6;3
01/12/2014;1;2;62;13;3
02/12/2014;1;2;53;6;5
03/12/2014;1;3;41;5;7
04/12/2014;1;3;47;5;3
05/12/2014;1;2;59;10;4
06/12/2014;1;1;67;7;2
07/12/2014;1;2;66;8;1
08/12/2014;1;1;62;10;2
09/12/2014;1;2;64;11;1
10/12/2014;1;3;48;10;2
11/12/2014;1;4;40;13;1
12/12/2014;1;4;38;12;1
13/12/2014;1;3;50;8;1
14/12/2014;1;2;50;4;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
15/12/2014;1;1;51;6;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
16/12/2014;1;2;59;6;4
17/12/2014;1;4;45;12;4
18/12/2014;2;3;25;13;3
19/12/2014;1;3;36;12;1
20/12/2014;1;3;30;12;1
21/12/2014;1;3;28;10;1
22/12/2014;1;3;28;11;1
23/12/2014;1;3;32;13;1
24/12/2014;1;4;27;13;1
25/12/2014;1;2;44;12;1
26/12/2014;1;3;38;11;1
27/12/2014;1;2;56;32;1
28/12/2014;1;2;70;9;1
29/12/2014;1;3;59;14;1
30/12/2014;1;3;49;15;1
31/12/2014;2;5;47;15;2
01/01/2015;1;4;44;11;3
02/01/2015;1;4;39;13;4
03/01/2015;1;4;35;12;2
04/01/2015;1;4;28;13;4
05/01/2015;1;4;22;8;2
06/01/2015;1;3;31;10;3
07/01/2015;1;3;35;10;3
08/01/2015;1;4;28;13;3
09/01/2015;1;3;23;9;1
10/01/2015;2;5;22;9;1
11/01/2015;1;4;39;9;1
12/01/2015;1;3;36;8;1
13/01/2015;1;5;42;11;2
14/01/2015;1;6;41;6;2
15/01/2015;1;3;53;8;1
16/01/2015;1;2;59;4;3
17/01/2015;1;3;55;8;5
18/01/2015;1;2;55;4;1
19/01/2015;1;2;63;5;1
20/01/2015;1;4;58;5;1
21/01/2015;1;2;65;3;2
22/01/2015;1;2;61;4;2
23/01/2015;1;3;58;5;5
24/01/2015;1;3;62;8;2
25/01/2015;1;3;72;8;3
26/01/2015;1;3;72;8;2
27/01/2015;1;3;59;5;2
28/01/2015;1;4;55;7;3
29/01/2015;1;2;56;3;5
30/01/2015;1;1;62;3;1
31/01/2015;1;1;69;4;5
01/02/2015;1;1;67;4;1
02/02/2015;1;2;54;2;2
03/02/2015;1;2;66;2;1
04/02/2015;1;2;66;4;1
05/02/2015;1;2;66;3;4
06/02/2015;1;3;56;3;1
07/02/2015;1;4;50;9;2
08/02/2015;1;4;57;13;1
09/02/2015;1;2;69;6;3
10/02/2015;2;6;66;12;1
11/02/2015;1;8;67;16;2
12/02/2015;1;7;59;13;1
13/02/2015;2;7;60;7;3
14/02/2015;1;5;54;5;1
15/02/2015;1;3;52;3;1
16/02/2015;1;2;64;2;1
17/02/2015;1;1;68;6;1
18/02/2015;1;2;64;9;1
19/02/2015;1;5;59;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
20/02/2015;1;6;51;;1
21/02/2015;1;2;67;;1
22/02/2015;1;1;60;;3
23/02/2015;1;2;54;;2
24/02/2015;1;1;68;;1
25/02/2015;1;2;65;;1
26/02/2015;1;1;54;;1
27/02/2015;1;2;73;;1
28/02/2015;1;2;48;;2
01/03/2015;1;2;34;;1
02/03/2015;1;3;36;;1
03/03/2015;1;3;38;;1
04/03/2015;1;1;71;;2
05/03/2015;1;2;69;;2
06/03/2015;1;2;61;;1
07/03/2015;1;2;59;;1
08/03/2015;1;3;63;;1
09/03/2015;1;3;62;;1
10/03/2015;1;4;63;;1
11/03/2015;1;4;63;;1
12/03/2015;1;5;56;;2
13/03/2015;1;3;68;;1
14/03/2015;1;3;67;;1
15/03/2015;1;5;66;;1
16/03/2015;2;9;50;;1
17/03/2015;1;7;52;;1
18/03/2015;1;4;63;;1
19/03/2015;1;4;61;;2
20/03/2015;1;4;62;;1
21/03/2015;1;4;58;;1
22/03/2015;1;3;61;;1
23/03/2015;1;2;55;;2
24/03/2015;1;2;63;;1
25/03/2015;1;1;68;;1
26/03/2015;1;2;52;;3
27/03/2015;1;3;40;;2
28/03/2015;1;2;42;;2
29/03/2015;1;2;56;;1
30/03/2015;1;2;66;;2
31/03/2015;1;2;58;;1
01/04/2015;1;2;62;;1
02/04/2015;1;2;53;;1
03/04/2015;1;3;44;;1
04/04/2015;1;2;56;;1
05/04/2015;1;2;43;;1
06/04/2015;1;2;47;;1
07/04/2015;1;2;63;;1
08/04/2015;1;3;72;;1
09/04/2015;1;3;61;;2
10/04/2015;1;3;52;;1
11/04/2015;1;2;47;;2
12/04/2015;1;2;45;;2
13/04/2015;1;3;49;;2
14/04/2015;1;3;63;;2
15/04/2015;1;3;57;;1
16/04/2015;1;3;40;;1
17/04/2015;1;3;61;;2
18/04/2015;1;2;59;;1
19/04/2015;1;3;55;;2
20/04/2015;1;3;45;;1
21/04/2015;1;4;54;;1
22/04/2015;1;4;59;;1
23/04/2015;1;4;56;;2
24/04/2015;1;3;52;;2
25/04/2015;1;2;58;;1
26/04/2015;1;2;61;;1
27/04/2015;1;2;63;;1
28/04/2015;1;2;56;;1
29/04/2015;1;3;49;;3
30/04/2015;1;4;36;;1
01/05/2015;1;3;43;;3
02/05/2015;1;2;41;;1
03/05/2015;1;2;46;;2
04/05/2015;1;1;57;;3
05/05/2015;1;3;67;;2
06/05/2015;1;2;63;;1
07/05/2015;1;2;72;;2
08/05/2015;1;2;60;;4
09/05/2015;1;2;48;;4
10/05/2015;1;3;54;;4
11/05/2015;1;3;60;;6
