Fecha;BEN;CO;NO;NO2;NOX;O3;PM10;SO2
30/03/15;null(null);0.1;2.1;6.6;9.6;33.0;null(null);1.0
31/03/15;null(null);0.1;4.3;11.0;17.0;28.0;null(null);1.0
1/04/15;null(null);0.1;2.8;15.0;19.0;34.0;null(null);1.0
2/04/15;null(null);0.1;2.3;7.2;11.0;36.0;null(null);1.0
3/04/15;null(null);0.1;2.3;7.4;11.0;30.0;null(null);1.0
4/04/15;null(null);0.1;2.1;6.9;9.6;36.0;null(null);1.0
5/04/15;null(null);0.1;2.9;16.0;20.0;31.0;null(null);1.0
6/04/15;null(null);0.1;4.1;20.0;25.0;27.0;null(null);1.0
7/04/15;null(null);0.1;4.9;24.0;31.0;29.0;null(null);1.0
8/04/15;null(null);0.1;3.4;20.0;25.0;35.0;null(null);1.0
9/04/15;null(null);0.1;2.8;18.0;22.0;25.0;null(null);1.0
10/04/15;null(null);0.1;3.0;13.0;18.0;22.0;null(null);1.0
11/04/15;null(null);0.1;2.8;15.0;19.0;26.0;null(null);1.0
12/04/15;null(null);0.1;3.3;12.0;16.0;31.0;null(null);1.0
13/04/15;null(null);0.11;5.3;28.0;35.0;30.0;null(null);1.0
14/04/15;null(null);0.1;5.0;35.0;42.0;25.0;null(null);1.0
17/04/15;null(null);0.1;2.5;13.0;17.0;39.0;null(null);1.0
18/04/15;null(null);0.1;2.3;5.9;9.2;40.0;null(null);1.0
19/04/15;null(null);0.1;2.3;5.8;9.0;32.0;null(null);1.0
20/04/15;null(null);0.1;8.0;19.0;30.0;34.0;null(null);1.0
21/04/15;null(null);0.1;3.6;16.0;21.0;57.0;null(null);1.0
22/04/15;null(null);0.1;2.4;8.2;12.0;53.0;null(null);1.0
23/04/15;null(null);0.13;3.8;10.0;16.0;56.0;null(null);1.0
24/04/15;null(null);0.1;2.3;9.8;13.0;55.0;null(null);1.0
25/04/15;null(null);0.1;2.2;4.9;8.0;65.0;null(null);1.0
26/04/15;null(null);0.1;2.0;6.7;9.7;68.0;null(null);1.0
27/04/15;null(null);0.11;2.0;4.0;6.8;57.0;null(null);1.0
28/04/15;null(null);0.1;3.3;13.0;18.0;56.0;null(null);1.0
29/04/15;null(null);0.1;4.1;8.4;14.0;56.0;null(null);1.0
30/04/15;null(null);0.1;2.1;3.0;5.6;51.0;null(null);1.0
1/01/15;null(null);0.17;4.1;22.0;27.0;26.0;null(null);1.6
2/01/15;null(null);0.21;14.0;29.0;47.0;18.0;null(null);2.7
3/01/15;null(null);0.17;8.8;30.0;42.0;16.0;null(null);1.1
4/01/15;null(null);0.11;3.9;17.0;23.0;25.0;null(null);2.8
7/01/15;null(null);0.12;20.0;33.0;60.0;13.0;null(null);5.0
8/01/15;null(null);0.13;17.0;31.0;54.0;18.0;null(null);1.1
9/01/15;null(null);0.11;8.8;25.0;37.0;15.0;null(null);1.8
10/01/15;null(null);0.1;12.0;30.0;47.0;10.0;null(null);1.3
11/01/15;null(null);0.12;3.8;13.0;19.0;22.0;null(null);1.0
12/01/15;null(null);0.11;14.0;22.0;41.0;25.0;null(null);1.9
13/01/15;null(null);0.11;4.4;18.0;24.0;38.0;null(null);3.8
15/01/15;null(null);0.1;3.4;20.0;24.0;44.0;null(null);1.0
17/01/15;null(null);0.11;4.9;17.0;23.0;31.0;null(null);1.2
18/01/15;null(null);0.1;2.0;12.0;15.0;40.0;null(null);1.5
19/01/15;null(null);0.11;14.0;30.0;49.0;33.0;null(null);1.2
20/01/15;null(null);0.11;2.3;7.7;11.0;42.0;null(null);1.0
21/01/15;null(null);0.1;2.3;11.0;14.0;46.0;null(null);1.0
22/01/15;null(null);0.1;3.1;17.0;21.0;38.0;null(null);1.0
23/01/15;null(null);0.13;10.0;27.0;41.0;19.0;null(null);1.3
24/01/15;null(null);0.1;2.6;13.0;17.0;29.0;null(null);1.1
25/01/15;null(null);0.1;2.3;7.9;11.0;41.0;null(null);1.7
26/01/15;null(null);0.1;3.8;20.0;25.0;32.0;null(null);2.9
27/01/15;null(null);0.1;4.0;19.0;24.0;34.0;null(null);2.5
28/01/15;null(null);0.1;5.8;26.0;34.0;32.0;null(null);1.5
29/01/15;null(null);0.1;2.2;12.0;16.0;37.0;null(null);1.3
30/01/15;null(null);0.1;2.5;7.5;11.0;43.0;null(null);1.0
31/01/15;null(null);0.1;1.7;1.7;3.3;57.0;null(null);1.3
