Fecha;Hora;PM10;SO2;NO2;NO;CO;O3;dd;vv;HR;LL;PRB;TMP
14/03/2015;23:00:00;n;6.75;21.25;9.75;0.5725;78.25;13;2.2;45.825;0;943.25;6.1
14/03/2015;0:00:00;n;6.5;14.75;7.25;0.575;75.75;19;2.1;52.825;0;943.25;4.675
15/03/2015;1:00:00;n;6.75;11.75;4;0.64;76.25;21;1.6;57.45;0;943;3.65
15/03/2015;2:00:00;n;7;14.75;5.5;0.5825;72.25;21;1.2;58.8;0;943;3.375
15/03/2015;3:00:00;n;6.25;11.75;2;0.5975;73.25;19;0.8;60.325;0;942.25;2.875
15/03/2015;4:00:00;n;6.75;11;2.75;0.6075;65.5;28;0.9;66.775;0;942;0.925
15/03/2015;5:00:00;n;6.75;11.5;2;0.5875;71.5;27;1.2;64.6;0;941.25;1.325
15/03/2015;6:00:00;n;6.5;10.25;2;0.55;64.75;185;0.9;68.8;0;942;0
15/03/2015;7:00:00;n;6.25;11.25;2;0.5375;65;236;0.6;68.925;0;941.25;-0.275
15/03/2015;8:00:00;n;6;16;2;0.565;56.25;18;1;70.175;0;941;-0.675
15/03/2015;9:00:00;n;7;21.75;3;0.6175;55.5;352;0.8;63.1;0;941;1.425
15/03/2015;10:00:00;n;7.5;20;4.75;0.5625;55.25;182;1.1;55.925;0;941;3.125
15/03/2015;11:00:00;n;7.25;8;2;0.5075;94.75;124;1.7;45.35;0;941;5.4
15/03/2015;12:00:00;n;7;8.25;2;0.48;105.5;178;3.3;34.225;0;940.25;7.15
15/03/2015;13:00:00;n;6;8.25;2;0.505;106;176;2.9;32.45;0;940;7.625
15/03/2015;14:00:00;n;6;8.75;2;0.505;107.25;352;2.7;30.425;0;939.5;8.025
15/03/2015;15:00:00;n;6.75;9.5;2;0.5225;105.5;344;2.3;33.025;0;939;8.075
15/03/2015;16:00:00;n;6;8;2;0.5375;106.5;354;2.6;32.7;0;938.25;8.25
15/03/2015;17:00:00;n;6.25;8.25;2;0.5475;105.5;123;2.1;34.175;0;938;7.625
15/03/2015;18:00:00;n;6.75;10.5;2.25;0.5625;99.75;341;2.3;35.35;0;938;7.425
15/03/2015;19:00:00;n;7;11.25;2;0.5425;95;96;2.2;39.725;0;938.5;6.45
15/03/2015;20:00:00;n;6.75;12.5;2;0.525;87.75;180;2;43.975;0;939;5.825
15/03/2015;21:00:00;n;7;12.75;2.5;0.5325;81.5;183;2;47.675;0;939;5.025
15/03/2015;22:00:00;n;6.5;10.5;2;0.54;78.5;9;1.5;50.575;0;939;4.4
15/03/2015;23:00:00;n;5.75;12.75;2;0.61;72.75;19;2.1;52.025;0;939;4.125
15/03/2015;0:00:00;n;7;11.75;2.5;0.5675;67.75;180;1.4;56.325;0;939.75;2.8
16/03/2015;1:00:00;n;6.75;8.25;2;0.5625;64.5;10;1.3;60.7;0;940;1.15
16/03/2015;2:00:00;n;6.75;8;2;0.5825;63.5;14;1.5;64.675;0;939.5;0.9
16/03/2015;3:00:00;n;6;12;2;0.6075;58.25;1;0.9;67.7;0;939;0.55
16/03/2015;4:00:00;n;6.25;13;2;0.62;51.5;267;0.8;72.6;0;939;-1.1
16/03/2015;5:00:00;n;6;7;2;0.6;48.5;90;0.7;77.725;0;939;-2.575
16/03/2015;6:00:00;n;6.5;13.75;2;0.5825;41.5;342;0.6;77.15;0;939;-2.225
16/03/2015;7:00:00;n;6.75;23;2;0.5325;28;122;0.7;80.175;0;939.5;-3.75
16/03/2015;8:00:00;n;6.75;30.25;7.5;0.5575;18.25;10;1;81;0;940;-3.9
16/03/2015;9:00:00;n;9;43;29;0.5625;15.5;123;1.1;75.075;0;940;-2.275
16/03/2015;10:00:00;n;10;38;28;0.6175;21.25;341;1.1;67.8;0;940.25;0.425
16/03/2015;11:00:00;n;7.75;16.25;6.25;0.53;58;121;1.5;60.225;0;940.5;3.2
16/03/2015;12:00:00;n;7.25;11;3.5;0.5275;80.25;352;1.4;49.35;0;940;6.6
16/03/2015;13:00:00;n;7;12.25;2.5;0.575;88.5;181;1.2;39.175;0;940;8.85
16/03/2015;14:00:00;n;8;17;4;0.59;93.5;239;1.6;32.85;0;940;10.775
16/03/2015;15:00:00;n;10;26.75;7.75;0.635;89.5;35;1.9;29.475;0;939.25;11.675
16/03/2015;16:00:00;n;8.5;24.25;5;0.6475;97.25;207;1.5;25.075;0;939;12.25
16/03/2015;17:00:00;n;8.25;23.25;4.25;0.6225;104;251;1.5;23.85;0;939;12.375
16/03/2015;18:00:00;n;8.25;29.25;4.75;0.62;101.5;278;1.6;22.25;0;939;12.6
16/03/2015;19:00:00;n;8.5;47.25;5.75;0.655;80.25;248;1.2;24.1;0;939;12.425
16/03/2015;20:00:00;n;11.25;96;19.5;0.66;35;197;0.6;28.3;0;939;9.65
16/03/2015;21:00:00;n;16;128.75;75.75;0.9525;27;160;0.5;30.8;0;939.25;8.55
16/03/2015;22:00:00;n;14;118.25;55.5;0.9175;13.5;151;0.6;32.575;0;940;7.75
16/03/2015;23:00:00;n;15.75;114.25;81;1.18;10;356;0.5;40.225;0;940;5.975
16/03/2015;0:00:00;n;7.75;56;8;0.62;15.25;124;0.7;47.225;0;939.75;2.4
17/03/2015;1:00:00;n;7.25;57.25;7.25;0.595;15.25;19;0.9;50.05;0;939.75;1.475
17/03/2015;2:00:00;n;7;28.75;2;0.5725;40.75;18;1.2;49.75;0;940;1.4
17/03/2015;3:00:00;n;7;13.75;2;0.565;57.25;19;1.4;51.775;0;940;1.45
17/03/2015;4:00:00;n;7;11.75;2;0.585;59.25;337;1;56.625;0;939.75;0.675
17/03/2015;5:00:00;n;6.5;11.25;2;0.5675;57;7;1;56.825;0;939.5;0.7
17/03/2015;6:00:00;n;6.5;15.75;2;0.5525;53;90;0.8;57.975;0;939;0.975
17/03/2015;7:00:00;n;6.75;21.25;2;0.5375;38.25;185;0.9;62.325;0;939.5;0.7
17/03/2015;8:00:00;n;7.25;40;6.25;0.63;22.25;180;0.6;63.2;0;940;1.3
17/03/2015;9:00:00;n;11.25;70.25;43.5;0.725;14.75;178;0.9;61.975;0;940;2.875
17/03/2015;10:00:00;n;8;33.25;11.75;0.585;40.25;355;1.4;58.45;0;940;5.025
17/03/2015;11:00:00;n;7.75;21.75;7;0.6125;72;120;1.8;51.925;0;940;7.025
17/03/2015;12:00:00;n;8.25;17.75;4.5;0.72;91.25;161;1.8;42.175;0;940;11.325
17/03/2015;13:00:00;n;8.5;20;5.5;0.6475;98.5;320;1.4;38.925;0;939.75;13.15
17/03/2015;14:00:00;n;8.25;18.75;3.25;0.6175;101.75;350;1.5;39.8;0;938.75;13.1
17/03/2015;15:00:00;n;7.75;23;4.25;0.6825;102;4;1.3;39.75;0;938;13.325
17/03/2015;16:00:00;n;8;25.5;3.5;0.73;103;323;0.9;38.275;0;937.5;13.725
17/03/2015;17:00:00;n;8;25;2.75;0.67;101;338;1;34.075;0;937;14.85
17/03/2015;18:00:00;n;8.5;34.5;3.25;0.6225;94.25;133;3;33.275;0;937;14.525
17/03/2015;19:00:00;n;9.75;30.25;2.75;0.59;94.5;132;2.7;35.075;0;937;14.125
17/03/2015;20:00:00;n;10.5;34.75;2;0.565;88;132;2.1;36.7;0;937.25;12.9
17/03/2015;21:00:00;n;11.75;47.25;4.25;0.6175;68.5;130;2;38.925;0;938;12.25
17/03/2015;22:00:00;n;10;30.75;2;0.575;85.75;122;1.4;42.85;0;938.5;11.2
17/03/2015;23:00:00;n;10.5;23.75;2;0.59;95.5;118;2.9;45.725;0;939;10.05
17/03/2015;0:00:00;n;8.75;18.5;2;0.58;96.75;108;2.1;47.2;0;939;8.7
18/03/2015;1:00:00;n;8;14.5;2;0.5825;100.75;115;2.1;46.05;0;939.5;7.95
18/03/2015;2:00:00;n;8;13.75;2;0.5425;104.5;309;1;41.6;0;939.75;8.025
18/03/2015;3:00:00;n;7.25;11;2;0.56;106.5;27;0.7;41.2;0;939.5;7.75
18/03/2015;4:00:00;n;7.5;12.75;2;0.565;104.75;27;0.9;42.625;0;939.5;7.025
18/03/2015;5:00:00;n;7;12.25;2;0.5675;104.25;208;0.7;44.575;0;939;6.225
18/03/2015;6:00:00;n;7;11.5;2;0.5675;107.75;120;0.9;45.925;0;939;6
18/03/2015;7:00:00;n;6.75;15.5;2;0.5475;102;17;1.4;47.925;0;939;5.8
18/03/2015;8:00:00;n;7.5;26.25;2.75;0.565;84;180;1.5;50.275;0;939.5;5.55
18/03/2015;9:00:00;n;7.75;32;8.5;0.575;75.5;47;1.5;79.725;2.87;940.75;3.225
18/03/2015;10:00:00;n;7.25;33.25;5.5;0.59;69;24;1.5;91.925;2.46;941;2.075
18/03/2015;11:00:00;n;7;24.25;5.75;0.6175;69.5;357;1.5;97.375;0.82;941;2.65
18/03/2015;12:00:00;n;6.75;21.5;6;0.58;72.25;6;1.7;100;0.41;941;3.3
18/03/2015;13:00:00;n;6;19;4.25;0.6075;70.5;125;1.7;100;0.41;940.25;4.925
18/03/2015;14:00:00;n;7;19;4.5;0.65;76.75;22;2.5;92.775;0.41;940;6.275
18/03/2015;15:00:00;n;7.75;26.5;6.5;0.7625;82.25;24;1.8;83.225;0.41;939.5;7
18/03/2015;16:00:00;n;7.25;23.75;6;0.7275;82.25;19;2.1;83.9;0.41;939;7.4
18/03/2015;17:00:00;n;7;19.75;3.5;0.67;86;25;2;80.525;0;939;7.85
18/03/2015;18:00:00;n;7.5;22;4.25;0.71;79;23;2.5;80.1;0;939;7.6
18/03/2015;19:00:00;n;7;22.25;3.75;0.65;71;22;2.5;78.575;0;939;7.225
18/03/2015;20:00:00;n;7;32.75;4.75;0.6875;59.5;21;2;82.65;0;939;7.2
18/03/2015;21:00:00;n;7;22.75;2.75;0.6475;68.25;22;2.3;83.025;0;939;7
18/03/2015;22:00:00;n;7;18.75;3;0.6625;71.25;18;2.1;81.725;0;939;6.5
18/03/2015;23:00:00;n;7;15.75;2;0.6;71.5;23;2;82.15;0;939;6.35
18/03/2015;0:00:00;n;6.75;10.75;2;0.6075;79.5;20;2.3;82.65;0;939;6.275
19/03/2015;1:00:00;n;6.25;9.5;2.25;0.595;84.25;17;1.9;80.15;0;939;6.45
19/03/2015;2:00:00;n;6.75;6.75;2;0.5975;94;18;1.8;78.525;0;939;6.45
19/03/2015;3:00:00;n;6.75;6.25;2;0.585;94.5;24;1.6;80.5;0;939;6.3
19/03/2015;4:00:00;n;6.75;6.5;2;0.5875;85.5;6;1.4;88.65;0;938.5;5.6
19/03/2015;5:00:00;n;7;5.75;2;0.575;83.75;6;1;97.375;2.46;938;5.225
19/03/2015;6:00:00;n;7;6.25;2;0.575;84.5;13;1.8;100;4.51;938;4.8
19/03/2015;7:00:00;n;7;7.25;2;0.5375;84;3;1.4;100;2.46;938;4.55
19/03/2015;8:00:00;n;7;10.75;2;0.55;87;15;2.2;100;0;938;4.15
19/03/2015;9:00:00;n;7.25;29.25;11.5;0.595;66;7;1.5;100;0;938;4.475
19/03/2015;10:00:00;n;7;27.25;8.25;0.6125;61.5;179;1.5;100;0;938;5.875
19/03/2015;11:00:00;n;7.5;20.5;5.75;0.6375;79.5;18;2.3;82.45;0;938;9.025
19/03/2015;12:00:00;n;8;18.5;5.5;0.8375;82;19;2.1;76.325;0;937.75;10.775
19/03/2015;13:00:00;n;7.75;17.5;4.25;0.835;89.5;26;2.3;67.525;0;937;12.225
19/03/2015;14:00:00;n;8;15.75;2.75;0.6625;90;25;2.4;65.825;0;936.75;12.675
19/03/2015;15:00:00;n;8;16.25;5.25;0.7025;90;24;3;68.925;0;936;11.875
19/03/2015;16:00:00;n;8;14.75;2.75;0.7;87;8;2.8;71.25;0;936;11.4
19/03/2015;17:00:00;n;7.5;12.5;3;0.6825;90;24;3.7;67.8;0;935.25;12.625
