Nombre;Longitud;Latitud;Fecha;SO2;NO;PM10;PM25;CO;O3;BEN
Avenida Argentina;-5.69611;43.54111;2015-10-19 23:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 22:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 21:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 20:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 19:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 18:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 17:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 16:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 15:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 14:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 13:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 12:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 11:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 10:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 9:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 8:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 7:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 6:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 5:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 4:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 3:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 2:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 1:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-19 0:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 23:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 22:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 21:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 20:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 19:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 18:00;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 17:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 16:00;5. MUY BAJO;5. MUY BAJO;2. ALTO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 15:00;5. MUY BAJO;5. MUY BAJO;2. ALTO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 14:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 13:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 12:00;5. MUY BAJO;5. MUY BAJO;2. ALTO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 11:00;5. MUY BAJO;5. MUY BAJO;2. ALTO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 10:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 9:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 8:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;4. BAJO;5. MUY BAJO;
