Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;CO;O3;SH2;BEN;TOL;OXL
ABANTO;-3.074155996;43.32047399;2015-06-05;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;4. BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-04;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-03;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;4. BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-02;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-01;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-31;4. BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-30;4. BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-29;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-28;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-27;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-26;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-25;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-24;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-23;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-22;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-21;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-20;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-19;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-18;4. BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-17;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-16;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-15;1. MUY ALTO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-14;1. MUY ALTO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-13;4. BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;4. BAJO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-12;3. MEDIO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;4. BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-05-11;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;4. BAJO;;;;;4. BAJO;5. MUY BAJO;
