Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;PM10;O3
GUARDO;-4.82722;42.70361;2014-04-15;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-04-16;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-04-17;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-04-18;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-04-19;4. BAJO;5. MUY BAJO;5. MUY BAJO;;3. MEDIO
GUARDO;-4.82722;42.70361;2014-04-20;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;3. MEDIO
GUARDO;-4.82722;42.70361;2014-04-21;4. BAJO;5. MUY BAJO;5. MUY BAJO;;3. MEDIO
GUARDO;-4.82722;42.70361;2014-04-22;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;3. MEDIO
GUARDO;-4.82722;42.70361;2014-04-23;2. ALTO;5. MUY BAJO;5. MUY BAJO;;3. MEDIO
GUARDO;-4.82722;42.70361;2014-04-24;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;2. ALTO
GUARDO;-4.82722;42.70361;2014-04-25;4. BAJO;5. MUY BAJO;5. MUY BAJO;;2. ALTO
GUARDO;-4.82722;42.70361;2014-04-26;4. BAJO;5. MUY BAJO;5. MUY BAJO;;3. MEDIO
GUARDO;-4.82722;42.70361;2014-04-27;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;3. MEDIO
GUARDO;-4.82722;42.70361;2014-04-28;2. ALTO;5. MUY BAJO;5. MUY BAJO;;4. BAJO
GUARDO;-4.82722;42.70361;2014-04-29;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;3. MEDIO
GUARDO;-4.82722;42.70361;2014-04-30;4. BAJO;5. MUY BAJO;5. MUY BAJO;;3. MEDIO
