Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;PM10;CO;O3;SH2;BEN;TOL;XIL
Guarnizo;-3.83803162;43.407125;2015-08-03;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-04;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-05;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-06;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-07;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-08;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-09;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-10;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-11;;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-12;;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-13;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-14;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-15;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-16;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-17;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-18;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-19;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-20;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-21;;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-22;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-23;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-24;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-25;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-26;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-27;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-28;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-29;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-30;;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-08-31;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-09-01;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
