Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;CO;O3;SH2;BEN;TOL;OXL
ATEGORRIETA;-1.960650618;43.32199195;2015-06-30;;4. BAJO;1. MUY ALTO;1. MUY ALTO;3. MEDIO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-29;;5. MUY BAJO;2. ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-28;;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;2. ALTO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-27;;5. MUY BAJO;2. ALTO;2. ALTO;4. BAJO;1. MUY ALTO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-26;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-25;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-24;;5. MUY BAJO;2. ALTO;2. ALTO;4. BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-23;;5. MUY BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-22;;5. MUY BAJO;2. ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-21;;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-20;;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-19;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-18;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-17;;5. MUY BAJO;1. MUY ALTO;2. ALTO;4. BAJO;2. ALTO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-16;;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-15;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-14;;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-13;;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;2. ALTO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-12;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-11;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-10;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;2. ALTO;4. BAJO;;;;;
